Clause	Title	Release	Applicability	Release Applicability	Comments
9.2.1FC	Demodulation of HS-DSCH (Fixed Reference Channel) - Single Link Performance - Enhanced Performance Requirements Type 2 - QPSK/16QAM, Fixed Reference Channel (FRC) H-Set 6B/3B 	Rel-10	C_RF95	RA10	UEs supporting FDD and HS-PDSCH and HSDPA UE capability category 29
9.2.1FD	Demodulation of HS-DSCH (Fixed Reference Channel) - Single Link Performance - Enhanced Performance Requirements Type 2 - QPSK/16QAM, Fixed Reference Channel (FRC) H-Set 6C/3C 	Rel-10	C_RF96	RA10	UEs supporting FDD and HS-PDSCH and HSDPA UE capability category 31
9.2.1G	Demodulation of HS-DSCH (Fixed Reference Channel) - Single Link Performance - Enhanced Performance Requirements Type 3 - QPSK/16QAM, Fixed Reference Channel (FRC) H-Set 6/3	Rel-7	C_RF47	RA7	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 7-10, 13-14 and Enhanced performance requirements type 3. (Note 4)
		Rel-7	C_RF38	RA7	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 15-18. (Note 4)
		Rel-8	C_RF59	RA8	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 7-10, 13-14 and Enhanced performance requirements type 3i (Note 4)
		Rel-8	C_RF45	RA8	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 19-20. (Note 4)
9.2.1GA	Demodulation of HS-DSCH (Fixed Reference Channel) - Single Link Performance - Enhanced Performance Requirements Type 3 - QPSK/16QAM, Fixed Reference Channel (FRC) H-Set 6A/3A	Rel-8	C_RF63	RA8	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 21-24 and Enhanced performance requirements type 3 or Enhanced performance requirements type 3i but not supporting dual band operation
		Rel-9	C_RF81	RA9	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 25-28 and Enhanced performance requirements type 3 or Enhanced performance requirements type 3i but not supporting dual band operation
9.2.1GB	Demodulation of HS-DSCH (Fixed Reference Channel) - Single Link Performance - Enhanced Performance Requirements Type 3 - QPSK/16QAM, Fixed Reference Channel (FRC) H-Set 6A/3A for DB-DC-HSDPA	Rel-9	C_RF139	RA9	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 21-28 and Enhanced performance requirements type 3 or Enhanced performance requirements type 3i and dual band operation
9.2.1GC	Demodulation of HS-DSCH (Fixed Reference Channel) - Single Link Performance - Enhanced Performance Requirements Type 3 - QPSK/16QAM, Fixed Reference Channel (FRC) H-Set 6C/3C	Rel-10	C_RF105	RA10	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 29-30 and Enhanced performance requirements type 3 or Enhanced performance requirements type 3i 
9.2.1GD	Demodulation of HS-DSCH (Fixed Reference Channel) - Single Link Performance - Enhanced Performance Requirements Type 3 - QPSK/16QAM, Fixed Reference Channel (FRC) H-Set 6D/3D	Rel-10	C_RF106	RA10	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 31-32 and Enhanced performance requirements type 3 or Enhanced performance requirements type 3i 
9.2.1H	Demodulation of HS-DSCH (Fixed Reference Channel) - Single Link Performance - Enhanced Performance Requirements Type 2 - 64QAM, Fixed Reference Channel (FRC) H-Set 8	Rel-7	C_RF113	RA7	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 13, 14 and not supporting the optional enhanced performance requirements Type 3 or Type 3i. (Note 4)
9.2.1HA	Demodulation of HS-DSCH (Fixed Reference Channel) - Single Link Performance - Enhanced Performance Requirements Type 2 - 64QAM, Fixed Reference Channel (FRC) H-Set 8 A	Rel-8	C_RF64	RA8	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 23-24 and not supporting the optional enhanced performance requirements Type 3 or Type 3i and not supporting dual band operation
9.2.1HB	Demodulation of HS-DSCH (Fixed Reference Channel) Single Link Performance - Enhanced Performance Requirements Type 2 - 64QAM, Fixed Reference Channel (FRC) H-Set 8 A for DB-DC-HSDPA	Rel-9	C_RF141	RA9	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 23-24 and not supporting the optional enhanced performance requirements Type 3 or Type 3i and supporting dual band operation
9.2.1HC	Demodulation of HS-DSCH (Fixed Reference Channel) - Single Link Performance - Enhanced Performance Requirements Type 2 - QPSK/16QAM, Fixed Reference Channel (FRC) H-Set 8B	Rel-10	C_RF114	RA10	UEs supporting FDD and HS-PDSCH and HSDPA UE capability category 29 and not supporting the optional enhanced performance requirements Type 3 or Type 3i.
9.2.1HD	Demodulation of HS-DSCH (Fixed Reference Channel) - Single Link Performance - Enhanced Performance Requirements Type 2 - QPSK/16QAM, Fixed Reference Channel (FRC) H-Set 8C	Rel-10	C_RF115	RA10	UEs supporting FDD and HS-PDSCH and HSDPA UE capability category 31 and not supporting the optional enhanced performance requirements Type 3 or Type 3i.
9.2.1I	Demodulation of HS-DSCH (Fixed Reference Channel) - Single Link Performance - Enhanced Performance Requirements Type 3 - 64QAM, Fixed Reference Channel (FRC) H-Set 8	Rel-7	C_RF42	RA7	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 13, 14 and Enhanced performance requirements type 3 (Note 4)
		Rel-7	C_RF44	RA7	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 17, 18. (Note 4)
		Rel-8	C_RF58	RA8	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 13, 14 and Enhanced performance requirements type 3i (Note 4)
		Rel-8	C_RF45	RA8	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 19-20. (Note 4)
9.2.1IA	Demodulation of HS-DSCH (Fixed Reference Channel) Single Link Performance - Enhanced Performance Requirements Type 3 - 64QAM, Fixed Reference Channel (FRC) H-Set 8A	Rel-8	C_RF65	RA8	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 23-24 and Enhanced performance requirements type 3 or Enhanced performance requirements type 3i but not supporting dual band operation
		Rel-9	C_RF81	RA9	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 27-28 and Enhanced performance requirements type 3 or Enhanced performance requirements type 3i but not supporting dual band operation
9.2.1IB	Demodulation of HS-DSCH (Fixed Reference Channel) S ingle Link Performance - Enhanced Performance Requirements Type 3 - 64QAM, Fixed Reference Channel (FRC) H-Set 8A for DB-DC-HSDPA	Rel-9	C_RF140	RA9	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 23, 24, 27 or 28 and Enhanced performance requirements type 3 or Enhanced performance requirements type 3i and dual band operation
9.2.1IC	Demodulation of HS-DSCH (Fixed Reference Channel) Single Link Performance - Enhanced Performance Requirements Type 3 - 64QAM, Fixed Reference Channel (FRC) H-Set 8B	Rel-10	C_RF105	RA10	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 29-30 and Enhanced performance requirements type 3 or Enhanced performance requirements type 3i.
9.2.1ID	Demodulation of HS-DSCH (Fixed Reference Channel) - Single Link Performance - Enhanced Performance Requirements Type 3 - 64QAM, Fixed Reference Channel (FRC) H-Set 8C	Rel-10	C_RF106	RA10	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 31-32 and Enhanced performance requirements type 3 or Enhanced performance requirements type 3i.
9.2.1J	Demodulation of HS-DSCH (Fixed Reference Channel) - Single Link Performance - Enhanced Performance Requirements Type 2 - QPSK/16QAM, Fixed Reference Channel (FRC) H-Set 10	Rel-8	C_RF77	RA8	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 9-10 and Enhanced performance requirements type 2 and not supporting the optional enhanced performance requirements Type3 or Type 3i (Note 4)
		Rel-8	C_RF113	RA8	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 13-14 and not supporting the optional enhanced performance requirements Type 3 or Type 3i. (Note 4)
9.2.1JA	Demodulation of HS-DSCH (Fixed Reference Channel) - Single Link Performance - Enhanced Performance Requirements Type 2 - QPSK/16QAM, Fixed Reference Channel (FRC) H-Set 10A	Rel-8	C_RF116	RA8	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 21-24 and not supporting the optional enhanced performance requirements Type 3 or Type 3i and not supporting dual band operation
9.2.1JB	Demodulation of HS-DSCH (Fixed Reference Channel) - Single Link Performance - Enhanced Performance Requirements Type 2 - QPSK/16QAM, Fixed Reference Channel (FRC) H-Set 10A for DB-DC-HSDPA	Rel-9	C_RF143	RA9	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 21-24 and not supporting the optional enhanced performance requirements Type 3 or Type 3i and supporting Dual band operation
9.2.1JC	Demodulation of HS-DSCH (Fixed Reference Channel) - Single Link Performance - Enhanced Performance Requirements Type 2 - QPSK/16QAM, Fixed Reference Channel (FRC) H-Set 10B	Rel-10	C_RF95	RA10	UEs supporting FDD and HS-PDSCH and HSDPA UE capability category 29 and not supporting the optional enhanced performance requirements Type 3 or Type 3i.
9.2.1JD	Demodulation of HS-DSCH (Fixed Reference Channel) - Single Link Performance - Enhanced Performance Requirements Type 2 - QPSK/16QAM, Fixed Reference Channel (FRC) H-Set 10C	Rel-10	C_RF96	RA10	UEs supporting FDD and HS-PDSCH and HSDPA UE capability category 31 and not supporting the optional enhanced performance requirements Type 3 or Type 3i.
9.2.1K	Single Link Performance - Enhanced Performance Requirements Type 3 - QPSK/16QAM, Fixed Reference Channel (FRC) H-Set 10	Rel-8	C_RF50	RA8	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 9-10, 13-14 and Enhanced performance requirements type 3 or Enhanced performance requirements type 3i (Note 4)
		Rel-8	C_RF38	RA8	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 15-18. (Note 4)
		Rel-8	C_RF45	RA8	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 19-20. (Note 4)
9.2.1KA	Demodulation of HS-DSCH (Fixed Reference Channel) - Single Link Performance - Enhanced Performance Requirements Type 3 - QPSK/16QAM, Fixed Reference Channel (FRC) H-Set 10A	Rel-8	C_RF63	RA8	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 21-24 and Enhanced performance requirements type 3 or Enhanced performance requirements type 3i but not supporting dual band operation
		Rel-9	C_RF81	RA9	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 25-28 and Enhanced performance requirements type 3 or Enhanced performance requirements type 3i but not supporting dual band operation
9.2.1KB	Demodulation of HS-DSCH (Fixed Reference Channel) - Single Link Performance - Enhanced Performance Requirements Type 3 - QPSK/16QAM, Fixed Reference Channel (FRC) H-Set 10A for DB-DC-HSDPA	Rel-9	C_RF139	RA9	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 21-28 and Enhanced performance requirements type 3 or Enhanced performance requirements type 3i and dual band operation
9.2.1KC	Demodulation of HS-DSCH (Fixed Reference Channel) - Single Link Performance - Enhanced Performance Requirements Type 3 - QPSK/16QAM, Fixed Reference Channel (FRC) H-Set 10B	Rel-10	C_RF105	RA10	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 29-30 and Enhanced performance requirements type 3 or Enhanced performance requirements type 3i.
9.2.1KD	Demodulation of HS-DSCH (Fixed Reference Channel) - Single Link Performance - Enhanced Performance Requirements Type 3 - QPSK/16QAM, Fixed Reference Channel (FRC) H-Set 10C	Rel-10	C_RF106	RA10	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 31-32 and Enhanced performance requirements type 3 or Enhanced performance requirements type 3i.
9.2.1L	Single Link Performance - Enhanced Performance Requirements Type 3i - QPSK, Fixed Reference Channel (FRC) H-Set 6	Rel-8	C_RF57	RA8	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 7-10, 13-20 and Enhanced performance requirements type 3i (Note 4)
9.2.1LA	Enhanced Performance Requirements Type 3i - QPSK, Fixed Reference Channel (FRC) H-Set 6A	Rel-8	C_RF69	RA8	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 21-24 and Enhanced performance requirements type 3i
		Rel-9	C_RF79	RA9	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 25-28 and Enhanced performance requirements type 3i
9.2.1LB	Enhanced Performance Requirements Type 3i - QPSK, Fixed Reference Channel (FRC) H-Set 6A for DB-DC-HSDPA	Rel-9	C_RF142	RA9	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 21-28 and Enhanced performance requirements type 3i and dual band operation
9.2.1LC	Single Link Performance - Enhanced Performance Requirements Type 3i -QPSK, Fixed Reference Channel (FRC) H-Set 6B	Rel-10	C_RF103	RA10	UEs supporting FDD and HS-PDSCH and HSDPA UE capability category 29-30 and Enhanced performance requirements type 3i
9.2.1LD	Single Link Performance - Enhanced Performance Requirements Type 3i -QPSK, Fixed Reference Channel (FRC) H-Set 6C	Rel-10	C_RF104	RA10	UEs supporting FDD and HS-PDSCH and HSDPA UE capability category 31-32 and Enhanced performance requirements type 3i
9.2.1M	Single Link Performance - Enhanced Performance Requirements Type 3i - 16QAM/QPSK, Fixed Reference Channel (FRC) H-Set 6 for Multiflow HSDPA (2 cells)	Rel-11	C_RF137	RA11	UEs supporting FDD and support Multi flow and with HS DSCH categories 21-38. 
9.2.1MA	Single Link Performance - Enhanced Performance Requirements Type 3i - 16QAM/QPSK, Fixed Reference Channel (FRC) H-Set 6 for Multiflow HSDPA (3 cells)	Rel-11	C_RF138	RA11	UEs supporting FDD and support Multi flow and with HS DSCH categories 29-36 or 38. 
9.2.2A	Demodulation of HS-DSCH (Fixed Reference Channel) - Open Loop Diversity Performance - QPSK/16QAM, Fixed Reference Channel (FRC) H-Set 1/2/3	Rel-5	C_RF14a	RA5	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 1-6, but not supporting the optional enhanced performance requirements types 1, 2, 3 or 3i.
		Rel-6	C_RF16	RA6	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 7-10, but not supporting the optional enhanced performance requirements types 1, 2, 3 or 3i.
9.2.2B	Demodulation of HS-DSCH (Fixed Reference Channel) - Open Loop Diversity Performance - QPSK, Fixed Reference Channel (FRC) H-Set 4/5	Rel-5	C_RF15	RA5	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 11-12
9.2.2C	Demodulation of HS-DSCH (Fixed Reference Channel) - Open Loop Diversity Performance - Enhanced Performance Requirements Type 1 - QPSK/16QAM, Fixed Reference Channel (FRC) H-Set 1/2/3	Rel-6	C_RF19	RA6	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 1-10 and Enhanced performance requirements type 1
9.2.2D	Demodulation of HS-DSCH (Fixed Reference Channel) - Open Loop Diversity Performance - Enhanced Performance Requirements Type 2 - QPSK/16QAM, Fixed Reference Channel (FRC) H-Set 3	Rel-6	C_RF20	???	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 7-10 and Enhanced performance requirements type 2 and not supporting the optional enhanced performance requirements Type 3 or Type 3i.
		Rel-7	C_RF113	RA7	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 13-14 and not supporting the optional enhanced performance requirements Type 3 or Type 3i.
9.2.2E	Demodulation of HS-DSCH (Fixed Reference Channel) - Open Loop Diversity Performance - Enhanced Performance Requirements Type 3 - QPSK/16QAM, Fixed Reference Channel (FRC) H-Set 3	Rel-7	C_RF47	RA7	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 7-10, 13-14 and Enhanced performance requirements type 3
		Rel-7	C_RF38	RA7	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 15-18
		Rel-8	C_RF59	RA8	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 7-10, 13-14 and Enhanced performance requirements type 3i
		Rel-8	C_RF45	RA8	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 19-20.
9.2.3A	Demodulation of HS-DSCH (Fixed Reference Channel) - Closed Loop Diversity Performance - QPSK/16QAM, Fixed Reference Channel (FRC) H-Set 1/2/3	Rel-5	C_RF14a	RA5	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 1-6, but not supporting the optional enhanced performance requirements types 1, 2, 3 or 3i.
		Rel-6	C_RF16	RA6	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 7-10, but not supporting the optional enhanced performance requirements types 1, 2, 3 or 3i.
9.2.3B	Demodulation of HS-DSCH (Fixed Reference Channel) - Closed Loop Diversity Performance - QPSK, Fixed Reference Channel (FRC) H-Set 4/5	Rel-5	C_RF15	RA5	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 11-12
9.2.3C	Demodulation of HS-DSCH (Fixed Reference Channel) - Closed Loop Diversity Performance - Enhanced Performance Requirements Type 1 - QPSK/16QAM, Fixed Reference Channel (FRC) H-Set 1/2/3	Rel-6	C_RF19	RA6	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 1-10 and Enhanced performance requirements type 1
9.2.3D	Demodulation of HS-DSCH (Fixed Reference Channel) - Closed Loop Diversity Performance - Enhanced Performance Requirements Type 2 - QPSK/16QAM, Fixed Reference Channel (FRC) H-Set 6/3	Rel-6	C_RF20	RA6	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 7-10 and Enhanced performance requirements type 2 and not supporting the optional enhanced performance requirements Type 3 or Type 3i.
		Rel-7	C_RF113	RA7	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 13-14 and not supporting the optional enhanced performance requirements Type 3 or Type 3i.
9.2.3E	Demodulation of HS-DSCH (Fixed Reference Channel) - Closed Loop Diversity Performance - Enhanced Performance Requirements Type 3 - QPSK/16QAM, Fixed Reference Channel (FRC) H-Set 3	Rel-7	C_RF47	RA7	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 7-10, 13-14 and Enhanced performance requirements type 3
		Rel-7	C_RF38	RA7	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 15-18.
		Rel-8	C_RF59	RA8	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 7-10, 13-14 and Enhanced performance requirements type 3i
		Rel-8	C_RF45	RA8	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 19-20.
9.2.4A	MIMO Performance - Fixed Reference Channel (FRC) H-Set 9	Rel-7	C_RF38	RA7	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 15-18
(Note 4)
9.2.4B	MIMO Performance - Fixed Reference Channel (FRC) H-Set 11	Rel-8	C_RF45	RA8	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 19-20
(Note 4)
9.2.4C	MIMO Performance - Fixed Reference Channel (FRC) H-Set 9A	Rel-9	C_RF80a	RA9	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 25-28 but not supporting dual band operation
9.2.4CA	MIMO Performance - Fixed Reference Channel (FRC) H-Set 9A for DB-DC-HSDPA	Rel-10	C_RF80b	RA10	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 25-28 and supporting dual band operation
9.2.4D	MIMO Performance - Fixed Reference Channel (FRC) H-Set 11A	Rel-9	C_RF78a	RA9	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 27-28 but not supporting dual band operation
9.2.4DA	MIMO Performance - Fixed Reference Channel (FRC) H-Set 11A for DB-DC-HSDPA	Rel-10	C_RF78b	RA10	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 27-28 and supporting dual band operation
9.2.4E	MIMO Performance - Fixed Reference Channel (FRC) H-Set 9 Asymmetric CPICHs	Rel-10 (Note1)	C_RF38	RA7	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 15-18 (Note 4)
9.2.4F	MIMO Performance - Fixed Reference Channel (FRC) H-Set 11 Asymmetric CPICHs	Rel-10 (Note2)	C_RF45	RA8	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 19-20 (Note 4)
9.2.4G	MIMO Performance - Fixed Reference Channel (FRC) H-Set 9A Asymmetric CPICHs	Rel-10 (Note3)	C_RF80	RA9	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 25-28
9.2.4H	MIMO Performance - Fixed Reference Channel (FRC) H-Set 11A Asymmetric CPICHs	Rel-10 (Note3)	C_RF78	RA9	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 27-28
9.3.1	Reporting of Channel Quality Indicator - Single Link Performance - AWGN Propagation Conditions	Rel-5 only	C_RF40	RF_RO_04	UEs supporting FDD and HS-PDSCH and HSDPA UE categories 1 - 8, 11 and 12
		Rel-6	C_RF82	RA6	UEs supporting FDD and HS-PDSCH and HSDPA UE categories 1 - 12
		Rel-7	C_RF83	RA7	UEs supporting FDD and HS-PDSCH and HSDPA UE categories 13 - 20
9.3.1A	Reporting of Channel Quality Indicator - Single Link Performance - AWGN Propagation Conditions, 64QAM	Rel-7	C_RF35	RA7	UEs supporting FDD and HS-PDSCH and HSDPA UE categories 13, 14 17 and 18
		Rel-8	C_RF72	RA8	UEs supporting FDD and HS-PDSCH and HSDPA UE categories 13, 14, 17, 18, 19 and 20
9.3.1B	Single Link Performance - AWGN Propagation Conditions, DC-HSDPA requirements	Rel-8	C_RF66	RA8	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 21-24
		Rel-9	C_RF80	RA9	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 25-28
9.3.1BA	Single Link Performance - AWGN Propagation Conditions, DB-DC-HSDPA requirements	Rel-9	C_RF94	RA9	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 21-28 and dual band operation
9.3.1BB	Single Link Performance - AWGN Propagation Conditions, 4C-HSDPA requirements (3 Carriers)	Rel-10	C_RF119	RA10	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 29-30 
9.3.1BC	Single Link Performance - AWGN Propagation Conditions, 4C-HSDPA requirements	Rel-10	C_RF120	RA10	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 31-32
9.3.2	Reporting of Channel Quality Indicator - Single Link Performance - Fading Propagation Conditions	Rel-5 only	C_RF40	RF_RO_04	UEs supporting FDD and HS-PDSCH and HSDPA UE categories 1 - 8, 11 and 12
		Rel-6	C_RF82	RA6	UEs supporting FDD and HS-PDSCH and HSDPA UE categories 1 -12
		Rel-7	C_RF83	RA7	UEs supporting FDD and HS-PDSCH and HSDPA UE categories 13 - 20
9.3.2A	Single Link Performance - Fading Propagation Conditions, DC-HSDPA requirements	Rel-8	C_RF66	RA7	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 21-24
		Rel-9	C_RF80	RA8	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 25-28 
9.3.2AA	Single Link Performance - Fading Propagation Conditions, DB-DC-HSDPA requirements	Rel-9	C_RF94	RA9	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 21-28 and dual band operation
9.3.2AB	Single Link Performance - Fading Propagation Conditions, 4C-HSDPA requirements(3 Carriers)	Rel-10	C_RF119	RA10	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 29-30 
9.3.2AC	Single Link Performance - Fading Propagation Conditions, 4C-HSDPA requirements	Rel-10	C_RF120	RA10	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 31-32
9.3.2B	Reporting of Channel Quality Indicator - Single Link Performance - Fading Propagation Conditions, 64QAM	Rel-7 only	C_RF35	RF_RO_05	UEs supporting FDD and HS-PDSCH and HSDPA UE categories 13, 14 17 and 18
		Rel-8	C_RF72	RA8	UEs supporting FDD and HS-PDSCH and HSDPA UE categories 13, 14 ,17, 18, 19 and 20
9.3.2C	Single Link Performance– Fading propagation conditions, Multiflow HSDPA requirements (2 Cells)	Rel-11	C_RF137	RA11	UEs supporting FDD and support Multi flow and with HS DSCH categories 21-38. 
9.3.2CA	Single Link Performance – Fading propagation conditions, Multiflow HSDPA requirements (3 cells)	Rel-11	C_RF138	RA11	UEs supporting FDD and support Multi flow and with HS DSCH categories 29-36 or 38.
9.3.3	Reporting of Channel Quality Indicator - Open Loop Diversity Performance - AWGN Propagation Conditions	Rel-6	C_RF82	RA6	UEs supporting FDD and HS-PDSCH and HSDPA UE categories 1 -12
		Rel-7	C_RF83	RA7	UEs supporting FDD and HS-PDSCH and HSDPA UE categories 13 - 20
9.3.4	Reporting of Channel Quality Indicator - Open Loop Diversity Performance - Fading Propagation Conditions	Rel-6	C_RF82	RA6	UEs supporting FDD and HS-PDSCH and HSDPA UE categories 1 -12
		Rel-7	C_RF83	RA7	UEs supporting FDD and HS-PDSCH and HSDPA UE categories 13 - 20
9.3.5	Reporting of Channel Quality Indicator - Closed Loop Diversity Performance - AWGN Propagation Conditions	Rel-6	C_RF82	RA6	UEs supporting FDD and HS-PDSCH and HSDPA UE categories 1 -12
		Rel-7	C_RF83	RA7	UEs supporting FDD and HS-PDSCH and HSDPA UE categories 13 - 20
9.3.6	Reporting of Channel Quality Indicator - Closed Loop Diversity Performance - Fading Propagation Conditions	Rel-6	C_RF82	RA6	UEs supporting FDD and HS-PDSCH and HSDPA UE categories 1 -12
		Rel-7	C_RF83	RA7	UEs supporting FDD and HS-PDSCH and HSDPA UE categories 13 - 20
9.3.7A	Reporting of Channel Quality Indicator - MIMO Single Stream Fading Conditions	Rel-7	C_RF38	RA7	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 15-18
		Rel-8	C_RF56	RA8	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 19 and 20
9.3.7B	Reporting of Channel Quality Indicator - MIMO Dual Stream Fading Conditions	Rel-7	C_RF38	RA7	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 15-18
		Rel-8	C_RF56	RA8	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 19 and 20
9.3.7C	Reporting of Channel Quality Indicator - MIMO Dual Stream Fading Conditions  – UE categories 19-20	Rel-8	C_RF56	RA8	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 19 and 20
9.3.7D	Reporting of Channel Quality Indicator - MIMO Dual Stream Static Orthogonal Conditions - UE categories 15-20	Rel-8	C_RF55	RA8	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 15 to 20
9.3.7E	Reporting of Channel Quality Indicator - MIMO Dual Stream Static Orthogonal Conditions - UE categories 19-20	Rel-8	C_RF56	RA8	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 19 and 20
9.3.7F	Reporting of Channel Quality Indicator - MIMO Single Stream Fading Conditions-Asymmetric CPICHs	Rel-10 (Note1)	C_RF55	RA7	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 15 to 20
9.3.7G	Reporting of Channel Quality Indicator - MIMO Dual Stream Fading Conditions-Asymmetric CPICHs	Rel-10 (Note1)	C_RF55	RA7	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 15 to 20
9.3.7H	Reporting of Channel Quality Indicator - MIMO Dual Stream Fading Conditions  – UE categories 19-20 -Asymmetric CPICHs	Rel-10 (Note2)	C_RF56	RA8	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 19 and 20
9.3.7I	Reporting of Channel Quality Indicator - MIMO Dual Stream Static Orthogonal Conditions - UE categories 15-20 -Asymmetric CPICHs	Rel-10 (Note2)	C_RF55	RA8	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 15 to 20
9.3.7J	Reporting of Channel Quality Indicator - MIMO Dual Stream Static Orthogonal Conditions - UE categories 19-20 -20 -Asymmetric CPICHs	Rel-10 (Note2)	C_RF56	RA8	UEs supporting FDD and HS-PDSCH and HSDPA UE capability categories 19 and 20
9.4.1	HS-SCCH Detection Performance - Single Link Performance	Rel-5	C_RF02	RA5	UEs supporting FDD and HS-PDSCH
9.4.1A	HS-SCCH Detection Performance - Single Link Performance - Enhanced Performance Requirements Type 1	Rel-6	C_RF21	RA6	UEs supporting FDD and HS-PDSCH and Enhanced performance requirements type 1.
		Rel-7	C_RF61	RA7	UEs supporting FDD and HS-PDSCH and Enhanced performance requirements type 3
		Rel-8	C_RF60	RA8	UEs supporting FDD and HS-PDSCH and Enhanced performance requirements type 3i
