Clause	TC Title	Release	Applicability		Additional Information			
					pc_eTDD			
8.6.3.4	Logged MDT / Logging and reporting / Reporting at UTRAN Inter-RAT handover / PLMN list	Rel-11	C138	UEs supporting E-UTRA and UTRA and logged measurements in RRC_IDLE and inter-RAT PS handover to E-UTRA from UTRA and EUTRA Feature Group Indicator 2 and NOT Category M1	pc_eFDD			Rel-8 UTRA FDD
					pc_eTDD			Rel-9 UTRA TDD
8.6.4.1	Radio Link Failure logging / Reporting of Intra-frequency measurements	Rel-10	C224c	UEs supporting E-UTRA and NOT Category M1	pc_eFDD			
					pc_eTDD			
8.6.4.2	Radio Link Failure logging / Reporting of Inter-frequency measurements	Rel-10	C10F	UEs supporting E-UTRA and Feature Group Indicator 25 and NOT Category M1	pc_eFDD			
			C10T		pc_eTDD			
8.6.4.3	Radio Link Failure logging / Reporting at RRC connection establishment and reestablishment	Rel-10	C224c	UEs supporting E-UTRA and NOT Category M1	pc_eFDD			
					pc_eTDD			
8.6.4.4	Radio Link Failure logging / Reporting at E-UTRA handover	Rel-10	C184	UEs supporting E-UTRA and more than 1 FDD or TDD E-UTRA band and NOT Category M1	pc_eFDD			
					pc_eTDD			
8.6.4.5	Radio Link Failure logging / Reporting of ECGI of the PCell	Rel-10	C224c	UEs supporting E-UTRA and NOT Category M1	pc_eFDD			
					pc_eTDD			
8.6.4.6	Void							
8.6.4.7	Radio Link Failure logging / Location information	Rel-10	C147	UEs supporting E-UTRA and standalone GNSS receiver to provide detailed location information and NOT Category M1	pc_eTDD			
					pc_eFDD			
8.6.4.8	Radio Link Failure logging / Logging and reporting / Reporting at RRC connection establishment / PLMN list	Rel-11	C224c	UEs supporting E-UTRA and NOT Category M1	pc_eFDD			
					pc_eTDD			
8.6.4.9	Radio Link Failure logging / Logging and reporting / Reporting at intra LTE handover / PLMN list	Rel-11	C224c	UEs supporting E-UTRA and NOT Category M1	pc_eFDD			
					pc_eTDD			
8.6.4.10	Radio Link Failure logging / Logging and reporting / Reporting at RRC connection re-establishment / PLMN list	Rel-11	C224c	UEs supporting E-UTRA and NOT Category M1	pc_eFDD			
					pc_eTDD			
8.6.4.11	Radio Link Failure logging / Logging and reporting / Dropped QCI	Rel-13	C270	UEs supporting E-UTRA and QCI1 indication in Radio Link Failure Report				
								
8.6.5.1	Radio Link Failure logging / Reporting at UTRAN Inter-RAT handover	Rel-10	C146	UEs supporting E-UTRA and UTRA and inter-RAT PS handover to E-UTRA from UTRA and NOT Category M1	pc_eFDD			Rel-8 UTRA FDD
					pc_eTDD			Rel-9 UTRA TDD
8.6.5.1a	Radio Link Failure logging / Reporting at UTRAN Inter-RAT handover / PLMN list	Rel-11	C205	UEs supporting E-UTRA and UTRA and inter-RAT PS handover to E-UTRA from UTRA and Radio Link Failure Report for inter-RAT MRO and NOT Category M1	pc_eFDD			Rel-8 UTRA FDD
					pc_eTDD			Rel-9 UTRA TDD
8.6.5.2	Radio Link Failure logging / Reporting at GERAN Inter-RAT handover	Rel-10	C148F	UEs supporting E-UTRA and Feature Group Indicator 23 and NOT Category M1	pc_eFDD			Rel-8 GERAN
			C148T		pc_eTDD			Rel-8 GERAN
8.6.5.3	Radio Link Failure logging / Reporting CDMA2000 neighbour cell information	Rel-10	C06	UEs supporting E-UTRA and HRPD and NOT Category M1	pc_eFDD			
					pc_eTDD			
8.6.5.4	Void							
8.6.6.1	Handover Failure logging / Reporting of Intra-frequency measurements	Rel-10	C224c	UEs supporting E-UTRA and NOT Category M1	pc_eFDD			
					pc_eTDD			
8.6.6.2	Handover Failure logging / Reporting of Inter-frequency measurements	Rel-10	C21F	UEs supporting E-UTRA and Feature Group Indicator 13 and Feature Group Indicator 25 and NOT Category M1	pc_eFDD			
			C21T		pc_eTDD			
8.6.6.3	Void							
8.6.6.4	Handover Failure logging / Location information	Rel-10	C147	UEs supporting E-UTRA and standalone GNSS receiver to provide detailed location information and NOT Category M1	pc_eTDD			
					pc_eFDD			
8.6.6.5	Handover Failure logging / Logging and reporting / Reporting at RRC connection establishment / PLMN list	Rel-11	C224c	UEs supporting E-UTRA and NOT Category M1	pc_eFDD			
					pc_eTDD			
8.6.6.6	Handover Failure logging / Logging and reporting / Reporting at intra LTE handover / PLMN list	Rel-11	C21F	UEs supporting E-UTRA and Feature Group Indicator 13 and Feature Group Indicator 25 and NOT Category M1	pc_eFDD			
			C21T		pc_eTDD			
8.6.6.7	Handover Failure logging / Logging and reporting / Reporting at RRC connection re-establishment / PLMN list	Rel-11	C10F	UEs supporting E-UTRA and Feature Group Indicator 25 and NOT Category M1	pc_eFDD			
			C10T		pc_eTDD			
8.6.7.1	Handover Failure logging / Reporting of UTRAN Inter-RAT measurements	Rel-10	C01	UEs supporting E-UTRA and UTRA and NOT Category M1	pc_eFDD			Rel-8 UTRA FDD
					pc_eTDD			Rel-9 UTRA TDD
8.6.7.2	Handover Failure logging / Reporting of GERAN Inter-RAT measurements	Rel-10	C90F	UEs supporting E-UTRA and GERAN and Feature Group Indicator 23 and NOT Category M1	pc_eFDD			Rel-8 GERAN
			C90T		pc_eTDD			Rel-8 GERAN
8.6.7.3	Handover Failure logging / Reporting of CDMA2000 Inter-RAT measurements	Rel-10	C06	UEs supporting E-UTRA and HRPD and NOT Category M1	pc_eFDD			
					pc_eTDD			
8.6.7.4	Handover Failure logging / Reporting at UTRAN Inter-RAT handover / PLMN list	Rel-11	C37	UEs supporting E-UTRA and UTRA and inter-RAT PS handover to E-UTRA from UTRA and EUTRA Feature Group Indicator 2 and NOT Category M1	pc_eFDD			Rel-8 UTRA FDD
					pc_eTDD			Rel-9 UTRA TDD
8.6.8.1	Connection Establishment Failure logging / Logging and reporting / T300 expiry	Rel-11	C224c	UEs supporting E-UTRA and NOT Category M1	pc_eFDD			
					pc_eTDD			
8.6.8.2	Connection Establishment Failure logging / Logging and reporting / Reporting at intra-LTE handover	Rel-11	C21F	UEs supporting E-UTRA and Feature Group Indicator 13 and Feature Group Indicator 25 and NOT Category M1	pc_eFDD			
			C21T		pc_eTDD			
8.6.8.3	Connection Establishment Failure logging / Logging and reporting / Reporting at RRC connection re-establishment	Rel-11	C224c	UEs supporting E-UTRA and NOT Category M1	pc_eFDD			
					pc_eTDD			
8.6.8.4	Connection Establishment Failure logging / Logging and reporting / Location Information	Rel-11	C147	UEs supporting E-UTRA and standalone GNSS receiver to provide detailed location information and NOT Category M1	pc_eFDD			
					pc_eTDD			
8.6.8.5	Connection Establishment Failure logging / Logging and reporting / Reporting of Intra-frequency measurements	Rel-11	C224c	UEs supporting E-UTRA and NOT Category M1	pc_eFDD			
					pc_eTDD			
8.6.8.6	Connection Establishment Failure logging / Logging and reporting / Reporting of Inter-frequency measurements	Rel-11	C224c	UEs supporting E-UTRA and NOT Category M1	pc_eFDD			
					pc_eTDD			
8.6.9.1	Connection Establishment Failure logging / Logging and reporting / Reporting at UTRAN Inter-RAT handover	Rel-11	C37	UEs supporting E-UTRA and UTRA and inter-RAT PS handover to E-UTRA from UTRA and EUTRA Feature Group Indicator 2 and NOT Category M1	pc_eFDD			Rel-8 UTRA FDD
					pc_eTDD			Rel-9 UTRA TDD
8.6.9.2	Connection Establishment Failure logging / Logging and reporting / Reporting of UTRAN Inter-RAT measurements	Rel-11	C01	UEs supporting E-UTRA and UTRA and NOT Category M1	pc_eFDD			Rel-8 UTRA FDD
					pc_eTDD			Rel-9 UTRA TDD
8.6.9.3	Connection Establishment Failure logging / Logging and reporting / Reporting of GERAN Inter-RAT measurements	Rel-11	C05	UEs supporting E-UTRA and GERAN and NOT Category M1	pc_eFDD			Rel-8 GERAN
					pc_eTDD			Rel-8 GERAN
8.6.9.4	Connection Establishment Failure logging / Logging and reporting / Reporting of CDMA2000 Inter-RAT measurements	Rel-11	C06	UEs supporting E-UTRA and HRPD and NOT Category M1	pc_eFDD			
					pc_eTDD			
8.6.10.1	Inter-RAT Immediate MDT / Reporting / Location information / Event B2	Rel-11	C180	UEs supporting E-UTRA and UTRA and standalone GNSS receiver to provide detailed location information and NOT Category M1	pc_eFDD			Rel-8 UTRA FDD
					pc_eTDD			Rel-9 UTRA TDD
8.6.11.1	RACH Optimisation	Rel-11	C181	UEs supporting E-UTRA and delivery of rachReport upon request from the network and NOT Category M1	pc_eFDD		Note 7	
					pc_eTDD			
8.7.1	Inter-RAT / UTRAN ANR measurement, logging and reporting / E-UTRAN cell	Rel-10	C145	UEs supporting E-UTRA and supporting UTRAN ANR and NOT Category M1	pc_eFDD			
					pc_eTDD			
9	EPS MOBILITY MANAGEMENT PROCEDURE							
9.1.1.1	Void							
9.1.1.2	Void							
9.1.2.1	Void							
9.1.2.2	Void							
9.1.2.3	Authentication not accepted by the network/ GUTI used/ authentication reject and re-authentication	Rel-8	R	UEs supporting E-UTRA	pc_eFDD		Note 20	
					pc_eTDD			
9.1.2.4	Authentication not accepted by the UE / MAC code failure	Rel-8	R	UEs supporting E-UTRA	pc_eFDD			
					pc_eTDD			
9.1.2.5	Authentication not accepted by the UE / SQN failure	Rel-8	R	UEs supporting E-UTRA	pc_eFDD			
					pc_eTDD			
9.1.2.6	Abnormal cases / Network failing the authentication check	Rel-8	R	UEs supporting E-UTRA	pc_eFDD			
					pc_eTDD			
9.1.2.7	Authentication not accepted by the UE/ non-EPS authentication unacceptable	Rel-8	R	UEs supporting E-UTRA	pc_eFDD			
					pc_eTDD			
9.1.3.1	NAS security mode command accepted by the UE	Rel-8	R	UEs supporting E-UTRA	pc_eFDD			
					pc_eTDD			
9.1.3.2	NAS security mode command not accepted by the UE	Rel-8	R	UEs supporting E-UTRA	pc_eFDD			
					pc_eTDD			
9.1.3.3	No emergency bearer service / NAS security mode command with EIA0 not accepted by the UE	Rel-9	R	UEs supporting E-UTRA	pc_eFDD			
					pc_eTDD			
9.1.4.2	Identification procedure / IMEI / IMEISV requested	Rel-8	R	UEs supporting E-UTRA	pc_eFDD			
					pc_eTDD			
9.1.5.1	EMM information procedure	Rel-8	C51	UEs supporting E-UTRA and supporting the EMM information message	pc_eFDD			
					pc_eTDD			
9.1.5.2	EMM information procedure not supported by the UE	Rel-8	C46	UEs supporting E-UTRA and does not support the EMM information message	pc_eFDD			
					pc_eTDD			
9.2.1.1.1	Attach / Success / Valid GUTI	Rel-8	C04	UEs supporting E-UTRA and EPS attach (with or without pre-configuration) 	pc_eFDD			
					pc_eTDD			
9.2.1.1.1a	Attach Procedure / Success / Last visited TAI, TAI list and equivalent PLMN list handling	Rel-8	R	UEs supporting E-UTRA	pc_eFDD		Either TC 9.2.1.1.1a or TC 9.2.1.1.1b shall be executed. (Note 4)	
					pc_eTDD			
9.2.1.1.1b	Attach Procedure / Success / Last visited TAI, TAI list and equivalent PLMN list handling / Single Frequency operation	Rel-8	R	UEs supporting E-UTRA.This test is 'cells on single frequency only' equivalent of TC 9.2.1.1.1a	pc_eFDD		Either TC 9.2.1.1.1a or TC 9.2.1.1.1b shall be executed. (Note 4)	
					pc_eTDD			
9.2.1.1.2	Attach Procedure / Success / With IMSI, GUTI reallocation	Rel-8	C04	UEs supporting E-UTRA and EPS attach (with or without pre-configuration)	pc_eFDD			
					pc_eTDD			
9.2.1.1.2a	Attach Procedure / AttachWithIMSI configured / Selected PLMN is neither the registered PLMN nor in the list of equivalent PLMNs / Success	Rel-10	C173	UEs supporting E-UTRA and AttachWithIMSI	pc_eFDD			
					pc_eTDD			
9.2.1.1.3	Attach Procedure / Success / Request for obtaining the IPv6 address of the home agent	Rel-8	C68	UEs supporting E-UTRA and Mobility management based on Dual-Stack Mobile IPv6 and being configured to request the IPv6 address of the Home Agent during Attach procedure and NOT Category M1	pc_eFDD			
					pc_eTDD			
9.2.1.1.4	Attach Procedure / Success / Request for obtaining the IPv4 address of the home agent	Rel-8	C69	UEs supporting E-UTRA and Mobility management based on Dual-Stack Mobile IPv6 and being configured to request the IPv4 address of the Home Agent during Attach procedure and NOT Category M1	pc_eFDD			
					pc_eTDD			
9.2.1.1.5	Void							
9.2.1.1.7	Attach Procedure / Success / List of equivalent PLMNs in the ATTACH ACCEPT message	Rel-8	C04	UEs supporting E-UTRA and EPS attach (with or without pre-configuration)	pc_eFDD		Either TC 9.2.1.1.7 or TC 9.2.1.1.7a shall be executed. (Note 4)	
					pc_eTDD			
9.2.1.1.7a	Attach Procedure / Success / List of equivalent PLMNs in the ATTACH ACCEPT message / Single Frequency operation	Rel-8	C04	UEs supporting E-UTRA and EPS attach (with or without pre-configuration)	pc_eFDD		Either TC 9.2.1.1.7 or TC 9.2.1.1.7a shall be executed. (Note 4)	
					pc_eTDD			
9.2.1.1.7b	Attach / Success / native GUMMEI	Rel-10	C04	UEs supporting E-UTRA and EPS attach (with or without pre-configuration)	pc_eFDD			
					pc_eTDD			
9.2.1.1.7c	Attach / Success / PSM	Rel-12	C247	UEs supporting E-UTRA and EPS attach (with or without pre-configuration) and Power Saving Mode	pc_eFDD		Note 17	
					pc_eTDD			
9.2.1.1.7d	Attach / Success / DCN	Rel-14	C04	UEs supporting E-UTRA and EPS attach (with or without pre-configuration)	pc_eFDD			
					pc_eTDD			
9.2.1.1.9	Attach / Rejected / IMSI invalid	Rel-8	C04	UEs supporting E-UTRA and EPS attach (with or without pre-configuration)	pc_eFDD			
					pc_eTDD			
9.2.1.1.10	Attach / Rejected / Illegal ME	Rel-8	C04	UEs supporting E-UTRA and EPS attach (with or without pre-configuration) 	pc_eFDD			
					pc_eTDD			
9.2.1.1.11	Attach / Rejected / EPS services and non-EPS services not allowed	Rel-8	C04	UEs supporting E-UTRA and EPS attach (with or without pre-configuration)	pc_eFDD, pc_UTRA, pc_GERAN	px_RATComb_Tested, px_SinglePLMN_Tested	1 Execution (Note 1)	
					pc_eTDD, pc_UTRA, pc_GERAN			Rel-9 UTRA TDD
9.2.1.1.12	Attach / Rejected / EPS services not allowed	Rel-8	C04	UEs supporting E-UTRA and EPS attach (with or without pre-configuration)	pc_eFDD, pc_UTRA, pc_GERAN	px_RATComb_Tested, px_SinglePLMN_Tested	1 Execution (Note 1)	
					pc_eTDD, pc_UTRA, pc_GERAN			Rel-9 UTRA TDD
9.2.1.1.13	Attach / Rejected / PLMN not allowed	Rel-8	C04	UEs supporting E-UTRA and EPS attach (with or without pre-configuration) 	pc_eFDD		Either TC 9.2.1.1.13 or TC 9.2.1.1.13a shall be executed. (Note 4)	
					pc_eTDD			
9.2.1.1.13a	Attach / Rejected / PLMN not allowed / Single Frequency operation	Rel-8	C04	UEs supporting E-UTRA and EPS attach (with or without pre-configuration). This test is 'cells on single frequency only' equivalent of TC 9.2.1.1.13	pc_eFDD		Either TC 9.2.1.1.13 or TC 9.2.1.1.13a shall be executed. (Note 4)	
					pc_eTDD			
9.2.1.1.14	Attach / Rejected / Tracking area not allowed	Rel-8	C04	UEs supporting E-UTRA and EPS attach (with or without pre-configuration)	pc_eFDD			
					pc_eTDD			
9.2.1.1.15	Attach / Rejected / Roaming not allowed in this tracking area	Rel-8	C04	UEs supporting E-UTRA and EPS attach (with or without pre-configuration)	pc_eFDD		Either TC 9.2.1.1.15 or TC 9.2.1.1.15a shall be executed. (Note 4)	
					pc_eTDD			
9.2.1.1.15a	Attach / Rejected / Roaming not allowed in this tracking area / Single Frequency operation	Rel-8	C04	UEs supporting E-UTRA and EPS attach (with or without pre-configuration). This test is 'cells on single frequency only' equivalent of TC 9.2.1.1.15	pc_eFDD		Either TC 9.2.1.1.15 or TC 9.2.1.1.15a shall be executed. (Note 4)	
					pc_eTDD			
9.2.1.1.16	Attach / Rejected / EPS services not allowed in this PLMN	Rel-8	C04	UEs supporting E-UTRA and EPS attach (with or without pre-configuration)	pc_eFDD		Either TC 9.2.1.1.16 or TC 9.2.1.1.16a shall be executed. (Note 4)	
					pc_eTDD			
9.2.1.1.16a	Attach / Rejected / EPS services not allowed in this PLMN / Single Frequency operation	Rel-8	C04	UEs supporting E-UTRA and EPS attach (with or without pre-configuration). This test is 'cells on single frequency only' equivalent of TC 9.2.1.1.16	pc_eFDD		Either TC 9.2.1.1.16 or TC 9.2.1.1.16a shall be executed. (Note 4)	
					pc_eTDD			
9.2.1.1.17	Attach / Rejected / No suitable cells in tracking area	Rel-8	C04	UEs supporting E-UTRA and EPS attach (with or without pre-configuration)	pc_eFDD			
					pc_eTDD			
9.2.1.1.18	Attach / Rejected / Not authorized for this CSG	Rel-8	C286	UEs supporting E-UTRA and allowed CSG list and EPS attach (with or without pre-configuration) and NOT Category M1	pc_eFDD			
					pc_eTDD			
9.2.1.1.19	Attach / Abnormal case / Failure due to non integrity protection	Rel-8	R	UEs supporting E-UTRA	pc_eFDD			
					pc_eTDD			
9.2.1.1.20	Attach / Abnormal case / Access barred because of access class barring or NAS signalling connection establishment rejected by the network	Rel-8	C04	UEs supporting E-UTRA and EPS attach (with or without pre-configuration)	pc_eFDD			
					pc_eTDD			
9.2.1.1.21	Void							
								
9.2.1.1.22	Attach / Abnormal case / Unsuccessful attach after 5 attempts	Rel-8	C04	UEs supporting E-UTRA and EPS attach (with or without pre-configuration)	pc_eFDD			
					pc_eTDD			
9.2.1.1.23	Attach / Abnormal case / Repeated rejects for network failures	Rel-8	C04	UEs supporting E-UTRA and EPS attach (with or without configuration)	pc_eFDD			
					pc_eTDD			
9.2.1.1.24	Attach / Abnormal case / Change of cell into a new tracking area	Rel-8	R	UEs supporting E-UTRA	pc_eFDD			
					pc_eTDD			
9.2.1.1.25	Attach / Abnormal case / Mobile originated detach required	Rel-8	R	UEs supporting E-UTRA	pc_eFDD			
					pc_eTDD			
9.2.1.1.26	Attach / Abnormal case / Detach procedure collision	Rel-8	R	UEs supporting E-UTRA 	pc_eFDD			
					pc_eTDD			
9.2.1.1.27	Attach / Abnormal case / Network reject with Extended Wait Timer	Rel-10	C250	UEs supporting E-UTRA and LAP and EPS attach (with or without pre-configuration)	pc_eFDD			
					pc_eTDD			
9.2.1.1.27a	Attach Procedure / EAB broadcast handling / ExtendedAccessBarring configured in the UE	Rel-11	C261	UEs supporting E-UTRA and EAB and LAP and EPS attach (with or without pre-configuration)	pc_eFDD			
					pc_eTDD			
9.2.1.1.28	Attach / Success / IMS	Rel-8	C210	UEs supporting E-UTRA and VoLTE in GSMA	pc_eFDD			
				PRD IR.92: "IMS Profile for Voice and SMSand UE Configured with IMS APN as default APN or to provide IMS APN.	pc_eTDD			
9.2.1.1.28a	Attach / Success / IMS / Second PDN	Rel-8	C211	UEs supporting E-UTRA and VoLTE in GSMA PRD IR.92: "IMS Profile for Voice and SMS" and UE Configured to provide IMS APN as the second PDN connection.	pc_eFDD			
					pc_eTDD			
9.2.1.1.29	Attach / Rejected / IMEI not accepted	Rel-9	C71	UEs supporting E-UTRA and IMS emergency call	pc_eFDD			
					pc_eTDD			
9.2.1.1.30	Void							
9.2.1.2.1	Combined attach procedure / Success / EPS and non-EPS services	Rel-8	C02a	UEs supporting E-UTRA and combined EPS/IMSI attach (with or without pre-configuration) and NOT Category M1	pc_eFDD			
					pc_eTDD			
9.2.1.2.1b	Combined attach procedure / Success / SMS only	Rel-8	C128	UEs supporting E-UTRA and UTRA or/and E-UTRA and GERAN, and combined EPS/IMSI attach and NOT Category M1	pc_eFDD, pc_UTRA, pc_GERAN	px_RATComb_Tested	1 or 2 Executions (Note 2 AND Note 6)	
					pc_eTDD, pc_UTRA, pc_GERAN			Rel-9 UTRA TDD
9.2.1.2.1c	Combined attach procedure / Success / EPS and CS Fallback not preferred	Rel-8	C86	UEs supporting E-UTRA and UTRA and combined EPS/IMSI attach (with or without pre-configuration) and CS fallback and configured to CS/PS mode 1 (voice centric)	pc_eFDD			
					pc_eTDD			Rel-9 UTRA TDD
9.2.1.2.1d	Combined attach procedure / Success / EPS and CS Fallback not preferred/data centric UE	Rel-8	C87	UEs supporting E-UTRA and UTRA and combined EPS/IMSI attach (with or without pre-configuration) and CS fallback (and implicitly SMSoverSGs) and configured to CS/PS mode 2 (data centric)	pc_eFDD			
					pc_eTDD			Rel-9 UTRA TDD
9.2.1.2.2	Combined attach procedure / Success / EPS services only / IMSI unknown in HSS	Rel-8	C02	UEs supporting E-UTRA and combined EPS/IMSI attach (with or without pre-configuration)	pc_eFDD			
					pc_eTDD			
9.2.1.2.3	Successful combined attach procedure / EPS services only / MSC temporarily not reachable	Rel-8	C02a	UEs supporting E-UTRA and combined EPS/IMSI attach (with or without pre-configuration) and NOT Category M1	pc_eFDD			
					pc_eTDD			
9.2.1.2.4	Successful combined attach procedure / EPS services only / CS domain not available	Rel-8	C125	UEs supporting E-UTRA and combined EPS/IMSI attach (with or without pre-configuration) and (CS/PS Mode 2 or CS/PS Mode 1 with IMS Voice Support) and NOT Category M1	pc_eFDD			
					pc_eTDD			
9.2.1.2.4a	Successful combined attach procedure / EPS service only / Congestion	Rel-11	C02a	UEs supporting E-UTRA and combined EPS/IMSI attach (with or without pre-configuration) and NOT Category M1	pc_eFDD			
					pc_eTDD			
9.2.1.2.5	Combined attach / Rejected / IMSI invalid	Rel-8	C128	UEs supporting E-UTRA and UTRA or/and E-UTRA and GERAN, and combined EPS/IMSI attach (with or without pre-configuration) and NOT Category M1	pc_eFDD, pc_UTRA, pc_GERAN	px_RATComb_Tested	1 Execution (Note 2)	
					pc_eTDD, pc_UTRA, pc_GERAN			Rel-9 UTRA TDD
9.2.1.2.6	Combined attach / Rejected / Illegal ME	Rel-8	C128	UEs supporting E-UTRA and UTRA or/and E-UTRA and GERAN, and, combined EPS/IMSI attach (with or without pre-configuration) and NOT Category M1	pc_eFDD, pc_UTRA, pc_GERAN	px_RATComb_Tested	1 Execution (Note 2)	
					pc_eTDD, pc_UTRA, pc_GERAN			Rel-9 UTRA TDD
9.2.1.2.7	Combined attach / Rejected / EPS services and non-EPS services not allowed	Rel-8	C128	UEs supporting E-UTRA and UTRA or/and E-UTRA and GERAN, and, combined EPS/IMSI attach (with or without pre-configuration) and NOT Category M1	pc_eFDD, pc_UTRA, pc_GERAN	px_RATComb_Tested	1 Execution (Note 2)	
					pc_eTDD, pc_UTRA, pc_GERAN			Rel-9 UTRA TDD
9.2.1.2.8	Combined attach / Rejected / EPS services not allowed	Rel-8	C128	UEs supporting E-UTRA and UTRA or/and E-UTRA and GERAN, and, combined EPS/IMSI attach (with or without pre-configuration) and NOT Category M1	pc_eFDD, pc_UTRA, pc_GERAN	px_RATComb_Tested	1 Execution (Note 2)	
					pc_eTDD, pc_UTRA, pc_GERAN			Rel-9 UTRA TDD
9.2.1.2.9	Combined attach / Rejected / PLMN not allowed	Rel-8	C128	UEs supporting E-UTRA and UTRAN or/and E-UTRA and GERAN, and, combined EPS/IMSI attach (with or without pre-configuration) and NOT Category M1	pc_eFDD, pc_UTRA, pc_GERAN	px_RATComb_Tested	1 Execution (Note 2)	
					pc_eTDD, pc_UTRA, pc_GERAN			Rel-9 UTRA TDD
9.2.1.2.10	Combined attach / Rejected / Tracking area not allowed	Rel-8	C02a	UEs supporting E-UTRA and combined EPS/IMSI attach (with or without pre-configuration) and NOT Category M1	pc_eFDD			
					pc_eTDD			
9.2.1.2.11	Combined attach / Rejected / Roaming not allowed in this tracking area	Rel-8	C128	UEs supporting E-UTRA and UTRA or/and E-UTRA and GERAN, and, combined EPS/IMSI attach (with or without pre-configuration) and NOT Category M1	pc_eFDD, pc_UTRA, pc_GERAN	px_RATComb_Tested	1 Execution (Note 2)	
					pc_eTDD, pc_UTRA, pc_GERAN			Rel-9 UTRA TDD
9.2.1.2.12	Combined attach / Rejected / EPS services not allowed in this PLMN	Rel-8	C02a	UEs supporting E-UTRA and combined EPS/IMSI attach (with or without pre-configuration) and NOT Category M1	pc_eFDD			
					pc_eTDD			
9.2.1.2.13	Combined attach / Rejected / No suitable cells in tracking area	Rel-8	C128	UEs supporting E-UTRA and UTRA or/and E-UTRA and GERAN, and, combined EPS/IMSI attach (with or without pre-configuration) and NOT Category M1	pc_eFDD, pc_UTRA, pc_GERAN	px_RATComb_Tested	1 Execution (Note 2)	
					pc_eTDD, pc_UTRA, pc_GERAN			Rel-9 UTRA TDD
9.2.1.2.14	Combined attach / rejected / Not authorized for this CSG	Rel-8	C123	UEs supporting E-UTRA and allowed CSG list and combined EPS/IMSI attach (with or without pre-configuration) and NOT Category M1	pc_eFDD			
					pc_eTDD			
9.2.1.2.15	Combined attach / Abnormal case / Handling of the EPS attach attempt counter	Rel-8	C128	UEs supporting E-UTRA and UTRA or/and E-UTRA and GERAN, and, combined EPS/IMSI attach (with or without pre-configuration) and NOT Category M1	pc_eFDD, pc_UTRA, pc_GERAN	px_RATComb_Tested	1 Execution (Note 2)	
					pc_eTDD, pc_UTRA, pc_GERAN			Rel-9 UTRA TDD
9.2.2.1.1	UE initiated detach / UE switched off	Rel-8	C53	UEs supporting E-UTRA and switch on/off	pc_eFDD			
					pc_eTDD			
9.2.2.1.2	UE initiated detach / USIM removed from the UE	Rel-8	C03	UEs supporting E-UTRA and USIM removal without power down	pc_eFDD, pc_USIM_Removal			
					pc_eTDD, pc_USIM_Removal			
9.2.2.1.3	UE initiated detach / EPS capability of the UE is disabled	Rel-8	C153	UEs supporting E-UTRA and UTRA or/and E-UTRA and GERAN, and, combined EPS/IMSI attach (with or without pre-configuration) and disabling the EPS services and NOT Category M1	pc_eFDD, pc_UTRA, pc_GERAN pc_EPS_Disable, pc_Dynamic_GERAN_Rel_downgrade	px_RATComb_Tested	1 Execution (Note 2)	
					pc_eTDD. pc_UTRA, pc_GERAN pc_EPS_Disable			
9.2.2.1.4	UE initiated detach / detach for non-EPS services	Rel-8	C106	UEs supporting E-UTRA and detach for non-EPS services, and combined EPS/IMSI attach	pc_eFDD, pc_IMSI_Detach			
					pc_eTDD, pc_IMSI_Detach			
9.2.2.1.6	UE initiated detach / Abnormal case / Local detach after 5 attempts due to no network response	Rel-8	R	UEs supporting E-UTRA	pc_eFDD			
					pc_eTDD			
9.2.2.1.7	UE initiated detach / Abnormal case / Detach procedure collision	Rel-8	R	UEs supporting E-UTRA	pc_eFDD, pc_Re_Attach_AfterDetachColl			
					pc_eTDD, pc_Re_Attach_AfterDetachColl			
9.2.2.1.8	UE initiated detach / Abnormal case / Detach and EMM common procedure collision	Rel-8	C53	UEs supporting E-UTRA and switch on/off	pc_eFDD			
					pc_eTDD			
9.2.2.1.9	UE initiated detach / Abnormal case / Change of cell into a new tracking area	Rel-8	R	UEs supporting E-UTRA	pc_eFDD			
					pc_eTDD			
9.2.2.1.10	UE initiated detach / Mapped security context	Rel-8	C01	UEs supporting E-UTRA and UTRA and NOT Category M1	pc_eFDD			
					pc_eTDD			Rel-9 UTRA TDD
9.2.2.2.1	NW initiated detach / Re-attach required	Rel-8	R	UEs supporting E-UTRA	pc_eFDD			
					pc_eTDD			
9.2.2.2.2	NW initiated detach / IMSI detach	Rel-8	C02a	UEs supporting E-UTRA and combined EPS/IMSI attach (with or without pre-configuration) and NOT Category M1	pc_eFDD			
					pc_eTDD			
9.2.2.2.14	NW initiated detach / Abnormal case / EMM cause not included	Rel-8	R	UEs supporting E-UTRA	pc_eFDD			
					pc_eTDD			
9.2.3.1.1	Normal tracking area update / Accepted	Rel-8	C04	UEs supporting E-UTRA and EPS attach (with or without pre-configuration)	pc_eFDD			
					pc_eTDD			
9.2.3.1.1a	Normal tracking area update / Accepted / PSM	Rel-12	C247	UEs supporting E-UTRA and EPS attach (with or without pre-configuration) and Power Saving Mode	pc_eFDD		Note 17	
					pc_eTDD			
9.2.3.1.1b	Normal tracking area update / Accepted / DCN	Rel-14	C04	UEs supporting E-UTRA and EPS attach (with or without pre-configuration)	pc_eFDD			
					pc_eTDD			
9.2.3.1.2	Void							
9.2.3.1.4	Normal tracking area update / List of equivalent PLMNs in the TRACKING AREA UPDATE ACCEPT message	Rel-8	R	UEs supporting E-UTRA	pc_eFDD			
					pc_eTDD			
