Item	Description	Re-lease	Test sequence (s)	Rel 99 ME	Rel-4 ME	Rel-5 ME	Rel-6 ME	Rel-7 ME	Rel-8 ME	Rel-9 ME	Rel-10 ME	Rel-11 ME	Rel-12 ME	Rel-13 ME	Rel-14 ME	Terminal Profile	Network Dependency	Sup-port	Additional test case execution parameter
	default selected item	R99	3.1	C177 AND C178 AND C194	C177 AND C178 AND C194	C177 AND C178 AND C194	C177 AND C178 AND C194	C177 AND C178 AND C194	C177 AND C178 AND C194	C177 AND C178 AND C194	C177 AND C178 AND C194	C177 AND C178 AND C194	C177 AND C178 AND C194	C177 AND C178 AND C194	C177 AND C178 AND C194	E.1/25 AND E.1/110 AND E.1/111	No		
	help information	R99	4.1	C107 AND C177 AND C178	C107 AND C177 AND C178	C107 AND C177 AND C178	C107 AND C177 AND C178	C107 AND C177 AND C178	C107 AND C177 AND C178	C107 AND C177 AND C178	C107 AND C177 AND C178	C107 AND C177 AND C178	C107 AND C177 AND C178	C107 AND C177 AND C178	C107 AND C177 AND C178	E 1/25 AND E.1/110 AND E.1/111	No		
	Icons	R99	5.1, 5.2	C172 AND C177 AND C178	C172 AND C177 AND C178	C172 AND C177 AND C178	C172 AND C177 AND C178	C172 AND C177 AND C178	C172 AND C177 AND C178	C172 AND C177 AND C178	C172 AND C177 AND C178	C172 AND C177 AND C178	C172 AND C177 AND C178	C172 AND C177 AND C178	C172 AND C177 AND C178	E.1/25 AND E.1/110 AND E.1/111	No		
	Presentation style	R99	6.1, 6.2	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	C177 AND C178	E.1/25 AND E.1/110 AND E.1/111	No		
	Soft keys	R99	7.1	C112 AND C177 AND C178	C112 AND C177 AND C178	C112 AND C177 AND C178	C112 AND C177 AND C178	C112 AND C177 AND C178	C112 AND C177 AND C178	C112 AND C177 AND C178	C112 AND C177 AND C178	C112 AND C177 AND C178	C112 AND C177 AND C178	C112 AND C177 AND C178	C112 AND C177 AND C178	E.1/25 AND E.1/73 AND E.1/110 AND E.1/111	No		
	No Response from user	R99	8.1	C120 AND C177 AND C178	C120 AND C177 AND C178	C120 AND C177 AND C178	C120 AND C177 AND C178	C120 AND C177 AND C178	C120 AND C177 AND C178	C120 AND C177 AND C178	C120 AND C177 AND C178	C120 AND C177 AND C178	C120 AND C177 AND C178	C120 AND C177 AND C178	C120 AND C177 AND C178	E.1/25 AND E.1/110 AND E.1/111	No		
	Text attribute – left alignment	Rel-5	9.1			C153 AND C177 AND C178	C153 AND C177 AND C178	C153 AND C177 AND C178	C153 AND C177 AND C178	C153 AND C177 AND C178	C153 AND C177 AND C178	C153 AND C177 AND C178	C153 AND C177 AND C178	C153 AND C177 AND C178	C153 AND C177 AND C178	E.1/25 AND E.1/124 AND E.1/217 AND E.1/110 AND E.1/111	No		
	Text attribute – center alignment	Rel-5	9.2			C154 AND C177 AND C178	C154 AND C177 AND C178	C154 AND C177 AND C178	C154 AND C177 AND C178	C154 AND C177 AND C178	C154 AND C177 AND C178	C154 AND C177 AND C178	C154 AND C177 AND C178	C154 AND C177 AND C178	C154 AND C177 AND C178	E.1/25 AND E.1/124 AND E.1/218 AND E.1/110 AND E.1/111	No		
	Text attribute – right alignment	Rel-5	9.3			C155 AND C177 AND C178	C155 AND C177 AND C178	C155 AND C177 AND C178	C155 AND C177 AND C178	C155 AND C177 AND C178	C155 AND C177 AND C178	C155 AND C177 AND C178	C155 AND C177 AND C178	C155 AND C177 AND C178	C155 AND C177 AND C178	E.1/25 AND E.1/124 AND E.1/219 AND E.1/110 AND E.1/111	No		
	Text attribute – large font size	Rel-5	9.4			C157AND C156 AND C177 AND C178	C157AND C156 AND C177 AND C178	C157AND C156 AND C177 AND C178	C157 AND C156 AND C177 AND C178	C157 AND C156 AND C177 AND C178	C157 AND C156 AND C177 AND C178	C157 AND C156 AND C177 AND C178	C157 AND C156 AND C177 AND C178	C157 AND C156 AND C177 AND C178	C157 AND C156 AND C177 AND C178	E.1/25 AND E.1/124 AND E.1/221 AND E.1/220 AND E.1/110 AND E.1/111	No		
	Text attribute – small font size	Rel-5	9.5			C158AND C156 AND C177 AND C178	C158AND C156 AND C177 AND C178	C158AND C156 AND C177 AND C178	C158 AND C156 AND C177 AND C178	C158 AND C156 AND C177 AND C178	C158 AND C156 AND C177 AND C178	C158 AND C156 AND C177 AND C178	C158 AND C156 AND C177 AND C178	C158 AND C156 AND C177 AND C178	C158 AND C156 AND C177 AND C178	E.1/25 AND E.1/124 AND E.1/222 AND E.1/220 AND E.1/110 AND E.1/111	No		
	Text attribute – bold on	Rel-5	9.6			C160 AND C159 AND C177 AND C178	C160 AND C159 AND C177 AND C178	C160 AND C159 AND C177 AND C178	C160 AND C159 AND C177 AND C178	C160 AND C159 AND C177 AND C178	C160 AND C159 AND C177 AND C178	C160 AND C159 AND C177 AND C178	C160 AND C159 AND C177 AND C178	C160 AND C159 AND C177 AND C178	C160 AND C159 AND C177 AND C178	E.1/25 AND E.1/124 AND E.1/225 AND E.1/226 AND E.1/110 AND E.1/111	No		
	Text attribute – italic on	Rel-5	9.7			C161 AND C159 AND C177 AND C178	C161 AND C159 AND C177 AND C178	C161 AND C159 AND C177 AND C178	C161 AND C159 AND C177 AND C178	C161 AND C159 AND C177 AND C178	C161 AND C159 AND C177 AND C178	C161 AND C159 AND C177 AND C178	C161 AND C159 AND C177 AND C178	C161 AND C159 AND C177 AND C178	C161 AND C159 AND C177 AND C178	E.1/25 AND E.1/124 AND E.1/225 AND E.1/227 AND E.1/110 AND E.1/111	No		
	Text attribute – underline on	Rel-5	9.8			C162 AND C159 AND C177 AND C178	C162 AND C159 AND C177 AND C178	C162 AND C159 AND C177 AND C178	C162 AND C159 AND C177 AND C178	C162 AND C159 AND C177 AND C178	C162 AND C159 AND C177 AND C178	C162 AND C159 AND C177 AND C178	C162 AND C159 AND C177 AND C178	C162 AND C159 AND C177 AND C178	C162 AND C159 AND C177 AND C178	E.1/25 AND E.1/124 AND E.1/225 AND E.1/228 AND E.1/110 AND E.1/111	No		
	Text attribute – strikethrough on	Rel-5	9.9			C163 AND C159 AND C177 AND C178	C163 AND C159 AND C177 AND C178	C163 AND C159 AND C177 AND C178	C163 AND C159 AND C177 AND C178	C163 AND C159 AND C177 AND C178	C163 AND C159 AND C177 AND C178	C163 AND C159 AND C177 AND C178	C163 AND C159 AND C177 AND C178	C163 AND C159 AND C177 AND C178	C163 AND C159 AND C177 AND C178	E.1/25 AND E.1/124 AND E.1/225 AND E.1/229 AND E.1/110 AND E.1/111	No		
	Text attribute – foreground and background colours	Rel-5	9.10			C164 AND C165 AND C177 AND C178	C164 AND C165 AND C177 AND C178	C164 AND C165 AND C177 AND C178	C164 AND C165 AND C177 AND C178	C164 AND C165 AND C177 AND C178	C164 AND C165 AND C177 AND C178	C164 AND C165 AND C177 AND C178	C164 AND C165 AND C177 AND C178	C164 AND C165 AND C177 AND C178	C164 AND C165 AND C177 AND C178	E.1/25 AND E.1/124 AND E.1/230 AND E.1/231 AND E.1/110 AND E.1/111	No		
	UCS2 display in Cyrillic	R99	10.1, 10.2, 10.3			C118 AND C177 AND C178	C118 AND C177 AND C178	C118 AND C177 AND C178	C118 AND C177 AND C178	C118 AND C177 AND C178	C118 AND C177 AND C178	C118 AND C177 AND C178	C118 AND C177 AND C178	C118 AND C177 AND C178	C118 AND C177 AND C178	E.1/39 AND E.1/15 AND E.1/110 AND E.1/111	No		
	UCS2 display in Chinese	R99	11.1			C143 AND C177 AND C178	C143 AND C177 AND C178	C143 AND C177 AND C178	C143 AND C177 AND C178	C143 AND C177 AND C178	C143 AND C177 AND C178	C143 AND C177 AND C178	C143 AND C177 AND C178	C143 AND C177 AND C178	C143 AND C177 AND C178	E.1/25 AND E.1/15 AND E.1/110 AND E.1/111	No		
	UCS2 display in Katakana	R99	12.1, 12.2, 12.3			C145 AND C177 AND C178	C145 AND C177 AND C178	C145 AND C177 AND C178	C145 AND C177 AND C178	C145 AND C177 AND C178	C145 AND C177 AND C178	C145 AND C177 AND C178	C145 AND C177 AND C178	C145 AND C177 AND C178	C145 AND C177 AND C178	E.1/25 AND E.1/15 AND E.1/110 AND E.1/111	No		
	Frames	Rel-6	TBD													E.1/25 AND E.1/177 AND E.1/178 AND E.1/110 AND E.1/111	TBD		
13	SEND SMS 27.22.4.10																		
	Void	R99	1.1 - 1.8																
	Send Short Message over CS/PS, UTRAN/GERAN	R99	1.9	C209	C209	C209	C209	C209	C210	C210	C210	C210	C210	C210	C210	E.1/26 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	UCS2 SMS in Cyrillic	R99	2.1	C118	C118	C118	C118	NA	NA	NA	NA	NA	NA	NA	NA	E.1/26 AND E.1/15 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	Icons – basic icon	R99	3.1, 3.2	C108	C108	C108	C108	NA	NA	NA	NA	NA	NA	NA	NA	E.1/26 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	Text attribute– left alignment	Rel-5	4.1			C153	C153	NA	NA	NA	NA	NA	NA	NA	NA	E.1/26 AND E.1/124 AND E.1/217 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	Text attribute – center alignment	Rel-5	4.2			C154	C154	NA	NA	NA	NA	NA	NA	NA	NA	E.1/26 AND E.1/124 AND E.1/218 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	Text attribute – right alignment	Rel-5	4.3			C155	C155	NA	NA	NA	NA	NA	NA	NA	NA	E.1/26 AND E.1/124 AND E.1/219 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	Text attribute – large font size	Rel-5	4.4			C157AND C156	C157AND C156	NA	NA	NA	NA	NA	NA	NA	NA	E.1/26 AND E.1/124 AND E.1/221 AND E.1/220 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	Text attribute – small font size	Rel-5	4.5			C158AND C156	C158AND C156	NA	NA	NA	NA	NA	NA	NA	NA	E.1/26 AND E.1/124 AND E.1/222 AND E.1/220 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	Text attribute – bold on	Rel-5	4.6			C160 AND C159	C160 AND C159	NA	NA	NA	NA	NA	NA	NA	NA	E.1/26 AND E.1/124 AND E.1/225 AND E.1/226 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	Text attribute – italic on	Rel-5	4.7			C161 AND C159	C161 AND C159	NA	NA	NA	NA	NA	NA	NA	NA	E.1/26 AND E.1/124 AND E.1/225 AND E.1/227 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	Text attribute – underline on	Rel-5	4.8			C162 AND C159	C162 AND C159	NA	NA	NA	NA	NA	NA	NA	NA	E.1/26 AND E.1/124 AND E.1/225 AND E.1/228 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	Text attribute– strikethrough on	Rel-5	4.9			C163 AND C159	C163 AND C159	NA	NA	NA	NA	NA	NA	NA	NA	E.1/26 AND E.1/124 AND E.1/225 AND E.1/229 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	Text attribute – foreground and background colours	Rel-5	4.10			C164 AND C165	C164 AND C165	NA	NA	NA	NA	NA	NA	NA	NA	E.1/26 AND E.1/124 AND E.1/230 AND E.1/231 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	UCS2 display in Chinese	R99	5.1			C143	C143	NA	NA	NA	NA	NA	NA	NA	NA	E.1/26 AND E.1/15 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	UCS2 display in Katakana	R99	6.1			C145	C145	NA	NA	NA	NA	NA	NA	NA	NA	E.1/26 AND E.1/15 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	SMS-over-IP, E-UTRAN	Rel-8	7.1						C196	C196	C196	C196	C196	C196	C196	E.1/26 AND AND E.1/110	E-USS only		TCEP001
	SMS-over-IP, UTRAN	Rel-7	7.2					C197	C197	C197	C197	C197	C197	C197	C197	E.1/26 AND AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	Send Short Message over SGs, E-UTRAN	Rel-8	8.1						C206	C206	C206	C206	C206	C220	C220	E.1/26 AND AND E.1/110	E-USS or NB-SS (See NOTE)		TCEP001
	Frames	Rel-6	TBD													E.1/26 AND E.1/177 AND E.1/178 AND E.1/110	TBD		TCEP001
14	SEND SS 27.22.4.11																		
	call forward unconditional, all bearers, successful	R99	1.1	C166 AND C174 AND C204	C166 AND C174 AND C204	C166 AND C174 AND C204	C166 AND C174 AND C204	C166 AND C174 AND C204	C166 AND C174 AND C183 AND C204	C166 AND C174 AND C183 AND C204	C166 AND C174 AND C183 AND C204	C166 AND C174 AND C183 AND C204	C166 AND C174 AND C183 AND C204	C166 AND C174 AND C183 AND C204	C166 AND C174 AND C183 AND C204	E.1/27 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	call forward unconditional, all bearers, Return Error	R99	1.2	C174 AND C204	C174 AND C204	C174 AND C204	C174 AND C204	C174 AND C204	C174 AND C183 AND C204	C174 AND C183 AND C204	C174 AND C183 AND C204	C174 AND C183 AND C204	C174 AND C183 AND C204	C174 AND C183 AND C204	C174 AND C183 AND C204	E.1/27 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	call forward unconditional, all bearers, Reject	R99	1.3	C174 AND C204	C174 AND C204	C174 AND C204	C174 AND C204	C174 AND C204	C174 AND C183 AND C204	C174 AND C183 AND C204	C174 AND C183 AND C204	C174 AND C183 AND C204	C174 AND C183 AND C204	C174 AND C183 AND C204	C174 AND C183 AND C204	E.1/27 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	call forward unconditional, all bearers, successful, SS request size limit	R99	1.4	C166 AND C174 AND C204	C166 AND C174 AND C204	C166 AND C174 AND C204	C166 AND C174 AND C204	C166 AND C174 AND C204	C166 AND C174 AND C183 AND C204	C166 AND C174 AND C183 AND C204	C166 AND C174 AND C183 AND C204	C166 AND C174 AND C183 AND C204	C166 AND C174 AND C183 AND C204	C166 AND C174 AND C183 AND C204	C166 AND C174 AND C183 AND C204	E.1/27 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	interrogate CLIR status, successful, alpha identifier limits	R99	1.5	C175 AND C204	C175 AND C204	C175 AND C204	C175 AND C204	C175 AND C204	C175 AND C183 AND C204	C175 AND C183 AND C204	C175 AND C183 AND C204	C175 AND C183 AND C204	C175 AND C183 AND C204	C175 AND C183 AND C204	C175 AND C183 AND C204	E.1/27 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	call forward unconditional, all bearers, successful, null data alpha identifier	R99	1.6	C166 AND C174 AND C204	C166 AND C174 AND C204	C166 AND C174 AND C204	C166 AND C174 AND C204	C166 AND C174 AND C204	C166 AND C174 AND C183	C166 AND C174 AND C183 AND C204	C166 AND C174 AND C183 AND C204	C166 AND C174 AND C183 AND C204	C166 AND C174 AND C183 AND C204	C166 AND C174 AND C183 AND C204	C166 AND C174 AND C183 AND C204	E.1/27 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	call forward unconditional, all bearers, successful, basic icon support	R99	2.1, 2.3	C108 AND C174 AND C204	C108 AND C174 AND C204	C108 AND C174 AND C204	C108 AND C174 AND C204	C108 AND C174 AND C204	C108 AND C174 AND C183 AND C204	C108 AND C174 AND C183 AND C204	C108 AND C174 AND C183 AND C204	C108 AND C174 AND C183 AND C204	C108 AND C174 AND C183 AND C204	C108 AND C174 AND C183 AND C204	C108 AND C174 AND C183 AND C204	E.1/27 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	call forward unconditional, all bearers, successful, colour icon support	R99	2.2	C171 AND C174 AND C204	C171 AND C174 AND C204	C171 AND C174 AND C204	C171 AND C174 AND C204	C171 AND C174 AND C204	C171 AND C174 AND C183 AND C204	C171 AND C174 AND C183 AND C204	C171 AND C174 AND C183 AND C204	C171 AND C174 AND C183 AND C204	C171 AND C174 AND C183 AND C204	C171 AND C174 AND C183 AND C204	C171 AND C174 AND C183 AND C204	E.1/27 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	call forward unconditional, all bearers, successful, basic icon non self-explanatory, no alpha identifier presented	R99	2.4	C185 AND C174 AND C204	C185 AND C174 AND C204	C185 AND C174 AND C204	C185 AND C174 AND C204	C185 AND C174 AND C204	C185 AND C174 AND C183 AND C204	C185 AND C174 AND C183 AND C204	C185 AND C174 AND C183 AND C204	C185 AND C174 AND C183 AND C204	C185 AND C174 AND C183 AND C204	C185 AND C174 AND C183 AND C204	C185 AND C174 AND C183 AND C204	E.1/27 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	UCS2 display in Cyrillic	R99	3.1	C118 AND C174 AND C204	C118 AND C174 AND C204	C118 AND C174 AND C204	C118 AND C174 AND C204	C118 AND C174 AND C204	C118 AND C174 AND C183 AND C204	C118 AND C174 AND C183 AND C204	C118 AND C174 AND C183 AND C204	C118 AND C174 AND C183 AND C204	C118 AND C174 AND C183 AND C204	C118 AND C174 AND C183 AND C204	C118 AND C174 AND C183 AND C204	E.1/27 AND E.1/15 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	Text attribute – left alignment	Rel-5	4.1			C153 AND C166 AND C174 AND C204	C153 AND C166 AND C174 AND C204	C153 AND C166 AND C174 AND C204	C153 AND C166 AND C174 AND C183 AND C204	C153 AND C166 AND C174 AND C183 AND C204	C153 AND C166 AND C174 AND C183 AND C204	C153 AND C166 AND C174 AND C183 AND C204	C153 AND C166 AND C174 AND C183 AND C204	C153 AND C166 AND C174 AND C183 AND C204	C153 AND C166 AND C174 AND C183 AND C204	E.1/27 AND E.1/124 AND E.1/217 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	Text attribute – center alignment	Rel-5	4.2			C154 AND C166 AND C174 AND C204	C154 AND C166 AND C174 AND C204	C154 AND C166 AND C174 AND C204	C154 AND C166 AND C174 AND C183 AND C204	C154 AND C166 AND C174 AND C183 AND C204	C154 AND C166 AND C174 AND C183 AND C204	C154 AND C166 AND C174 AND C183 AND C204	C154 AND C166 AND C174 AND C183 AND C204	C154 AND C166 AND C174 AND C183 AND C204	C154 AND C166 AND C174 AND C183 AND C204	E.1/27 AND E.1/124 AND E.1/218 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	Text attribute – right alignment	Rel-5	4.3			C155 AND C166 AND C174 AND C204	C155 AND C166 AND C174 AND C204	C155 AND C166 AND C174 AND C204	C155 AND C166 AND C174 AND C183 AND C204	C155 AND C166 AND C174 AND C183 AND C204	C155 AND C166 AND C174 AND C183 AND C204	C155 AND C166 AND C174 AND C183 AND C204	C155 AND C166 AND C174 AND C183 AND C204	C155 AND C166 AND C174 AND C183 AND C204	C155 AND C166 AND C174 AND C183 AND C204	E.1/27 AND E.1/124 AND E.1/219 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	Text attribute – large font size	Rel-5	4.4			C157AND C156AND C166 AND C174 AND C204	C157AND C156ANDC166 AND C174 AND C204	C157AND C156ANDC166 AND C174 AND C204	C157AND C156ANDC166 AND C174 AND C183 AND C204	C157AND C156ANDC166 AND C174 AND C183 AND C204	C157AND C156ANDC166 AND C174 AND C183 AND C204	C157AND C156ANDC166 AND C174 AND C183 AND C204	C157AND C156ANDC166 AND C174 AND C183 AND C204	C157AND C156ANDC166 AND C174 AND C183 AND C204	C157AND C156ANDC166 AND C174 AND C183 AND C204	E.1/27 AND E.1/124 AND E.1/221 AND E.1/220 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	Text attribute – small font size	Rel-5	4.5			C158AND C156 AND C166 AND C174 AND C204	C158AND C156 AND C166 AND C174 AND C204	C158AND C156 AND C166 AND C174 AND C204	C158AND C156 AND C166 AND C174 AND C183 AND C204	C158AND C156 AND C166 AND C174 AND C183 AND C204	C158AND C156 AND C166 AND C174 AND C183 AND C204	C158AND C156 AND C166 AND C174 AND C183 AND C204	C158AND C156 AND C166 AND C174 AND C183 AND C204	C158AND C156 AND C166 AND C174 AND C183 AND C204	C158AND C156 AND C166 AND C174 AND C183 AND C204	E.1/27 AND E.1/124 AND E.1/222 AND E.1/220 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	Text attribute – bold on	Rel-5	4.6			C160 AND C159 AND C166 AND C174 AND C204	C160 AND C159 AND C166 AND C174 AND C204	C160 AND C159 AND C166 AND C174 AND C204	C160 AND C159 AND C166 AND C174 AND C183 AND C204	C160 AND C159 AND C166 AND C174 AND C183 AND C204	C160 AND C159 AND C166 AND C174 AND C183 AND C204	C160 AND C159 AND C166 AND C174 AND C183 AND C204	C160 AND C159 AND C166 AND C174 AND C183 AND C204	C160 AND C159 AND C166 AND C174 AND C183 AND C204	C160 AND C159 AND C166 AND C174 AND C183 AND C204	E.1/27 AND E.1/124 AND E.1/225 AND E.1/226 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	Text attribute – italic on	Rel-5	4.7			C161 AND C159 AND C166 AND C174 AND C204	C161 AND C159 AND C166 AND C174 AND C204	C161 AND C159 AND C166 AND C174 AND C204	C161 AND C159 AND C166 AND C174 AND C183 AND C204	C161 AND C159 AND C166 AND C174 AND C183 AND C204	C161 AND C159 AND C166 AND C174 AND C183 AND C204	C161 AND C159 AND C166 AND C174 AND C183 AND C204	C161 AND C159 AND C166 AND C174 AND C183 AND C204	C161 AND C159 AND C166 AND C174 AND C183 AND C204	C161 AND C159 AND C166 AND C174 AND C183 AND C204	E.1/27 AND E.1/124 AND E.1/225 AND E.1/227 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	Text attribute – underline on	Rel-5	4.8			C162 AND C159 AND C166 AND C174 AND C204	C162 AND C159 AND C166 AND C174 AND C204	C162 AND C159 AND C166 AND C174 AND C204	C162 AND C159 AND C166 AND C174 AND C183 AND C204	C162 AND C159 AND C166 AND C174 AND C183 AND C204	C162 AND C159 AND C166 AND C174 AND C183 AND C204	C162 AND C159 AND C166 AND C174 AND C183 AND C204	C162 AND C159 AND C166 AND C174 AND C183 AND C204	C162 AND C159 AND C166 AND C174 AND C183 AND C204	C162 AND C159 AND C166 AND C174 AND C183 AND C204	E.1/27 AND E.1/124 AND E.1/225 AND E.1/228 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	Text attribute – strikethrough on	Rel-5	4.9			C163 AND C159 AND C166 AND C174 AND C204	C163 AND C159 AND C166 AND C174 AND C204	C163 AND C159 AND C166 AND C174 AND C204	C163 AND C159 AND C166 AND C174 AND C183 AND C204	C163 AND C159 AND C166 AND C174 AND C183 AND C204	C163 AND C159 AND C166 AND C174 AND C183 AND C204	C163 AND C159 AND C166 AND C174 AND C183 AND C204	C163 AND C159 AND C166 AND C174 AND C183 AND C204	C163 AND C159 AND C166 AND C174 AND C183 AND C204	C163 AND C159 AND C166 AND C174 AND C183 AND C204	E.1/27 AND E.1/124 AND E.1/225 AND E.1/229 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	Text attribute – foreground and background colours	Rel-5	4.10			C164 AND C165 AND C166 AND C174 AND C204	C164 AND C165 AND C166 AND C174 AND C204	C164 AND C165 AND C166 AND C174 AND C204	C164 AND C165 AND C166 AND C174 AND C183 AND C204	C164 AND C165 AND C166 AND C174 AND C183 AND C204	C164 AND C165 AND C166 AND C174 AND C183 AND C204	C164 AND C165 AND C166 AND C174 AND C183 AND C204	C164 AND C165 AND C166 AND C174 AND C183 AND C204	C164 AND C165 AND C166 AND C174 AND C183 AND C204	C164 AND C165 AND C166 AND C174 AND C183 AND C204	E.1/27 AND E.1/124 AND E.1/230 AND E.1/231 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	UCS2 display in Chinese	R99	5.1			C143 AND C166 AND C174 AND C204	C143 AND C166 AND C174 AND C204	C143 AND C166 AND C174 AND C204	C143 AND C166 AND C174 AND C183 AND C204	C143 AND C166 AND C174 AND C183 AND C204	C143 AND C166 AND C174 AND C183 AND C204	C143 AND C166 AND C174 AND C183 AND C204	C143 AND C166 AND C174 AND C183 AND C204	C143 AND C166 AND C174 AND C183 AND C204	C143 AND C166 AND C174 AND C183 AND C204	E.1/27 AND E.1/15 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	UCS2 display in Katakana	R99	6.1			C145 AND C166 AND C174 AND C204	C145 AND C166 AND C174 AND C204	C145 AND C166 AND C174 AND C204	C145 AND C166 AND C174 AND C183 AND C204	C145 AND C166 AND C174 AND C183 AND C204	C145 AND C166 AND C174 AND C183 AND C204	C145 AND C166 AND C174 AND C183 AND C204	C145 AND C166 AND C174 AND C183 AND C204	C145 AND C166 AND C174 AND C183 AND C204	C145 AND C166 AND C174 AND C183 AND C204	E.1/27 AND E.1/15 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
15	SEND USSD 27.22.4.12																		
	7-bit data, successful	R99	1.1	C204	C204	C204	C204	C204	C183 AND C204	C183 AND C204	C183 AND C204	C183 AND C204	C183 AND C204	C183 AND C204	C183 AND C204	E.1/28 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	8-bit data, successful	R99	1.2	C204	C204	C204	C204	C204	C183 AND C204	C183 AND C204	C183 AND C204	C183 AND C204	C183 AND C204	C183 AND C204	C183 AND C204	E.1/28 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	UCS2 data, successful	R99	1.3	C204	C204	C204	C204	C204	C183 AND C204	C183 AND C204	C183 AND C204	C183 AND C204	C183 AND C204	C183 AND C204	C183 AND C204	E.1/28 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	7-bit data, unsuccessful	R99	1.4	C204	C204	C204	C204	C204	C183 AND C204	C183 AND C204	C183 AND C204	C183 AND C204	C183 AND C204	C183 AND C204	C183 AND C204	E.1/28 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	7-bit data, unsuccessful	R99	1.5	C204	C204	C204	C204	C204	C183 AND C204	C183 AND C204	C183 AND C204	C183 AND C204	C183 AND C204	C183 AND C204	C183 AND C204	E.1/28 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	256 octets, 7-bit data, successful, long alpha identifier	R99	1.6	C204	C204	C204	C204	C204	C183 AND C204	C183 AND C204	C183 AND C204	C183 AND C204	C183 AND C204	C183 AND C204	C183 AND C204	E.1/28 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	7-bit data, successful, no alpha identifier	R99	1.7	C204	C204	C204	C204	C204	C183 AND C204	C183 AND C204	C183 AND C204	C183 AND C204	C183 AND C204	C183 AND C204	C183 AND C204	E.1/28 AND E.1/110	UMTS System Simulator or System Simulator only		
	7-bit data, successful, null length alpha identifier	R99	1.8	C204	C204	C204	C204	C204	C183 AND C204	C183 AND C204	C183 AND C204	C183 AND C204	C183 AND C204	C183 AND C204	C183 AND C204	E.1/28 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	Icons  – basic icon	R99	2.1, 2.3	C108 AND C204	C108 AND C204	C108 AND C204	C108 AND C204	C108 AND C204	C108 AND C183 AND C204	C108 AND C183 AND C204	C108 AND C183 AND C204	C108 AND C183 AND C204	C108 AND C183 AND C204	C108 AND C183 AND C204	C108 AND C183 AND C204	E.1/28 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	Icons  – colour icon	R99	2.2	C186 AND C204	C186 AND C204	C186 AND C204	C186 AND C204	C186 AND C204	C186 AND C183 AND C204	C186 AND C183 AND C204	C186 AND C183 AND C204	C186 AND C183 AND C204	C186 AND C183 AND C204	C186 AND C183 AND C204	C186 AND C183 AND C204	E.1/28 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
