Clause	Title	Release	Applicability	Additional Information
			Condition	Comments	Number of TC Executions	Release on other RAT	Branch
8.5.2	E-UTRAN FDD-UTRAN FDD SON ANR cell search reporting under AWGN propagation conditions	Rel-8	C04f	UE supporting E-UTRA FDD and UTRA FDD and Feature Group Indicators 5, 19 and 22			2Rx, 4Rx
8.5.3	E-UTRAN FDD - UTRAN FDD event triggered reporting when DRX is used under fading propagation conditions	Rel-8	C04d	UE supporting E-UTRA FDD and UTRA FDD and Feature Group Indicators 5, 15 and 22			2Rx, 4Rx
8.5.4	E-UTRAN FDD - UTRAN FDD enhanced cell identification under AWGN propagation conditions	Rel-9	C29	UE supporting E-UTRA FDD and UTRA FDD and Feature Group Indicator 15			2Rx, 4Rx
8.5.6	E-UTRAN FDD - UTRAN FDD event triggered reporting without measurement gaps under AWGN propagation conditions	Rel-10	C48	UE supporting E-UTRA FDD and UTRA FDD and Feature Group Indicator 15 and 22 and Measurement without gaps			2Rx, 4Rx
8.5.7	E-UTRAN FDD - UTRAN FDD event triggered reporting under fading propagation conditions for 5MHz bandwidth	Rel-8	C55	UE supporting E-UTRA FDD and only E-UTRA Band 31 and UTRA FDD and Feature Group Indicators 15 and 22			
8.6.1	E-UTRAN TDD-UTRAN FDD event triggered reporting under fading propagation conditions	Rel-8	C07b	UE supporting E-UTRA TDD and UTRA FDD and Feature Group Indicators 15 and 22			2Rx, 4Rx
8.7.1	E-UTRAN TDD-UTRAN TDD event triggered reporting under fading propagation conditions	Rel-8 Only	C05b	UE supporting E-UTRA TDD and UTRA TDD and Feature Group Indicators 15 and 22	It is not necessary for CA UEs to be tested in this test if 8.20.4 case is executed.		2Rx, 4Rx
		Rel-9	C83	UE supporting E-UTRA TDD and UTRA TDD and not supporting UTRA FDD Feature Group Indicators 15 and 22	It is not necessary for CA UEs to be tested in this test if 8.20.4 case is executed.		2Rx, 4Rx
		Rel-9	C79	UE supporting E-UTRA TDD and UTRA TDD and Feature Group Indicators 15 and 39	It is not necessary for CA UEs to be tested in this test if 8.20.4 case is executed		2Rx, 4Rx
8.7.2	E-UTRAN TDD - UTRAN TDD cell search when DRX is used under fading propagation conditions	Rel-8 Only	C05d	UE supporting E-UTRA TDD and UTRA TDD and Feature Group Indicators 5, 15 and 22		Rel-9 UTRA TDD	2Rx, 4Rx
		Rel-9	C84	UE supporting E-UTRA TDD and UTRA TDD and not supporting UTRA FDD and Feature Group Indicators 5, 15 and 22		Rel-9 UTRA TDD	2Rx, 4Rx
		Rel-9	C80	UE supporting E-UTRA TDD and UTRA TDD and Feature Group Indicators 5, 15 and 39		Rel-9 UTRA TDD	2Rx, 4Rx
8.7.3	E-UTRAN TDD - UTRAN TDD SON ANR cell search reporting under AWGN propagation conditions	Rel-8 Only	C120	UE supporting E-UTRA TDD and UTRA TDD and Feature Group Indicators 19 and 22 		Rel-9 UTRA TDD	2Rx, 4Rx
		Rel-9	C121	UE supporting E-UTRA TDD and UTRA TDD and not supporting UTRA FDD and Feature Group Indicators 22 and 37		Rel-9 UTRA TDD	2Rx, 4Rx
		Rel-9	C122	UE supporting E-UTRA TDD and UTRA TDD and Feature Group Indicators 37 and 39		Rel-9 UTRA TDD	2Rx, 4Rx
8.7.4	E-UTRAN TDD - UTRAN TDD enhanced cell identification under AWGN propagation conditions	Rel-9	C79	UE supporting E-UTRA TDD and UTRA TDD and Feature Group Indicator 15 and 39			2Rx, 4Rx
		Rel-9	C31	UE supporting E-UTRA TDD and UTRA TDD and not supporting UTRA FDD and Feature Group Indicator 15 and 22			2Rx, 4Rx
8.8.1	E-UTRAN FDD-GSM event triggered reporting in AWGN	Rel-8	C08f	UE supporting E-UTRA FDD and GSM and Feature Group Indicator s 15 and 23			2Rx, 4Rx
8.8.2	E-UTRAN FDD - GSM event triggered reporting when DRX is used in AWGN	Rel-8	C08d	UE supporting E-UTRA FDD and GSM and Feature Group Indicators 5, 15 and 23			2Rx, 4Rx
8.9.1	E-UTRAN FDD-UTRAN TDD event triggered reporting in fading propagation conditions	Rel-8 Only	C06b	UE supporting E-UTRA FDD and UTRA TDD and Feature Group Indicators 15 and 22		Rel-9 UTRA TDD	2Rx, 4Rx
		Rel-9 	C85	UE supporting E-UTRA FDD and UTRA TDD and not supporting UTRA FDD and Feature Group Indicators 15 and 22		Rel-9 UTRA TDD	2Rx, 4Rx
		Rel-9	C77	UE supporting E-UTRA FDD and UTRA TDD and Feature Group Indicators 15 and 39		Rel-9 UTRA TDD	2Rx, 4Rx
8.9.2	E-UTRAN FDD - UTRAN TDD enhanced cell identification under AWGN propagation conditions	Rel-9	C78	UE supporting E-UTRA FDD and UTRA TDD and not supporting UTRA FDD and Feature Group Indicator 15 and 22 			2Rx, 4Rx
		Rel-9	C77	UE supporting E-UTRA FDD and UTRA TDD and Feature Group Indicators 15 and 39			2Rx, 4Rx
8.10.1	E-UTRAN TDD-GSM event triggered reporting in AWGN	Rel-8	C09g	UE supporting E-UTRA TDD and GSM and Feature Group Indicators 15 and 23			2Rx, 4Rx
8.10.2	E-UTRAN TDD - GSM event triggered reporting when DRX is used in AWGN	Rel-8	C09e	UE supporting E-UTRA TDD and GSM and Feature Group Indicators 5, 15 and 23			2Rx, 4Rx
8.2.11	E-UTRAN TDD-TDD intra-frequency event triggered reporting for UE configured with highSpeedEnhancedMeasFlag in synchronous cells	Rel-14	C190	UEs supporting E-UTRA TDD and high speed enhancement for measurement			
8.11.1	Multiple E-UTRAN FDD-FDD Inter-frequency event triggered reporting under fading propagation conditions	Rel-8	C01b	UE supporting E-UTRA FDD and Feature Group Indicator 25			2Rx, 4Rx
8.11.2	E-UTRAN TDD - E-UTRAN TDD and E-UTRAN TDD Inter-frequency event triggered reporting under fading propagation conditions	Rel-8	C02b	UE supporting E-UTRA TDD and Feature Group Indicator 25			2Rx, 4Rx
8.11.3	E-UTRAN FDD-FDD Inter-frequency and UTRAN FDD event triggered reporting under fading propagation conditions	Rel-8	C04e	UE supporting E-UTRA FDD and UTRA FDD and Feature Group Indicators 22 and 25			2Rx, 4Rx
8.11.4	InterRAT E-UTRA TDD to E-UTRA TDD and UTRA TDD cell search	Rel-8 Only	C05e	UE supporting E-UTRA TDD and UTRA TDD and Feature Group Indicators 22 and 25			2Rx, 4Rx
		Rel-9	C86	UE supporting E-UTRA TDD and UTRA TDD and not supporting UTRA FDD and Feature Group Indicators 22 and 25			2Rx, 4Rx
		Rel-9	C82	UE supporting E-UTRA TDD and UTRA TDD and Feature Group Indicators 25 and 39			2Rx, 4Rx
8.11.5	Combined E-UTRAN FDD - E-UTRA FDD and GSM cell search; E-UTRA cells in fading; GSM cell in static propagation conditions	Rel-8	C08b	UE supporting E-UTRA FDD and GSM and Feature Group Indicator 23 and 25			2Rx, 4Rx
8.11.6	Combined E-UTRAN TDD - E-UTRA TDD and GSM cell search; E-UTRA cells in fading; GSM cell in static propagation conditions	Rel-8	C09a	UE supporting E-UTRA TDD and GSM and Feature Group Indicator 23 and 25			2Rx, 4Rx
8.12.1	Void						
8.13.1	Void						
8.14.1	E-UTRAN TDD-FDD Inter-frequency event triggered reporting under fading propagation conditions in asynchronous cells	Rel-9	C22	UE supporting E-UTRA FDD and E-UTRA TDD and Feature Group Indicator 25			2Rx, 4Rx
8.14.2	E-UTRAN TDD-FDD Inter-frequency event triggered reporting when DRX is used under fading propagation conditions in synchronous cells	Rel-9	C38	UE supporting E-UTRA FDD and E-UTRA TDD and Feature Group Indicators 4 and 25			
8.14.3	E-UTRAN TDD - FDD Inter-frequency identification of a new CGI of E-UTRA cell using autonomous gaps	Rel-9	C39a	UE supporting E-UTRA FDD and E-UTRA TDD and inter-frequency SI acquisition in TDD for HO and Feature Group Indicator 25			2Rx, 4Rx
8.15.1	E-UTRAN FDD-TDD Inter-frequency event triggered reporting under fading propagation conditions in asynchronous cells	Rel-9	C22	UE supporting E-UTRA FDD and E-UTRA TDD and Feature Group Indicator 25			2Rx, 4Rx
8.15.2	E-UTRAN FDD-TDD Inter-frequency event triggered reporting when DRX is used under fading propagation conditions in asynchronous cells	Rel-9	C38	UE supporting E-UTRA FDD and E-UTRA TDD and Feature Group Indicators 4 and 25			2Rx, 4Rx
8.15.3	E-UTRAN FDD - TDD Inter-frequency identification of a new CGI of E-UTRA cell using autonomous gaps	Rel-9	C39	UE supporting E-UTRA FDD and E-UTRA TDD and inter-frequency SI acquisition in FDD for HO and Feature Group Indicator 25			2Rx, 4Rx
8.16.1	E-UTRAN FDD event triggered reporting under deactivated SCell in non-DRX	Rel-10	C32	UE supporting E-UTRA FDD and CA and Feature Group Indicator 111	Either TC 8.16.1 or TC 8.16.5 or TC 8.16.9 or TC 8.16.13 shall be executed. (Note 1)		2Rx, 4Rx
8.16.2	E-UTRAN TDD event triggered reporting under deactivated SCell in non-DRX	Rel-10	C33	UE supporting E-UTRA TDD and CA and Feature Group Indicator 111	Either TC 8.16.2 or TC 8.16.6 or TC 8.16.10 or TC 8.16.14 or TC 8.16.21 shall be executed. (Note 1)		2Rx, 4Rx
8.16.3	E-UTRAN FDD-FDD Event triggered reporting on deactivated SCell with PCell interruption in non-DRX	Rel-10	C32	UE supporting E-UTRA FDD and CA and Feature Group Indicator 111	Either TC 8.16.3 or TC 8.16.7 or TC 8.16.11 or TC 8.16.15 shall be executed. (Note 1)		2Rx, 4Rx
8.16.4	E-UTRANTDD-TDD Event triggered reporting on deactivated SCell with PCell interruption in non-DRX	Rel-10	C33	UE supporting E-UTRA TDD and CA and Feature Group Indicator 111	Either TC 8.16.4 or TC 8.16.8 or TC 8.16.12 or TC 8.16.16 or TC 8.16.22 shall be executed. (Note 1)		2Rx, 4Rx
8.16.5	E-UTRAN FDD event triggered reporting under deactivated SCell in non-DRX for 20 MHz bandwidth	Rel-10	C32c	UE supporting E-UTRA FDD and CA and Feature Group Indicator 111	Either TC 8.16.1 or TC 8.16.5 or TC 8.16.9 or TC 8.16.13 shall be executed. (Note 1)		2Rx, 4Rx
8.16.6	E-UTRAN TDD event triggered reporting under deactivated SCell in non-DRX for 20 MHz bandwidth	Rel-10	C33c	UE supporting E-UTRA TDD and CA and Feature Group Indicator 111	Either TC 8.16.2 or TC 8.16.6 or TC 8.16.10 or TC 8.16.14 or TC 8.16.21 shall be executed. (Note 1)		2Rx, 4Rx
8.16.7	E-UTRA FDD event triggered reporting on deactivated SCell with PCell interruption in non-DRX for 20 MHz bandwidth	Rel-10	C32c	UE supporting E-UTRA FDD and CA and Feature Group Indicator 111	Either TC 8.16.3 or TC 8.16.7 or TC 8.16.11 or TC 8.16.15 shall be executed. (Note 1)		2Rx, 4Rx
8.16.8	E-UTRAN TDD Event triggered reporting on deactivated SCell with PCell interruption in non-DRX for 20 MHz bandwidth	Rel-10	C33c	UE supporting E-UTRA TDD and CA and Feature Group Indicator 111	Either TC 8.16.4 or TC 8.16.8 or TC 8.16.12 or TC 8.16.16 or TC 8.16.22 shall be executed. (Note 1)		2Rx, 4Rx
8.16.9	E-UTRAN FDD event triggered reporting under deactivated SCell in non-DRX for 10MHz+5MHz	Rel-11	C32	UE supporting E-UTRA FDD and CA and Feature Group Indicator 111	Either TC 8.16.1 or TC 8.16.5 or TC 8.16.9 or TC 8.16.13 shall be executed. (Note 1)		2Rx, 4Rx
8.16.10	E-UTRAN TDD event triggered reporting under deactivated SCell in non-DRX for 10MHz+5MHz	Rel-11	C33	UE supporting E-UTRA TDD and CA and Feature Group Indicator 111	Either TC 8.16.2 or TC 8.16.6 or TC 8.16.10 or TC 8.16.14 or TC 8.16.21 shall be executed. (Note 1)		2Rx, 4Rx
8.16.11	E-UTRAN FDD event triggered reporting on deactivating SCell with PCell interruption in non-DRX for 10MHz+5MHz	Rel-11	C32	UE supporting E-UTRA FDD and CA and Feature Group Indicator 111	Either TC 8.16.3 or TC 8.16.7 or TC 8.16.11 or TC 8.16.15 shall be executed. (Note 1)		2Rx, 4Rx
8.16.12	E-UTRAN TDD event triggered reporting on deactivating SCell with PCell interruption in non-DRX for 10MHz+5MHz	Rel-11	C33	UE supporting E-UTRA TDD and CA and Feature Group Indicator 111	Either TC 8.16.4 or TC 8.16.8 or TC 8.16.12 or TC 8.16.16 or TC 8.16.22 shall be executed. (Note 1)		2Rx, 4Rx
8.16.13	E-UTRAN FDD event triggered reporting under deactivated SCell in non-DRX for 5 MHz+5MHz	Rel-10	C32	UE supporting E-UTRA FDD and CA and Feature Group Indicator 111	Either TC 8.16.1 or TC 8.16.5 or TC 8.16.9 or TC 8.16.13 shall be executed. (Note 1)		2Rx, 4Rx
8.16.14	E-UTRAN TDD event triggered reporting under deactivated SCell in non-DRX for 5 MHz+5MHz	Rel-10	C33	UE supporting E-UTRA TDD and CA and Feature Group Indicator 111	Either TC 8.16.2 or TC 8.16.6 or TC 8.16.10 or TC 8.16.14 or TC 8.16.21 shall be executed. (Note 1)		2Rx, 4Rx
8.16.15	E-UTRA FDD event triggered reporting on deactivated SCell with PCell interruption in non-DRX for 5MHz+5MHz bandwidth	Rel-10	C32	UE supporting E-UTRA FDD and CA and Feature Group Indicator 111	Either TC 8.16.3 or TC 8.16.7 or TC 8.16.11 or TC 8.16.15 shall be executed. (Note 1)		2Rx, 4Rx
8.16.16	E-UTRA TDD event triggered reporting on deactivated SCell with PCell interruption in non-DRX for 5MHz+5MHz bandwidth	Rel-10	C33	UE supporting E-UTRA TDD and CA and Feature Group Indicator 111	Either TC 8.16.4 or TC 8.16.8 or TC 8.16.12 or TC 8.16.16 or TC 8.16.22 shall be executed. (Note 1)		2Rx, 4Rx
8.16.17	E-UTRAN FDD activation and deactivation of known SCell in non-DRX	Rel-10	C32b	UE supporting E-UTRA FDD and CA and Feature Group Indicator 25	Either TC 8.16.17 or TC 8.16.17A shall be executed. (Note 1)		2Rx, 4Rx
8.16.17A	E-UTRAN FDD activation and deactivation of known SCell in non-DRX for 20MHz +20MHz bandwidth	Rel-10	C32a	UE supporting E-UTRA FDD and CA and Feature Group Indicator 25	Either TC 8.16.17 or TC 8.16.17A shall be executed. (Note 1)		
8.16.18	E-UTRAN TDD activation and deactivation of known SCell in non-DRX	Rel-10	C33b	UE supporting E-UTRA TDD and CA and Feature Group Indicator 25	Either TC 8.16.18 or TC 8.16.18A shall be executed. (Note 1)		2Rx, 4Rx
8.16.18A	E-UTRAN TDD activation and deactivation of known SCell in non-DRX for 20MHz +20MHz bandwidth	Rel-10	C33a	UE supporting E-UTRA TDD and CA and Feature Group Indicator 25	Either TC 8.16.18 or TC 8.16.18A shall be executed. (Note 1)		2Rx, 4Rx
8.16.21	E-UTRAN TDD event triggered reporting under deactivated SCell in non-DRX for 20MHz+10MHz	Rel-10	C33d	UE supporting E-UTRA TDD and CA and Feature Group Indicator 111	Either TC 8.16.2 or TC 8.16.6 or TC 8.16.10 or TC 8.16.14 or TC 8.16.21 shall be executed. (Note 1)		2Rx, 4Rx
8.16.22	E-UTRAN TDD event triggered reporting on deactivating SCell with PCell interruption in non-DRX for 20MHz+10MHz	Rel-10	C33d	UE supporting E-UTRA TDD and CA and Feature Group Indicator 111	Either TC 8.16.4 or TC 8.16.8 or TC 8.16.12 or TC 8.16.16 or TC 8.16.22 shall be executed. (Note 1)		2Rx, 4Rx
8.16.23	E-UTRAN TDD-FDD CA event triggered reporting under deactivated SCell in non-DRX with PCell in FDD	Rel-12	C67	UE supporting E-UTRA FDD and TDD and 2DL CA with FDD as PCell and Feature Group Indicator 111			2Rx, 4Rx
8.16.24	E-UTRAN TDD-FDD CA event triggered reporting under deactivated SCell in non-DRX with PCell in TDD	Rel-12	C68	UE supporting E-UTRA FDD and TDD and 2DL CA with TDD as PCell and Feature Group Indicator 111			2Rx, 4Rx
8.16.25	E-UTRAN TDD-FDD CA event triggered reporting on deactivated SCell with PCell interruption in non-DRX with PCell in FDD	Rel-12	C67	UE supporting E-UTRA FDD and TDD and 2DL CA with FDD as PCell and Feature Group Indicator 111			2Rx, 4Rx
8.16.26	E-UTRAN TDD-FDD CA event triggered reporting on deactivated SCell with PCell interruption in non-DRX with PCell in TDD	Rel-12	C68	UE supporting E-UTRA FDD and TDD and 2DL CA with TDD as PCell and Feature Group Indicator 111			2Rx, 4Rx
8.16.27	E-UTRAN TDD-FDD 3 DL CA Event Triggered Reporting under Deactivated SCells in Non-DRX with PCell in FDD	Rel-12	 C167	UE supporting E-UTRA FDD and TDD and 3DL CA with FDD as PCell and Feature Group Indicator 111			2Rx, 4Rx
8.16.28	E-UTRAN TDD-FDD 3DL CA Event Triggered Reporting under Deactivated SCells in Non-DRX with PCell in TDD	Rel-12	 C168	UE supporting E-UTRA FDD and TDD and 3DL CA with TDD as PCell and Feature Group Indicator 111			2Rx, 4Rx
8.16.29	3DL FDD CA Event Triggered Reporting under Deactivated SCells in Non-DRX	Rel-10	 C163	UE supporting E-UTRA FDD and 3DL with intra-band contiguous CA, or 3DL with inter-band CA, or 3DL with intra-band contiguous and inter-band CA			2Rx, 4Rx
		Rel-11	 C164	UE supporting E-UTRA FDD and 3DL with intra-band non-contiguous and inter-band CA, or 3DL with intra-band non-contiguous and intra-band contiguous CA			2Rx, 4Rx
8.16.30	3DL TDD CA Event Triggered Reporting under Deactivated SCells in Non-DRX	Rel-10	 C165	UE supporting E-UTRA TDD and 3DL with intra-band contiguous CA, or 3DL with inter-band CA, or 3DL with intra-band contiguous and inter-band CA			2Rx, 4Rx
		Rel-11	 C166	UE supporting E-UTRA TDD and 3DL with intra-band non-contiguous and inter-band CA, or 3DL with intra-band non-contiguous and intra-band contiguous CA			2Rx, 4Rx
8.16.31	E-UTRAN TDD-FDD 3DL CA Event Triggered Reporting on Deactivated SCell with PCell and SCell Interruptions in Non-DRX and with PCell in FDD	Rel-12	 C167	UE supporting E-UTRA FDD and TDD and 3DL CA with FDD as PCell and Feature Group Indicator 111			2Rx, 4Rx
8.16.32	E-UTRAN TDD-FDD 3DL CA Event Triggered Reporting on Deactivated SCell with PCell and SCell Interruptions in Non-DRX and with PCell in TDD	Rel-12	 C168	UE supporting E-UTRA FDD and TDD and 3DL CA with TDD as PCell and Feature Group Indicator 111			2Rx, 4Rx
8.16.33	E-UTRAN FDD 3DL CA Event Triggered Reporting on Deactivated SCell with PCell and SCell Interruptions in Non-DRX	Rel-10	 C163	UE supporting E-UTRA FDD and 3DL with intra-band contiguous CA, or 3DL with inter-band CA, or 3DL with intra-band contiguous and inter-band CA			2Rx, 4Rx
		Rel-11	 C164	UE supporting E-UTRA FDD and 3DL with intra-band non-contiguous and inter-band CA, or 3DL with intra-band non-contiguous and intra-band contiguous CA			2Rx, 4Rx
8.16.34	E-UTRAN TDD 3 DL CA Event Triggered Reporting on Deactivated SCell with PCell and SCell Interruptions in Non-DRX	Rel-10	 C165	UE supporting E-UTRA TDD and 3DL with intra-band contiguous CA, or 3DL with inter-band CA, or 3DL with intra-band contiguous and inter-band CA			2Rx, 4Rx
		Rel-11	 C166	UE supporting E-UTRA TDD and 3DL with intra-band non-contiguous and inter-band CA, or 3DL with intra-band non-contiguous and intra-band contiguous CA			2Rx, 4Rx
8.16.35	E-UTRAN TDD-FDD 3 DL CA activation and deactivation of known SCell in non-DRX with PCell in FDD	Rel-12	C130	UE supporting E-UTRA FDD and TDD and 3DL CA with FDD as PCell and Feature Group Indicator 25			2Rx, 4Rx
8.16.36	E-UTRAN TDD-FDD 3 DL CA activation and deactivation of known SCell in non-DRX with PCell in TDD	Rel-12	C131	UE supporting E-UTRA FDD and TDD and 3DL CA with TDD as PCell and Feature Group Indicator 25			2Rx, 4Rx
8.16.37	3DL FDD CA activation and deactivation of known SCell in non-DRX	Rel-10	C91	UE supporting E-UTRA FDD and 3DL with intra-band contiguous CA, or 3DL with inter-band CA, or 3DL with intra-band contiguous and inter-band CA and Feature Group Indicator 25			2Rx, 4Rx
		Rel-11	C92	UE supporting E-UTRA FDD and 3DL with intra-band non-contiguous and inter-band CA, or 3DL with intra-band non-contiguous and intra-band contiguous CA and Feature Group Indicator 25			2Rx, 4Rx
8.16.38	3DL TDD CA activation and deactivation of known SCell in non-DRX	Rel-10	C132	UE supporting E-UTRA TDD and 3DL with intra-band contiguous CA, or 3DL with inter-band CA, or 3DL with intra-band contiguous and inter-band CA and Feature Group Indicator 25			2Rx, 4Rx
		Rel-11	C133	UE supporting E-UTRA TDD and 3DL with intra-band non-contiguous and inter-band CA, or 3DL with intra-band non-contiguous and intra-band contiguous CA and Feature Group Indicator 25			2Rx, 4Rx
8.16.39	E-UTRA TDD-FDD 3DL CA Activation and Deactivation of Unknown SCell in Non-DRX with PCell in FDD	Rel-12	C130	UE supporting E-UTRA FDD and TDD and 3DL CA with FDD as PCell and Feature Group Indicator 25			2Rx, 4Rx
8.16.40	E-UTRA TDD-FDD 3DL CA Activation and Deactivation of Unknown SCell in Non-DRX with PCell in TDD	Rel-12	C131	UE supporting E-UTRA FDD and TDD and 3DL CA with TDD as PCell and Feature Group Indicator 25			2Rx, 4Rx
8.16.41	3DL FDD CA activation and deactivation of unknown SCell in non-DRX	Rel-10	C91	UE supporting E-UTRA FDD and 3DL with intra-band contiguous CA, or 3DL with inter-band CA, or 3DL with intra-band contiguous and inter-band CA and Feature Group Indicator 25			2Rx, 4Rx
		Rel-11	C92	UE supporting E-UTRA FDD and 3DL with intra-band non-contiguous and inter-band CA, or 3DL with intra-band non-contiguous and intra-band contiguous CA and Feature Group Indicator 25			2Rx, 4Rx
8.16.42	3DL TDD CA activation and deactivation of unknown SCell in non-DRX	Rel-10	C132	UE supporting E-UTRA TDD and 3DL with intra-band contiguous CA, or 3DL with inter-band CA, or 3DL with intra-band contiguous and inter-band CA and Feature Group Indicator 25			2Rx, 4Rx
		Rel-11	C133	UE supporting E-UTRA TDD and 3DL with intra-band non-contiguous and inter-band CA, or 3DL with intra-band non-contiguous and intra-band contiguous CA and Feature Group Indicator 25			2Rx, 4Rx
8.16.51	4DL FDD CA Event Triggered Reporting with 3 deactivated SCells in Non-DRX	Rel-11	C156	UE supporting E-UTRA FDD and 4DL with inter-band CA, or 4DL with intra-band contiguous and inter-band CA, or 4DL with intra-band non-contiguous and inter-band CA, or 4DL with intra-band non-contiguous and intra-band contiguous CA, or 4DL with Intra-band non-contiguous and Intra-band non-contiguous CA and Feature Group Indicator 111			2Rx, 4Rx
8.16.52	4DL TDD CA Event Triggered Reporting with 3 deactivated SCells in Non-DRX	Rel-11	C161	UE supporting E-UTRA TDD and 4DL intra-band contiguous CA, or 4DL with inter-band CA, or 4DL with intra-band contiguous and inter-band CA, or 4DL with intra-band non-contiguous and inter-band CA, or 4DL with intra-band non-contiguous and intra-band contiguous CA or 4DL with Intra-band non-contiguous and Intra-band non-contiguous CA. and Feature Group Indicator 111.			2Rx, 4Rx
8.16.53	4DL PCell in FDD CA Event Triggered Reporting with 3 Deactivated SCells in Non-DRX	Rel-12	C187	UE supporting E-UTRA FDD and TDD and 4DL CA with FDD as PCell and Feature Group Indicator 111			2Rx, 4Rx
8.16.54	4DL PCell in TDD CA Event Triggered Reporting with 3 Deactivated SCells in Non-DRX	Rel-12	C188	UE supporting E-UTRA FDD and TDD and 4DL CA with TDD as PCell and Feature Group Indicator 111			2Rx, 4Rx
8.16.55	4 DLFDD CA Event Triggered Reporting on Deactivated SCell with PCell and SCell Interruptions in Non-DRX	Rel-12	C156	UE supporting E-UTRA FDD and 4DL with inter-band CA, or 4DL with intra-band contiguous and inter-band CA, or 4DL with intra-band non-contiguous and inter-band CA, or 4DL with intra-band non-contiguous and intra-band contiguous CA, or 4DL with Intra-band non-contiguous and Intra-band non-contiguous CA and Feature Group Indicator 111		2Rx, 4Rx	2Rx, 4Rx
8.16.56	4DL TDD CA Event Triggered Reporting on Deactivated SCell with PCell and SCell Interruptions in Non-DRX	Rel-12	C189	UE supporting E-UTRA TDD and 4DL CA and Feature Group Indicator 111			2Rx, 4Rx
8.16.57	4DL FDD CA activation and deactivation of know SCell in non-DRX	Rel-11	C192	UE supporting E-UTRA FDD and 4DL with inter-band CA, or 4DL with intra-band contiguous and inter-band CA, or 4DL with intra-band non-contiguous and inter-band CA, or 4DL with intra-band non-contiguous and intra-band contiguous CA, or 4DL with Intra-band non-contiguous and Intra-band non-contiguous CA and Feature Group Indicator 25			2Rx, 4Rx
8.16.58	4DL TDD CA activation and deactivation of know SCell in non-DRX	Rel-11	C193	UE supporting E-UTRA TDD and 4DL with intra-band contiguous CA, or 4DL with inter-band CA, or 4DL with intra-band non-contiguous and inter-band CA, or 4DL with intra-band non-contiguous and intra-band contiguous CA, or 4DL with Intra-band non-contiguous and Intra-band non-contiguous CA, or 4DL with intra-band contiguous and inter-band CA and Feature Group Indicator 25			2Rx, 4Rx
8.16.59	4DL PCell in FDD CA Activation and Deactivation of Known SCell in Non-DRX	Rel-12	C190	UE supporting E-UTRA FDD and TDD and 4DL CA with FDD as PCell and Feature Group Indicator 25			2Rx, 4Rx
8.16.60	4DL PCell in TDD CA activation and deactivation of known SCell in non-DRX	Rel-12	C191	UE supporting E-UTRA FDD and TDD and 4DL CA with TDD as PCell and Feature Group Indicator 25			2Rx, 4Rx
8.16.61	4DL FDD CA activation and deactivation of unknown SCell in non-DRX	Rel-11	C192	UE supporting E-UTRA FDD and 4DL with inter-band CA, or 4DL with intra-band contiguous and inter-band CA, or 4DL with intra-band non-contiguous and inter-band CA, or 4DL with intra-band non-contiguous and intra-band contiguous CA, or 4DL with Intra-band non-contiguous and Intra-band non-contiguous CA and Feature Group Indicator 25			2Rx, 4Rx
8.16.62	4DL TDD CA activation and deactivation of unknown SCell in non-DRX	Rel-11	C193	UE supporting E-UTRA TDD and 4DL with intra-band contiguous CA, or 4DL with inter-band CA, or 4DL with intra-band contiguous, or 4DL with intra-band non-contiguous and inter-band CA, or 4DL with intra-band non-contiguous and intra-band contiguous CA, or 4DL with Intra-band non-contiguous and Intra-band non-contiguous CA and inter-band CA and Feature Group Indicator 25			2Rx, 4Rx
8.16.63	4 DL PCell in FDD CA Activation and Deactivation of Unknown SCell in Non-DRX	Rel-12	C190	UE supporting E-UTRA FDD and TDD and 4DL CA with FDD as PCell and Feature Group Indicator 25			2Rx, 4Rx
8.16.64	4DL Pcell in TDD CA activation and deactivation of unknown SCell in non-DRX	Rel-12	C191	UE supporting E-UTRA FDD and TDD and 4DL CA with TDD as PCell and Feature Group Indicator 25			2Rx, 4Rx
8.16.65	5DL PCell in FDD CA Event Triggered Reporting with 4 Deactivated SCells in Non-DRX	Rel-11	C169	UE supporting E-UTRA FDD and TDD with FDD as PCell and 5DL with Intra-band contiguous and Inter-band CA, or 5DL with Intra-band non-contiguous and Inter-band CA and Feature Group Indicator 111			2Rx, 4Rx
		Rel-12	C170	UE supporting E-UTRA FDD and TDD with FDD as PCell and 5DL with Inter-band CA and Feature Group Indicator 111			2Rx, 4Rx
8.16.66	5DL PCell in TDD CA Event Triggered Reporting with 4 Deactivated SCells in Non-DRX	Rel-11	C169	UE supporting E-UTRA FDD and TDD with TDD as PCell and 5DL with Intra-band contiguous and Inter-band CA, or 5DL with Intra-band non-contiguous and Inter-band CA and Feature Group Indicator 111			2Rx, 4Rx
		Rel-12	C170	UE supporting E-UTRA FDD and TDD with TDD as PCell and 5DL with Inter-band CA and Feature Group Indicator 111			2Rx, 4Rx
8.16.71	5DL FDD CA Event Triggered Reporting with Deactivated SCells in Non-DRX	Rel-11	C171	UE supporting E-UTRA FDD and 5DL with Intra-band contiguous and Inter-band CA, or 5DL with Intra-band non-contiguous and Inter-band CA, or 5DL with Intra-band non-contiguous and Intra-band contiguous CA and Feature Group Indicator 111			2Rx, 4Rx
		Rel-12	C172	UE supporting E-UTRA FDD and 5DL with Inter-band CA and Feature Group Indicator 111			2Rx, 4Rx
