c	Title	Release	Applicability	Applicability Limitations	Status	Specific PICS Statements	Supported	
31.1.1.1	CLIP/ Normal operation	Phase 2	MS supporting the SS CLIP		C197	TSPC_AddInfo_MTsvc		
31.1.1.2.1	CLIP/ Interrogation accepted	Phase 2	MS supporting the SS CLIP		C197			
31.1.1.2.2	CLIP/ Interrogation rejected	Phase 2	MS supporting the SS CLIP		C197			
31.1.2.1	CLIR/ Normal operation - requesting presentation of CLI	Phase 2	MS supporting the SS CLIR		C198	TSPC_AddInfo_MOsvc		
31.1.2.2	CLIR/ Normal operation - requesting restriction of CLI presentation	Phase 2	MS supporting the SS CLIR		C198	TSPC_AddInfo_MOsvc		
31.1.2.3.1	CLIR/Interrogation accepted	Phase 2	MS supporting the SS CLIR		C198			
31.1.2.3.2	CLIR/Interrogation rejected	Phase 2	MS supporting the SS CLIR		C198			
31.1.3.1	COLP/ Interrogation accepted	Phase 2 	MS supporting the SS COLP		C199	TSPC_AddInfo_MOsvc		
31.1.3.2.1	COLP/ Interrogation accepted	Phase 2	MS supporting the SS COLP		C199			
31.1.3.2.2	COLP/ Interrogation rejected	Phase 2	MS supporting the SS COLP		C199			
31.1.4.1.1	COLR/ Interrogation accepted	Phase 2	MS supporting the SS COLR		C200			
31.1.4.1.2	COLR/ Interrogation rejected	Phase 2	MS supporting the SS COLR		C200			
31.1.4.2	Void							
31.1.5.1.1	CNAP/Normal Operation – Name indication contained in Setup message	R97	MS supporting the SS CNAP		C386	TSPC_AddInfo_MTsvc		
31.1.5.1.2	CNAP/Normal Operation – Name indication contained in Facility message	R97	MS supporting the SS CNAP		C386	TSPC_AddInfo_MTsvc		
31.1.5.2.1	CNAP/Interrogation accepted	R97	MS supporting the SS CNAP		C386			
31.1.5.2.2	CNAP/Interrogation rejected	R97	MS supporting the SS CNAP		C386			
31.2.1.1.1	Call forwarding supplementary services, Registration accepted	Phase 2	MS supporting the SSs CFNRy or CFU		C64			
31.2.1.1.2	Call forwarding supplementary services, Registration rejected	Phase 2	MS supporting the SSs CFB or CFU or CFNRc or CFNRy		C65			
31.2.1.2.1	Call forwarding supplementary services, Erasure accepted	Phase 2	MS supporting the SSs CFB or CFNRc or CFNRy		C66			
31.2.1.2.2	Call forwarding supplementary services, Erasure rejected	Phase 2	MS supporting the SSs CFNRy or CFU		C64			
31.2.1.3	Call forwarding supplementary services, Activation	Phase 2	MS supporting the SSs CFB or CFU or CFNRc or CFNRy		C65			
31.2.1.4	Call forwarding supplementary services, Deactivation	Phase 2	MS supporting the SSs CFB or CFNRc or CFNRy		C66			
31.2.1.6.1	Call forwarding supplementary services, Interrogation accepted	Phase 2	MS supporting the SSs CFB or CFNRc or CFNRy		C66	TSPC_AddInfo_Full_rate_version_1		
31.2.1.6.2	Call forwarding supplementary services, Interrogation rejected	Phase 2	MS supporting the SSs CFB or CFNRc		C133			
31.2.1.7.1.1	Call forwarding supplementary services, Notification during an incoming call	Phase 2	MS supporting CFB		C67			
31.2.1.7.1.2	Call forwarding supplementary services, Notification during an outgoing call	Phase 2	MS supporting the SSs CFB or CFU or CFNRc or CFNRy		C65			
31.2.1.7.2	Call forwarding supplementary services, Forwarded-to mobile subscriber side	Phase 2	MS supporting the SSs CFB or CFU or CFNRc or CFNRy		C65			
31.2.2	Call transfer and mobile access hunting supplementary services	Phase 2 	Reserved					
31.3.1.1	Call completion supplementary services, Waiting call indication and confirmation	Phase 2	MS supporting Call Waiting SS		C196	TSPC_AddInfo_MTsvc		
31.3.1.2.1	Call completion supplementary services, Waiting call accepted; existing call released	Phase 2	MS supporting Call Waiting SS		C196	TSPC_AddInfo_MTsvc		
31.3.1.2.2.1	Call completion supplementary services; Waiting call accepted; existing call on hold, no additional calls	Phase 2	MS supporting Speech and Call Waiting SS		C462			
31.3.1.2.3	Call completion supplementary services, Existing call released by user A; waiting call accepted	Phase 2	MS supporting Call Waiting SS		C196	TSPC_AddInfo_MTsvc		
31.3.1.3.1	Call completion supplementary services, Waiting call released by subscriber B	Phase 2	MS supporting Call Waiting SS		C196	TSPC_AddInfo_MTsvc		
31.3.1.3.2	Call completion supplementary services, Waiting call released by calling user C	Phase 2 	MS supporting Call Waiting SS		C196	TSPC_AddInfo_MTsvc		
31.3.1.4	Call completion supplementary services, Activation	Phase 2	MS supporting Call Waiting SS		C196			
31.3.1.5	Call completion supplementary services, Deactivation	Phase 2	MS supporting Call Waiting SS		C196			
31.3.1.6.1	Call completion supplementary services, Interrogation accepted	Phase 2	MS supporting Call Waiting SS		C196			
31.3.1.6.2	Call completion supplementary services, Interrogation rejected	Phase 2	MS supporting Call Waiting SS		C196			
31.3.2.1	Call completion supplementary services, Hold invocation	Phase 2	MS supporting Call Hold SS		C195			
31.3.2.2	Call completion supplementary services, Retrieve procedure	Phase 2	MS supporting Call Hold SS		C195			
31.3.2.3	Call completion supplementary services, Alternate from one call to the other	Phase 2	MS supporting Call Hold SS		C195			
31.4.1.1	Multi-party supplementary services, Beginning the MultiParty service, successful case	Phase 2	MS supporting Multi Party SS		C194			
31.4.1.2	Multi-party supplementary services, Beginning the MultiParty service, unsuccessful case	Phase 2	MS supporting Multi Party SS		C194			
31.4.1.3	Multi-party supplementary services, Beginning the MultiParty service, expiry of timer T(BuildMPTY)	Phase 2	MS supporting Multi Party SS		C194			
31.4.2.1.1.1	Multi-party, Managing an active MultiParty call, Put the MultiParty call on hold, successful case	Phase 2	MS supporting Multi Party SS		C194			
31.4.2.1.1.2	Multi-party, Managing an active MultiParty call, Put the MultiParty call on hold, unsuccessful case	Phase 2	MS supporting Multi Party SS		C194			
31.4.2.1.1.3	Multi-party, Managing an active MultiParty call, Put the MultiParty call on hold, expiry of timer T(HoldMPTY)	Phase 2	MS supporting Multi Party SS		C194			
31.4.2.1.2.1	Multi-party, Managing an active MultiParty call, Create a private communication with one of the remote parties, successful case	Phase 2	MS supporting Multi Party SS		C194			
31.4.2.1.2.2	Multi-party, Managing an active MultiParty call, Create a private communication with one of the remote parties, unsuccessful case	Phase 2	MS supporting Multi Party SS		C194			
31.4.2.1.2.3	Multi-party, Managing an active MultiParty call, Create a private communication with one of the remote parties, expiry of timer T (SplitMPTY)	Phase 2	MS supporting Multi Party SS		C194			
31.4.2.1.3	Multi-party supplementary services, Terminate the entire MultiParty call	Phase 2	MS supporting Multi Party SS		C194			
31.4.2.1.4	Multi-party supplementary services, Explicitly disconnect a remote party	Phase 2	MS supporting Multi Party SS		C194			
31.4.2.2.1	Multi-party supplementary services, Release from the MultiParty call	Phase 2	MS supporting Multi Party SS		C194			
31.4.3.1.1	Multi-party supplementary services, Retrieve the held MultiParty call, successful case	Phase 2	MS supporting Multi Party SS		C194			
31.4.3.1.2	Multi-party supplementary services, Retrieve the held MultiParty call, unsuccessful case	Phase 2	MS supporting Multi Party SS		C194			
31.4.3.1.3	Multi-party supplementary services, Retrieve the held MultiParty call, expiry of timer T(RetrieveMPTY)	Phase 2	MS supporting Multi Party SS		C194			
31.4.3.2	Multi-party supplementary services, Initiate a new call	Phase 2	MS supporting Multi Party SS		C194			
31.4.3.3	Multi-party supplementary services, Process a call waiting request	Phase 2	MS supporting Multi Party SS		C194			
31.4.3.4	Multi-party supplementary services, Terminate the held MultiParty call	Phase 2	MS supporting Multi Party SS		C194			
31.4.4.1.1.1	Multi-party, Managing a single call and a MultiParty call, Disconnect the single call, single call active	Phase 2	MS supporting Multi Party SS		C194			
31.4.4.1.1.2	Multi-party, Managing a single call and a MultiParty call, Disconnect the single call, single call held	Phase 2	MS supporting Multi Party SS		C194			
31.4.4.1.2.3	Clear all parties of held MultiParty call	Phase 2	MS supporting Multi Party SS		C194			
31.4.4.1.2.4	Clear all parties of active MultiParty call	Phase 2	MS supporting Multi Party SS		C194			
31.4.4.2	Multi-party supplementary services, Disconnect all calls	Phase 2	MS supporting Multi Party SS		C194			
31.4.4.3.1	Multi-party supplementary services, Add the single call to the MPTY, successful case	Phase 2	MS supporting Multi Party SS		C194			
31.4.4.3.2	Multi-party supplementary services, Add the single call to the MPTY, maximum number of participants exceeded	Phase 2	MS supporting Multi Party SS		C194			
31.4.4.4	Multi-party supplementary services, Alternate between the MPTY call and the single call	Phase 2	MS supporting Multi Party SS		C194			
31.4.5	Multi-party supplementary services, Adding extra remote parties	Phase 2	MS supporting Multi Party SS		C194			
31.5	Community of interest supplementary services	Phase 2 	Reserved					
31.6.1.1	AOC time related charging/MS originated call	Phase 2 	MS supporting AoCC		C340	TSPC_AddInfo_TeleSvc		
31.6.1.2	AOC time related charging/MS terminated call	Phase 2	MS supporting AoCC		C340	TSPC_AddInfo_TeleSvc		
31.6.1.5	Change in charging information during a call	Phase 2	MS supporting AoCC 		C340	TSPC_AddInfo_TeleSvc		
31.6.1.6	Different formats of charging information	Phase 2	MS supporting AoCC		C340	TSPC_AddInfo_TeleSvc		
31.6.1.7	AOC on a Call Hold call	Phase 2	MS supporting AoCC and call hold		C340	TSPC_AddInfo_TeleSvc		
31.6.1.8	AOC on a Multi-party call	Phase 2	MS supporting AoCC and multiparty service		C340	TSPC_AddInfo_TeleSvc		
31.6.2.1	Removal of SIM during an active call	Phase 2	MS supporting AoCC and SIM removal without powering down		C368	TSPC_AddInfo_TeleSvc		
31.6.2.2	Interruption of power supply during an active call	Phase 2	MS supporting AoCC 		C340	TSPC_AddInfo_TeleSvc		
31.6.2.3	MS going out of coverage during an active AOCC call	Phase 2	MS supporting AoCC 		C340	TSPC_AddInfo_TeleSvc		
31.6.2.4	ACMmax operation/Mobile Originating	Phase 2	MS supporting AoCC 		C340	TSPC_AddInfo_TeleSvc		
31.6.2.5	ACMmax operation/Mobile Terminating	Phase 2	MS supporting AoCC 		C340	TSPC_AddInfo_TeleSvc		
31.6.3.1	AoCI time related charging/MS originated call	Phase 2	MS supporting AoCI		C341	TSPC_AddInfo_TeleSvc		
31.6.3.2	AoCI time related charging/MS terminated call	Phase 2	MS supporting AoCI		C341	TSPC_AddInfo_TeleSvc		
31.6.3.5	Change in charging information during a call	Phase 2	MS supporting AoCI		C341	TSPC_AddInfo_TeleSvc		
31.6.3.6	Different formats of charging information	Phase 2	MS supporting AoCI		C341	TSPC_AddInfo_TeleSvc		
31.6.3.7	AoCI on a Call Hold call	Phase 2	MS supporting AoCI		C341	TSPC_AddInfo_TeleSvc		
31.6.3.8	AoCI on a Multi-party call	Phase 2	MS supporting AoCI		C341	TSPC_AddInfo_TeleSvc		
31.7	Additional information transfer supplementary services	Phase 2	Reserved					
31.8.1.1	Registration accepted	Phase 2	MS supporting the SS BOIC or BAIC or BOICextHC or BICRoam or BAOC		C62			
31.8.1.2.1	Rejection after invoke of the RegisterPassword operation	Phase 2	MS supporting the SS BOIC or BAIC or BOICextHC or BICRoam or BAOC		C62			
31.8.1.2.2	Rejection after password check with negative result	Phase 2	MS supporting the SS BOIC or BAIC or BOICextHC or BICRoam or BAOC		C62			
31.8.1.2.3	Rejection after new password mismatch	Phase 2	MS supporting the SS BOIC or BAIC or BOICextHC or BICRoam or BAOC and not verification for correct repetition of new password and Keypad		C370			
31.8.3.1	Activation accepted	Phase 2	MS supporting the SSs BIC Roam and BAOC		C68			
31.8.3.2.1	Rejection after invoke of ActivateSS operation	Phase 2	MS supporting the SS BOIC (Barring of Outgoing International Calls)		C134			
31.8.3.2.2	Rejection after use of password procedure	Phase 2	MS supporting the SS BAIC (Barring of All Incoming Calls)		C135			
31.8.4.1	Deactivation accepted	Phase 2	MS supporting the SS BOIC or BAIC or BOICextHC or BICRoam or BAOC		C62			
31.8.4.2.1	Rejection after invoke of DeactivateSS operation	Phase 2	MS supporting the SS BOIC (Barring of Outgoing International Calls)		C134			
31.8.4.2.2	Rejection after use of password procedure	Phase 2	MS supporting the SS BOICexHC		C136			
31.8.6.1	Interrogation accepted	Phase 2	MS supporting the SS BOICexHC or BAIC		C137	TSPC_Serv_SS_BAIC TSPC_Serv_SS_BOICexHC		
31.8.6.2	Interrogation rejected	Phase 2	MS supporting the SS BOIC or BICRoam		C138	TSPC_Serv_SS_BICRoam TSPC_Serv_SS_BOIC		
31.8.7	Normal operation	Phase 2	MS supporting the SS BOIC (Barring of Outgoing International Calls)		C134			
31.9.1.1	ProcessUnstructuredSS-request/accepted	Phase 2	MS supporting USSD and supporting CC protocol for at least one Bearer Capability		C140			
31.9.1.2	ProcessUnstructuredSS-request/cross phase compatibility and error handling	Phase 2	MS supporting USSD and supporting CC protocol for at least one Bearer Capability		C140			
31.9.2.1	UnstructuredSS-Notify/accepted	Phase 2	MS supporting USSD and at least one MT circuit switched basic service and supporting CC protocol for at least one Bearer Capability		C469			
31.9.2.2	UnstructuredSS-Notify/rejected on user busy	Phase 2	MS supporting USSD and supporting CC protocol for at least one Bearer Capability		C140			
31.9.2.3	UnstructuredSS-Request/accepted	Phase 2	MS supporting USSD and at least one MT circuit switched basic service and supporting CC protocol for at least one Bearer Capability		C469			
31.9.2.4	UnstructuredSS-Request/rejected on user busy	Phase 2	MS supporting USSD and supporting CC protocol for at least one Bearer Capability		C140			
31.10	MMI input for USSD	Phase 2	MS supporting CC protocol for at least one bearer capability		C43			
31.12.1	eMLPP Service/priority level of MO call	R96	MS supporting eMLPP and TS11		C111	TSPC_AddInfo_MOsvc TSPC_Serv_TS12 TSPC_AddInfo_VGCS_Originating TSPC_AddInfo_VBS_Originating		
31.12.2	eMLPP Service/automatic answering point-to-point MT call	R96 	MS supporting eMLPP, HOLD, CW and TS11		C112	TSPC_AddInfo_VGCS_Listening TSPC_AddInfo_VBS_Listening		
31.12.3	eMLPP Service/automatic answering MT VGCS or VBS call	R96	MS supporting eMLPP and supporting VGCS or VBS listening		C113			
31.12.4	eMLPP Service/registration	R96	MS supporting eMLPP		C114			
31.12.5	eMLPP Service/interrogation	R96	MS supporting eMLPP		C114			
31.13.1.1	Explicit Call Transfer invocation, successful case, both calls active, clearing using DISCONNECT	R96	MS supporting Explicit Call Transfer SS		C193			
31.13.1.2	Explicit Call Transfer invocation, successful case, both calls active, clearing using RELEASE	R96	MS supporting Explicit Call Transfer SS		C193			
31.13.1.3	Explicit Call Transfer invocation, successful case, both calls active, clearing using RELEASE COMPLETE	R96	MS supporting Explicit Call Transfer SS		C193			
31.13.1.4	Explicit Call Transfer invocation, successful case, second call alerting	R96	MS supporting Explicit Call Transfer SS		C193			
31.13.1.5	Explicit Call Transfer invocation, unsuccessful case	R96	MS supporting Explicit Call Transfer SS		C193			
31.13.1.6	Explicit Call Transfer invocation, expiry of T(ECT)	R96	MS supporting Explicit Call Transfer SS		C193			
31.14.1.1	UUS/Implicit UUS1/CC MO call	R99	MS supporting Implicit User-to-User Signalling SS		C192	TSPC_AddInfo_MOsvc TSPC_Serv_SS_UUS		
31.14.1.2	UUS/Implicit UUS1/CC MT call	R99	MS supporting Implicit User-to-User Signalling SS		C192	TSPC_AddInfo_MTsvc TSPC_Serv_SS_UUS		
31.14.1.3	UUS/Implicit UUS1/Interactions with Call Waiting and call HOLD supplementary services	R99	MS supporting Implicit User-to-User Signalling SS		C192	TSPC_AddInfo_MOsvc TSPC_AddInfo_MTsvc TSPC_Serv_SS_UUS TSPC_Serv_SS_HOLD		
31.15.1	Follow Me (FM)/Registration	R99	MS supporting Follow Me SS		C191			
31.15.2	Follow Me (FM)/Interrogation	R99	MS supporting Follow Me SS		C191			
31.15.3	Follow Me (FM)/Erasure	R99	MS supporting Follow Me SS		C191			
32.1	Full Rate Downlink speech transcoding	Phase 2	MS supporting speech		C24			
32.2	Full Rate Downlink receiver DTX functions	Phase 2	MS supporting speech		C24			
32.3	Full Rate Uplink speech transcoding	Phase 2	MS supporting speech		C24			
32.4	Full Rate Uplink transmitter DTX functions	Phase 2	MS supporting speech		C24			
32.5.4	Full Rate Speech channel transmission delay - Downlink processing delay	Phase 2	MS supporting speech		C24			
32.5.5	Full Rate Speech channel transmission delay -Downlink coding delay	Phase 2	MS supporting speech		C24			
32.5.6	Full Rate Speech channel transmission delay -Uplink processing delay	Phase 2	MS supporting speech		C24			
32.5.7	Full Rate Speech channel transmission delay -Uplink coding delay	Phase 2	MS supporting speech		C24			
32.6	Half Rate Downlink speech transcoding	Phase 2	MS supporting half rate speech		C13			
32.7	Half Rate Downlink receiver DTX functions	Phase 2	MS supporting half rate speech		C13			
32.8	Half Rate Uplink speech transcoding	Phase 2	MS supporting half rate speech		C13			
32.9	Half Rate Uplink transmitter DTX functions	Phase 2	MS supporting half rate speech		C13			
32.10.4	Half Rate Speech channel transmission delay - Downlink processing delay	Phase 2	MS supporting half rate speech		C13			
32.10.5	Half Rate Speech channel transmission delay - Downlink coding delay	Phase 2	MS supporting half rate speech		C13			
32.10.6	Half Rate Speech channel transmission delay - Uplink processing delay	Phase 2	MS supporting half rate speech		C13			
32.10.7	Half Rate Speech channel transmission delay - Uplink coding delay	Phase 2	MS supporting half rate speech		C13			
32.11	Intra cell channel change from a TCH/HS to a TCH/FS	Phase 2	MS supporting half rate speech		C13			
32.12	Intra cell channel change from a TCH/FS to a TCH/HS	Phase 2	MS supporting half rate speech		C13			
33.1	Entry and display of called number	Phase 2	MS supporting display of called number		C190			
33.2.4	Ringing tone	Phase 2	MS supporting audible indication of service tones		C206			
33.2.5	Busy tone	Phase 2	MS supporting audible indication of service tones		C206			
33.2.6	Congestion tone	Phase 2	MS supporting audible indication of service tones		C206			
33.2.7	Authentication failure tone	Phase 2	MS supporting audible indication of service tones		C206			
33.2.8	Number unobtainable tone	Phase 2	MS supporting audible indication of service tones		C206			
33.2.9	Call dropped tone	Phase 2	MS supporting audible indication of service tones		C206			
33.3-1	Network selection/indication	Phase 2	All MS	E1	A	TSPC_Feat_PLMNind		
33.3-2	Network selection/indication	Phase 2	All MS	E1	A	TSPC_Feat_PLMNind		
33.4	Invalid and blocked PIN indicators	Phase 2	All MS	E1	A			
33.5	Service indicator	Phase 2	MS supporting Service indicator		C201			
33.6	Subscription identity management	Phase 2	MS supporting Subscription identity management and supporting CC protocol for at least one Bearer Capability		C202			
33.7	Barring of outgoing calls	Phase 2	MS supporting barring of outgoing calls		C9			
33.8	Prevention of unauthorized calls	Phase 2	MS supporting barring of outgoing calls		C9			
34.2.1	SMS mobile terminated	Phase 2	MS supporting SMS MT/PP and supporting CC protocol for at least one Bearer Capability		C72	TSPC_AddInfo_StoreRcvSMSSIM TSPC_AddInfo_StoreRcvSMSME		
34.2.2	SMS mobile originated	Phase 2	MS supporting SMS MO/PP and supporting CC protocol for at least one Bearer Capability		C73	TSPC_AddInfo_StoreRcvSMSSIM TSPC_AddInfo_StoreRcvSMSME		
34.2.3	Test of memory full condition and memory available notification:	Phase 2	MS supporting SMS MT/PP and storing of short messages in the SIM		C397	TSPC_AddInfo_StoreRcvSMSME		
34.2.4	Test of the status report capabilities and of SMS-COMMAND:	Phase 2	MS supporting SMS MT/PP and SMS MO/PP and supporting SMS status report capabilities		C141			
34.2.5.1	Short message class 0	Phase 2	MS supporting SMS MT/PP and display of received short messages		C142	TSPC_AddInfo_StoreRcvSMSSIM TSPC_AddInfo_StoreRcvSMSME		
34.2.5.2	Test of class 1 short messages	Phase 2	MS supporting storing of received Class I Short Messages and display of stored Short Messages		C143	TSPC_Serv_TS21 TSPC_AddInfo_StoreRcvSMSSIM TSPC_AddInfo_StoreRcvSMSME		
34.2.5.3	Test of class 2 short messages	Phase 2	MS supporting storing of received Class II Short Messages in the SIM		C74	TSPC_Serv_TS21 TSPC_AddInfo_StoreRcvSMSSIM TSPC_AddInfo_StoreRcvSMSME		
34.2.6	Test of short message type 0 (Ph2, R96…R99 and REL-4)	Phase 2, R96…R99 & REL-4 only	MS supporting SMS MT/PP		C290			
34.2.6a	Test of short message type 0 (= REL 5)	REL-5	MS supporting SMS MT/PP		C290			
34.2.7	Test of the replace mechanism for SM type 1 7	Phase 2	MS supporting SMS MT/PP and Replace Short Messages and display of received Short Messages		C144			
34.2.8	Test of the reply path scheme	Phase 2	MS supporting SMS MT/PP and SMS MO/PP and reply procedures and display of received Short Messages		C145			
34.2.9.1	Multiple SMS mobile originated/MS in idle mode	Phase 2	MS supporting the ability of sending multiple short messages on the same RR connection		C272	TSPC_AddInfo_StoreRcvSMSSIM TSPC_AddInfo_StoreRcvSMSME		
34.2.9.2	Multiple SMS mobile originated/MS in active mode	Phase 2	MS supporting the ability of sending multiple short messages on the same RR connection and CC protocol for at least one Bearer Capability		C458	TSPC_AddInfo_StoreRcvSMSSIM TSPC_AddInfo_StoreRcvSMSME		
34.3	Short message service cell broadcast	Phase 2	All MS supporting SMS CB		C300			
34.4.1	SMS mobile terminated	R97	MS supporting MT SMS over GPRS		C251	TSPC_AddInfo_StoreRcvSMSSIM TSPC_AddInfo_StoreRcvSMSME		
34.4.2	SMS mobile originated	R97	MS Supporting GPRS and SMS over GPRS		C253	TSPC_AddInfo_StoreRcvSMSSIM TSPC_AddInfo_StoreRcvSMSME		
34.4.3	Test of the status report capabilities and of SMS-COMMAND over GPRS:	R97	MS supporting MT SMS over GPRS and supporting SMS status report capabilities		C252			
34.4.4	Test of capabilities of simultaneously receiving a short message whilst sending a mobile originated short message	R97	MS supporting MT SMS over GPRS		C251			
34.4.5	Void							
34.4.6	Concatenated MO SMS over GPRS	R97	MS Supporting GPRS and SMS over GPRS and MO SMS Concatenation		C254			
34.4.7	Concatenated MT SMS over GPRS	R97	MS Supporting GPRS and SMS over GPRS and MT SMS Concatenation		C255			
34.4.8.1	CP Error Handling	R97	MS Supporting GPRS and SMS over GPRS		C253			
34.4.8.2	RP Error Handling	R97	MS Supporting GPRS and SMS over GPRS		C253			
35	Low battery voltage detection	Phase 2	All MS		A			
36	Individual equipment type requirements and interworking - special conformance testing functions	Phase 2	Reserved					
37	Void							
38	Void							
39	Void							
41.1.1.1	Void							
41.1.1.2	Void							
41.1.1.3	Void							
41.1.1.4	Void							
41.1.2	Void							
41.1.3	Void							
41.1.4.1	Void							
41.1.4.2	Void							
41.1.5.1.1	RR/Paging/on CCCH for GPRS service/normal paging with P-TMSI successful	R97	All GPRS MS		C215	TSPC_operation_mode_A TSPC_operation_mode_B		
41.1.5.1.2	RR/Paging/on CCCH for GPRS service/normal paging with IMSI successful	R97	All GPRS MS		C215	TSPC_operation_mode_A TSPC_operation_mode_B		
41.1.5.1.3	RR/Paging/on CCCH for GPRS service/normal paging with P-TMSI ignored	R97	All GPRS MS		C215	TSPC_operation_mode_A TSPC_operation_mode_B		
41.1.5.2.1	RR/Paging/on CCCH for GPRS service/extended paging with P-TMSI successful	R97	All GPRS MS		C215	TSPC_operation_mode_A TSPC_operation_mode_B		
41.1.5.3	RR/Paging/on CCCH for GPRS service/paging reorganisation	R97	All GPRS MS		C215	TSPC_operation_mode_A TSPC_operation_mode_B		
41.1.5.4	Void							
41.1.6	Void							
41.2.1.1	Permission to access the network/priority classes	R97	All GPRS MS		C215			
41.2.2.1	Initiation of the packet access procedure/establishment causes	R97	All GPRS MS		C215			
41.2.2.2	Random references for single block packet access	R97	All GPRS MS		C215			
41.2.2.3	Random references for one phase packet access	R97	All GPRS MS		C215			
41.2.2.4	Initiation of the packet access procedure/timer T3146	R97	All GPRS MS		C215			
41.2.2.5	Initiation of the packet access procedure/Request Reference	R97	All GPRS MS		C215			
41.2.3.1	Two-message assignment/Successful case	R97	All GPRS MS	R6	C215			
41.2.3.2	Two-message assignment/Failure cases	R97	All GPRS MS		C215			
41.2.3.3	Packet uplink assignment/Polling bit set	R97	All GPRS MS	R6 R6	C215	TSPC_operation_mode_B TSPC_AddInfo_on_auto_GPRS_AP		
41.2.3.4	One phase packet access/Contention resolution/Successful case	R97	All GPRS MS	R6	C215			
41.2.3.5	One phase packet access/Contention resolution/TLLI mismatch	R97	All GPRS MS	R6	C215			
41.2.3.6	One phase packet access/Contention resolution/Counter N3104	R97	All GPRS MS	R6	C215			
41.2.3.7	One phase packet access/Contention resolution/Timer T3166	R97	All GPRS MS	R6	C215			
41.2.3.8	One phase packet access/Contention resolution/4 access repetition attempts	R97	All GPRS MS	R6	C215	TSPC_MS_GPRS_RELEASE		
41.2.3.9	One phase packet access/TBF starting time	R97	All GPRS MS	R6	C215			
41.2.3.10	One phase packet access/Timing Advance Index present	R97	All GPRS MS	R6	C215			
41.2.3.11	One phase packet access/Timing Advance Index not present	R97	All GPRS MS	R6	C215			
41.2.4.1	Single block packet access/Packet Resource Request	R97	All GPRS MS	R6	C215			
41.2.4.2	Single block packet access/Packet Measurement Report	R97	All GPRS MS		C215			
41.2.5.1	Packet access rejection/wait indication	R97	All GPRS MS	R6	C215			
41.2.5.2	Packet access rejection/assignment before T3142 expires	R97	All GPRS MS		C215			
41.2.6.1	Initiation of packet downlink assignment procedure/MS listens to correct CCCH block	R97	All GPRS MS	R6	C215			
41.2.6.2	Initiation of packet downlink assignment procedure/timer T3190	R97	All GPRS MS	R6	C215			
41.2.6.3	Initiation of packet downlink assignment procedure/TBF starting time	R97	All GPRS MS	R6	C215			
41.2.6.4	Initiation of packet downlink assignment procedure/incorrect TFI	R97	All GPRS MS	R6	C215			
41.2.7.1	Single block packet downlink assignment/TBF Starting Time	R97	All GPRS MS		C215			
41.2.7.2	Single block packet downlink assignment/MS returns to packet idle mode	R97	All GPRS MS		C215			
41.3.1.1	TBF Release/Uplink/Normal/MS initiated/Acknowledged mode	R97	All GPRS MS		C215	TSPC_Type_GPRS_Multislot_ClassX (where X = 1..45)		
41.3.1.2	TBF Release/Uplink/Normal/MS initiated/Unacknowledged mode	R97	All GPRS MS		C215	TSPC_Type_GPRS_Multislot_ClassX (where X = 1..45)		
41.3.1.3	TBF Release/Uplink/Normal/MS initiated/Channel coding change during countdown	R97	All GPRS MS		C215			
41.3.1.4-1	TBF release / Uplink / Normal / MS initiated / Whilst in DTM, test 1	R99	All DTM/GPRS capable MS		C305			
41.3.1.4-2	TBF release / Uplink / Normal / MS initiated / Whilst in DTM, test 2	R99	All DTM/GPRS capable MS supporting singleslot allocation		C310			
41.3.2.1	TBF Release/Uplink/Normal/Network initiated/Acknowledged mode	R97	All GPRS MS		C215			
41.3.2.2	TBF Release/Uplink/Normal/Network initiated/Unacknowledged mode	R97	All GPRS MS		C215			
41.3.2.3-1	TBF release / Uplink / Normal / Network initiated / Whilst in DTM, test 1	R99	All DTM/GPRS capable MS		C305			
41.3.2.3-2	TBF release / Uplink / Normal / Network initiated / Whilst in DTM, test 2	R99	All DTM/GPRS capable MS supporting singleslot allocation		C310			
41.3.3	TBF Release/Uplink/Network initiated/Abnormal release	R97	All GPRS MS		C215			
41.3.4.1	TBF Release/Downlink/Normal/Network initiated/Acknowledged mode	R97	All GPRS MS		C215			
41.3.4.2	TBF Release/Downlink/Normal/Network initiated/Unacknowledged mode	R97	All GPRS MS		C215			
41.3.4.3-1	TBF release / Downlink / Normal / Network initiated / Whilst in DTM, test 1	R99	All DTM/GPRS capable MS		C305			
41.3.4.3-2	TBF release / Downlink / Normal / Network initiated / Whilst in DTM, test 2	R99	All DTM/GPRS capable MS supporting singleslot allocation		C310			
41.3.5.2	PDCH Release/With TIMESLOTS_AVAILABLE	R97	All GPRS MS		C215	TSPC_Type_GPRS_Multislot_ClassX (where X = 1..45)		
41.3.6.1	TBF Release / Extended Uplink / Recalculation of CV before CV = 0	Rel-4	All GPRS MS supporting GERAN FEATURE PACKAGE 1	R6	C322			
41.3.6.2	TBF Release / Extended Uplink / Recalculation of CV after CV = 0	Rel-4	All GPRS MS supporting GERAN FEATURE PACKAGE 1	R6	C322			
41.3.6.3	TBF Release / Extended Uplink / CS change order while CV=0	Rel-4	All GPRS MS supporting GERAN FEATURE PACKAGE 1		C322			
41.3.6.4	TBF Release / Extended Uplink / TBF reconfigure by PACKET TIMESLOT RECONFIGURE	Rel-4	All GPRS MS supporting GERAN FEATURE PACKAGE 1	R6	C322			
