Clause	Title	Release	Applicability	Tested Bands / CA-Configurations Selection	Branch	Additional Information
8.3.1.1.4	FDD PDSCH Closed Loop Single-layer Spatial Multiplexing on antenna ports 7 or 8 with TM9 Interference Model - Enhanced Performance Requirement Type B	Rel-12	 C262	UE supporting E-UTRA FDD and the enhanced performance requirements type B for LTE and Feature Group Indicator 103	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
8.3.1.1.6	FDD PDSCH Closed Loop Single-layer Spatial Multiplexing on antenna ports 7 or 8 with TM3 interference model - Enhanced Performance Requirement Type B	Rel-12	C150	UE supporting E-UTRA FDD and the enhanced performance requirements type B for LTE	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
8.3.1.1.7	FDD PDSCH Closed Loop Single-layer Spatial Multiplexing on antenna ports 7 or 8 with TM10 serving cell configuration and TM9 interference model - Enhanced Performance Requirement Type B	Rel-12	C175	UE supporting E-UTRA FDD, enhanced performance requirements type B and PDSCH Transmission mode 10 for LTE	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
8.3.1.2.1_D	FDD PDSCH Dual-layer Spatial Multiplexing for eDL-MIMO	Rel-10	C25	UE supporting E-UTRA FDD and Feature Group Indicator 103	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
8.3.1.2.1_D_1	FDD PDSCH Dual-layer Spatial Multiplexing for eDL-MIMO (Release 11 and forward)	Rel-11	C25	UE supporting E-UTRA FDD and Feature Group Indicator 103	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
8.3.1.2.2	FDD PDSCH Dual-layer Spatial Multiplexing - Enhanced Performance Requirement Type C	Rel-12	C144	UE supporting E-UTRA FDD and Feature Group Indicator 103 and Enhanced Performance Requirement TypeC for LTE (UE Category >= 2)	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
8.3.1.3.1_F	FDD PDSCH Performance with DCI format 2D, non Quasi Co-located Antenna Ports, Same Cell ID and single NZP CSI-RS resource for CoMP	Rel-11	C50	UE supporting E-UTRA FDD and Maximum CSI processes of One on a component carrier within a band with PDSCH transmission mode 10 (UE Category >= 2)	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
8.3.1.3.2_F	FDD PDSCH Performance with DCI format 2D, non Quasi Co-located Antenna Ports, Same Cell ID and multiple NZP CSI-RS resources for CoMP	Rel-11	C52	UE supporting E-UTRA FDD and Maximum CSI processes of Three or Four on a component carrier within a band with PDSCH transmission mode 10 (UE Category >= 2)	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
8.3.1.3.3_F	FDD PDSCH Performance with DCI format 2D, non Quasi Co-located Antenna Ports, Different Cell ID, Colliding CRS and single NZP CSI-RS resource for CoMP	Rel-11	C117	UE supporting E-UTRA FDD and Maximum CSI processes of One, Three or Four on a component carrier within a band with PDSCH transmission mode 10 (UE Category >= 2)	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
8.3.2.1.1	TDD PDSCH Single-layer Spatial Multiplexing on antenna port 5 (Release 8 and forward)	Rel-8	C02	UE supporting E-UTRA TDD	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
8.3.2.1.1_1	TDD PDSCH Single-layer Spatial Multiplexing on antenna port 5 (Release 9 and forward)	Rel-9	C16	UE supporting E-UTRA TDD (UE category 1)	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
8.3.2.1.2	TDD PDSCH Single-layer Spatial Multiplexing on antenna port 7 or 8 without a simultaneous transmission	Rel-9 only	C34	UE supporting E-UTRA TDD and supporting enhanced dual layer TDD.	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
		Rel-10	C02	UE supporting E-UTRA TDD.	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
8.3.2.1.2_D	TDD PDSCH Single-layer Spatial Multiplexing on antenna ports 7 or 8 without a simultaneous transmission for eDL-MIMO	Rel-10	C26	UE supporting E-UTRA TDD and Feature Group Indicator 104	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
8.3.2.1.2_H	TDD PDSCH Single-layer Spatial Multiplexing on antenna ports 7 or 8 without a simultaneous transmission for eDL-MIMO for 256QAM in DL	Rel-12	C26h	UE supporting E-UTRA TDD and 256QAM in DL and Feature Group Indicator 104			
8.3.2.1.3	TDD PDSCH Single-layer Spatial Multiplexing on antenna port 7 or 8 with a simultaneous transmission	Rel-9 only	C34	UE supporting E-UTRA TDD and supporting enhanced dual layer TDD.	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
		Rel-10	C02	UE supporting E-UTRA TDD.	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
8.3.2.1.3_D	TDD PDSCH Single-layer Spatial Multiplexing on antenna ports 7 or 8 with a simultaneous transmission for eDL-MIMO	Rel-10	 C26	UE supporting E-UTRA TDD and Feature Group Indicator 104	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
8.3.2.1.4	TDD PDSCH Single-layer Spatial Multiplexing on antenna ports 7 or 8 with TM9 Interference Model - Enhanced Performance Requirement Type A	Rel-11	C41	UE supporting E-UTRA TDD and Feature Group Indictor 103 and supporting the enhanced performance requirements type A for LTE	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
8.3.2.1.5	TDD PDSCH Closed Loop Single-layer Spatial Multiplexing on antenna ports 7 or 8 with TM9 Interference Model - Enhanced Performance Requirement Type B	Rel-12	 C263	UE supporting E-UTRA TDD and the enhanced performance requirements type B for LTE	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
8.3.2.1.7	TDD PDSCH Closed Loop Single-layer Spatial Multiplexing on antenna ports 7 or 8 with TM3 interference model - Enhanced Performance Requirement Type B	Rel-12	C151	UE supporting E-UTRA TDD and the enhanced performance requirements type B for LTE	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
8.3.2.1.8	TDD PDSCH Closed Loop Single-layer Spatial Multiplexing on antenna ports 7 or 8 with TM10 serving cell configuration and TM9 interference model - Enhanced Performance Requirement Type B	Rel-12	C176	UE supporting E-UTRA TDD, enhanced performance requirements type B and PDSCH Transmission mode 10 for LTE	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
8.3.2.2.1	TDD PDSCH Dual-layer Spatial Multiplexing	Rel-9 only	C34	UE supporting E-UTRA TDD and supporting enhanced dual layer TDD	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
		Rel-10	C02	UE supporting E-UTRA TDD	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
8.3.2.2.1_D	TDD PDSCH Dual-layer Spatial Multiplexing for eDL-MIMO	Rel-10	C25a	UE supporting E-UTRA TDD and Feature Group Indicator 103	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
8.3.2.2.1_D_1	TDD PDSCH Dual-layer Spatial Multiplexing for eDL-MIMO (Release 11 and forward)	Rel-11	C25a	UE supporting E-UTRA TDD and Feature Group Indicator 103	TBD		
8.3.2.2.2	TDD PDSCH Dual-layer Spatial Multiplexing - Enhanced Performance Requirement Type C	Rel-12	C143	UE supporting E-UTRA TDD and Enhanced Performance Requirement TypeC for LTE (UE Category >= 2)	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
8.3.2.4.1_F	TDD PDSCH Performance with DCI format 2D, non Quasi Co-located Antenna Ports, Same Cell ID and single NZP CSI-RS resource for CoMP	Rel-11	C51	UE supporting E-UTRA TDD and Maximum CSI processes of One on a component carrier within a band with PDSCH transmission mode 10 (UE Category >= 2)	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
8.3.2.4.2_F	TDD PDSCH Performance with DCI format 2D, non Quasi Co-located Antenna Ports, Same Cell ID and multiple NZP CSI-RS resources for CoMP	Rel-11	C53	UE supporting E-UTRA TDD and Maximum CSI processes of Three or Four on a component carrier within a band with PDSCH transmission mode 10 (UE Category >= 2)	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
8.3.2.4.3_F	TDD PDSCH Performance with DCI format 2D, non Quasi Co-located Antenna Ports, Different Cell ID, Colliding CRS and single NZP CSI-RS resource for CoMP	Rel-11	C118	UE supporting E-UTRA TDD and Maximum CSI processes of One, Three or Four on a component carrier within a band with PDSCH transmission mode 10 (UE Category >= 2)	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
8.3.3.1.1	LAA Dual-Layer Spatial Multiplexing with DM-RS with FDD as PCell	Rel-13	 C264	UE supporting E-UTRA FDD and downlink LAA with FDD as Pcell and Feature Group Indicator 103	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
8.3.3.1.2	LAA Dual-Layer Spatial Multiplexing with DM-RS with TDD as Pcell	Rel-13	 C265	UE supporting E-UTRA TDD and downlink LAA and Feature Group Indicator 103	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
8.4.1.1	FDD PCFICH/PDCCH Single-antenna Port Performance	Rel-8	C01	UE supporting E-UTRA FDD	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
8.4.1.2	Void						
8.4.1.2.1	FDD PCFICH/PDCCH Transmit Diversity 2x2	Rel-8 only	C09	UE supporting E-UTRA FDD and operating bands supporting 1,4 MHz Bandwidth	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
8.4.1.2.1_1	FDD PCFICH/PDCCH Transmit Diversity 2x2 (Release 9 and forward)	Rel-9	C01	UE supporting E-UTRA FDD	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
8.4.1.2.2	FDD PCFICH/PDCCH Transmit Diversity 4x2	Rel-8 only	C01	UE supporting E-UTRA FDD	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
8.4.1.2.3_E.1	FDD PCFICH/PDCCH Transmit Diversity 2x2 for feICIC (non-MBSFN ABS)	Rel-11	C77	UE supporting E-UTRA FDD and CRS interference handling and Feature Group Indicator 115 (UE Category >= 2)	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
8.4.1.2.3_E.2	FDD PCFICH/PDCCH Transmit Diversity 2x2 for feICIC (MBSFN ABS)	Rel-11	C77	UE supporting E-UTRA FDD and CRS interference handling and Feature Group Indicator 115 (UE)	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
8.4.1.2.2_1	FDD PCFICH/PDCCH Transmit Diversity 4x2 (Release 9 and forward)	Rel-9	C01	UE supporting E-UTRA FDD	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
8.4.1.2.3_C.1	FDD PCFICH/PDCCH Transmit Diversity 2x2 for eICIC (non-MBSFN ABS)	Rel-10	C29	UE supporting E-UTRA FDD and Feature Group Indicator 115	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
8.4.1.2.3_C.2	FDD PCFICH/PDCCH Transmit Diversity 2x2 for eICIC (MBSFN ABS)	Rel-10	C29	UEs supporting E-UTRA FDD and Feature Group Indictor 115	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
8.4.2.1	TDD PCFICH/PDCCH Single-antenna Port Performance	Rel-8	C02	UE supporting E-UTRA TDD	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
8.4.2.2	Void						
8.4.2.2.1	TDD PCFICH/PDCCH Transmit Diversity 2x2	Rel-8 only	C10	UE supporting E-UTRA TDD and operating bands supporting 1,4 MHz Bandwidth	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
8.4.2.2.1_1	TDD PCFICH/PDCCH Transmit Diversity 2x2 (Release 9 and forward)	Rel-9	C02	UE supporting E-UTRA TDD	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
8.4.2.2.2	TDD PCFICH/PDCCH Transmit Diversity 4x2	Rel-8 only	C02	UE supporting E-UTRA TDD	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
8.4.2.2.2_1	TDD PCFICH/PDCCH Transmit Diversity 4x2 (Release 9 and forward)	Rel-9	C02	UE supporting E-UTRA TDD	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
8.4.2.2.3_C.1	TDD PCFICH/PDCCH Transmit Diversity 2x2 for eICIC (non-MBSFN ABS)	Rel-10	C30	UEs supporting E-UTRA TDD and Feature Group Indictor 115	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
8.4.2.2.3_C.2	TDD PCFICH/PDCCH Transmit Diversity 2x2 for eICIC (MBSFN ABS)	Rel-10	C30	UEs supporting E-UTRA TDD and Feature Group Indictor 115	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
8.4.2.2.3_E.1	TDD PCFICH/PDCCH Transmit Diversity 2x2 for feICIC (non-MBSFN ABS)	Rel-11	C78	UE supporting E-UTRA TDD and CRS interference handling and ss-CCH interference handling and Feature Group Indicator 115(UE Category >= 2)	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
8.4.2.2.3_E.2	TDD PCFICH/PDCCH Transmit Diversity 2x2 for feICIC (MBSFN ABS)	Rel-11	C78	UE supporting E-UTRA TDD and CRS interference handling and ss-CCH interference handling and Feature Group Indicator 115(UE Category >= 2)	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
8.4.3.1.1	LAA PCFICH/PDCCH Transmit Diversity 2x2 with FDD as Pcell	Rel-13	C209	UE supporting E-UTRA FDD and downlink LAA with FDD as Pcell	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
8.4.3.1.2	LAA PCFICH/PDCCH Transmit Diversity 2x2 with TDD as Pcell	Rel-13	C217	UE supporting E-UTRA TDD and downlink LAA	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
8.5.1.1	FDD PHICH Single-antenna Port Performance	Rel-8	C01	UE supporting E-UTRA FDD	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
8.5.1.2	Void						
8.5.1.2.1	FDD PHICH Transmit Diversity 2x2	Rel-8 only	C09	UE supporting E-UTRA FDD and operating bands supporting 1,4 MHz Bandwidth	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
8.5.1.2.1_1	FDD PHICH Transmit Diversity 2x2 (Release 9 and forward)	Rel-9	C01	UE supporting E-UTRA FDD	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
8.5.1.2.2	FDD PHICH Transmit Diversity 4x2	Rel-8 only	C01	UE supporting E-UTRA FDD	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
8.5.1.2.2_1	FDD PHICH Transmit Diversity 4x2 (Release 9 and forward)	Rel-9	C01	UE supporting E-UTRA FDD	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
8.5.1.2.3_C.1	FDD PHICH Transmit Diversity 2x2 for eICIC (non-MBSFN ABS)	Rel-10	C29	UE supporting E-UTRA FDD and Feature Group Indicator 115	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
8.5.1.2.3_E.1	FDD PHICH Transmit Diversity 2x2 for feICIC (non-MBSFN ABS)	Rel-11	C77	UE supporting E-UTRA FDD and CRS interference handling and Feature Group Indicator 115 (UE Category >= 2)	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
8.5.2.1	TDD PHICH Single-antenna Port Performance	Rel-8	C02	UE supporting E-UTRA TDD	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
8.5.2.2	Void						
8.5.2.2.1	TDD PHICH Transmit Diversity 2x2	Rel-8 only	C10	UE supporting E-UTRA TDD and operating bands supporting 1,4 MHz Bandwidth	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
8.5.2.2.1_1	TDD PHICH Transmit Diversity 2x2 (Release 9 and forward)	Rel-9	C02	UE supporting E-UTRA TDD	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
8.5.2.2.2	TDD PHICH Transmit Diversity 4x2	Rel-8 only	C02	UE supporting E-UTRA TDD	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
8.5.2.2.2_1	TDD PHICH Transmit Diversity 4x2 (Release 9 and forward)	Rel-9	C02	UE supporting E-UTRA TDD	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
8.5.2.2.3_C.1	TDD PHICH Transmit Diversity 2x2 for eICIC (non-MBSFN ABS)	Rel-10	C30	UEs supporting E-UTRA TDD and Feature Group Indictor 115	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
8.5.2.2.3_E.1	TDD PHICH Transmit Diversity 2x2 for feICIC (non-MBSFN ABS)	Rel-11	C78	UE supporting E-UTRA TDD and CRS interference handling and ss-CCH interference handling and Feature Group Indicator 115(UE Category >= 2)	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
8.7.1.1	FDD sustained data rate performance (Rel-9 and forward)	Rel-9	C76	UE supporting E-UTRA FDD and not supporting 256QAM in DL (UE categories from1 to 4)	Each "Test Number" to be performed once, in a chosen band supporting tested BW		It is not necessary for CA UEs and EPDCCH UEs to be tested in this test if 8.7.1.1_A.1 or 8.7.3.1 is executed.
8.7.1.1_1	FDD sustained data rate performance (Rel-10 and forward)	Rel-10	C42	UE supporting E-UTRA FDD and not supporting 256QAM in DL (UE categories 6, 7)	Each "Test Number" to be performed once, in a chosen band supporting tested BW		It is not necessary for CA UEs and EPDCCH UEs to be tested in this test if 8.7.1.1_A.1or 8.7.3.1 is executed.
8.7.1.1_2	FDD sustained data rate performance for UE category 1bis	Rel-13	C145d	UE supporting E-UTRA FDD (UE category 1bis)	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
8.7.1.1_A.1	FDD Sustained data rate performance for CA (2 DL CA )	Rel-10	C107	UE supporting E-UTRA FDD and intra-band contiguous DL CA or inter-band DL CA and not supporting 256QAM in DL (UE category 3, 4, 6, 7, 9 and 10)	Refer to 36.521-1 8.1.2.3	2Rx, 4Rx	Test execution not necessary if 8.7.1.1_A.2 is executed.
		Rel-11	C93	UE supporting E-UTRA FDD and intra-band non-contiguous DL CA and not supporting 256QAM in DL (UE category 3, 4, 6, 7, 9 and 10)			
8.7.1.1_A.2	FDD Sustained data rate performance for CA (3DL CA)	Rel-10	C126	UE supporting E-UTRA FDD and 3DL with intra-band contiguous CA , or 3DL with inter-band CA, or 3DL with intra-band contiguous and inter-band CA and not supporting 256QAM in DL (UE category 9, 10, 11 and 12)	Refer to 36.521-1 8.1.2.3	2Rx, 4Rx	Test execution not necessary if 8.7.1.1_A.4 is executed
		Rel-10	C126a	UE supporting E-UTRA FDD and 3DL with intra-band contiguous CA , or 3DL with inter-band CA, or 3DL with intra-band contiguous and inter-band CA and supporting at most 40MHz aggregated bandwidth and not supporting 256QAM in DL (UE category 6 and 7)	Refer to 36.521-1 8.1.2.3		
		Rel-11	C127	UE supporting E-UTRA FDD and 3DL with intra-band non-contiguous and inter-band CA, or 3DL with intra-band non-contiguous and intra-band contiguous CA and not supporting 256QAM in DL (UE category 9, 10, 11 and 12)	TBD		
		Rel-11	C127a	UE supporting E-UTRA FDD and 3DL with intra-band non-contiguous and inter-band CA, or 3DL with intra-band non-contiguous and intra-band contiguous CA and supporting at most 40MHz aggregated bandwidth and not supporting 256QAM in DL (UE category 6 and 7)	TBD		
8.7.1.1_A.4	FDD Sustained data rate performance for CA (4DL CA)	Rel-11	C189	UE supporting E-UTRA FDD and 4DL with intra-band contiguous CA, or 4DL with inter-band CA, or 4DL with intra-band contiguous and inter-band CA , or 4DL with Intra-band non-contiguous and Inter-band CA, or 4DL with Intra-band non-contiguous and Intra-band contiguous CA and not supporting 256QAM in DL (UE category 11 and 12)			Test execution not necessary if 8.7.1.1_A.5 is executed.
		Rel-11	C189a	UE supporting E-UTRA FDD and 4DL with intra-band contiguous CA, or 4DL with inter-band CA, or 4DL with intra-band contiguous and inter-band CA , or 4DL with Intra-band non-contiguous and Inter-band CA, or 4DL with Intra-band non-contiguous and Intra-band contiguous CA and supporting at most 60MHz aggregated bandwidth and not supporting 256QAM in DL (UE category 9 and 10)			Test execution not necessary if 8.7.1.1_A.5 is executed.
8.7.1.1_A.5	FDD Sustained data rate performance for CA (5DL CA)	Rel-11	C266 OR C189a2	UE supporting E-UTRA FDD and 5DL with Intra-band contiguous and Inter-band CA or 5DL with Intra-band non-contiguous and Inter-band CA or 5DL with Intra-band non-contiguous and Intra-band contiguous CA and not supporting 256QAM in DL (UE DL category 15)			
		Rel-12	C267 OR C189b	UE supporting E-UTRA FDD and 5DL Inter-band CA and not supporting 256QAM in DL (UE DL category 15)			
8.7.1.1_H.1	FDD sustained data rate performance (Single Carrier) for 256QAM in DL	Rel-12	C42h	UE supporting E-UTRA FDD and 256QAM and UE DL category 13 			Test execution not necessary if 8.7.1.1_H.2 is executed
8.7.1.1_H.2	FDD Sustained data rate performance for CA (2DL CA) for 256QAM in DL	Rel-12	C107h	UE supporting E-UTRA FDD and 2DL CA and 256QAM in DL (UE DL category 11, 12 and 13)		2Rx, 4Rx	Test execution not necessary if 8.7.1.1_H.3 is executed
8.7.1.1_H.3	FDD Sustained data rate performance for CA (3DL CA) for 256QAM in DL	Rel-12	C126h	UE supporting E-UTRA FDD and 3DL CA ,and supporting 256QAM in DL (UE DL category 11, 12 and 15)		2Rx, 4Rx	Test execution not necessary if 8.7.1.1_H.4 is executed
		Rel-12	C126ha	UE supporting E-UTRA FDD and 3DL CA ,and supporting 256QAM in DL and supporting at most 40MHz aggregated bandwidth (UE DL category 13)			Test execution not necessary if 8.7.1.1_H.4 is executed
8.7.2.1	TDD sustained data rate performance (Rel-9 and forward)	Rel-9	C111	UE supporting E-UTRA TDD and not supporting 256QAM in DL (UE categories from 1 to 4)	Each "Test Number" to be performed once, in a chosen band supporting tested BW		It is not necessary for CA UEs and EPDCCH UEs to be tested in this test if 8.7.2.1_A.1 or 8.7.4.1 is executed.
8.7.2.1_1	TDD sustained data rate performance (Rel-10 and forward)	Rel-10	C73	UE supporting E-UTRA TDD and not supporting 256QAM in DL (UE category 6 and 7)	Each "Test Number" to be performed once, in a chosen band supporting tested BW		It is not necessary for CA UEs and EPDCCH UEs to be tested in this test if 8.7.2.1_A.1or 8.7.4.1 is executed.
8.7.2.1_2	TDD sustained data rate performance for UE category 1bis	Rel-13	C156f	UE supporting E-UTRA TDD (UE category 1bis)	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
8.7.2.1_A.1	TDD sustained data rate performance for CA (2DL CA) 	Rel-10	C74	UE supporting E-UTRA TDD and intra-band contiguous DL CA or inter-band DL CA and not supporting 256QAM in DL (UE category 6, 7, 9 and 10)	Refer to 36.521-1 8.1.2.3	2Rx, 4Rx	Test execution not necessary if 8.7.2.1_A.2 is executed.
		Rel-11	C75	UE supporting E-UTRA TDD and intra-band non-contiguous DL CA and not supporting 256QAM in DL (UE category 6, 7, 9 and 10)			
8.7.2.1_A.2	TDD Sustained data rate performance for CA (3DL CA)	Rel-10	C130	UE supporting E-UTRA TDD and 3DL with intra-band contiguous CA , or 3DL with inter-band CA, or 3DL with intra-band contiguous and inter-band CA and not supporting 256QAM in DL (UE category 9, 10, 11 and 12)	Refer to 36.521-1 8.1.2.3	2Rx, 4Rx	Test execution not necessary if 8.7.2.1_A.3 is executed.
		Rel-11	C131	UE supporting E-UTRA TDD and 3DL with intra-band non-contiguous and inter-band CA, or 3DL with intra-band non-contiguous and intra-band contiguous CA and not supporting 256QAM in DL (UE category 9, 10, 11 and 12)	TBD		
8.7.2.1_A.3	TDD Sustained data rate performance for CA (4DL CA)	Rel-11	C213	UE supporting E-UTRA TDD and 4DL Intra-band contiguous CA or 4DL Inter-band CA or 4DL with Intra-band contiguous and Inter-band CA or 4DL with Intra-band non-contiguous and Inter-band CA or 4DL with Intra-band non-contiguous and Intra-band contiguous CA, or 4DL with Intra-band non-contiguous and Intra-band non-contiguous CA (UE DL category 11, 12 and 15)			Test execution not necessary if 8.7.2.1_A.4 is executed.
8.7.2.1_H.1	TDD sustained data rate performance (Single Carrier) for 256QAM in DL	Rel-12	C73h	UE supporting E-UTRA TDD and 256QAM in DL and UE DL category 13			Test execution not necessary if 8.7.2.1_H.2 is executed.
8.7.2.1_H.2	TDD sustained data rate performance for CA (2DL CA) for 256QAM in DL	Rel-12	C74h	UE supporting E-UTRA TDD and 2DL CA, and supporting 256QAM in DL (UE DL category 11, 12 and 13)		2Rx, 4Rx	Test execution not necessary if 8.7.2.1_H.3 is executed.
8.7.2.1_H.3	TDD Sustained data rate performance for CA (3DL CA) for 256QAM in DL	Rel-12	C130h	UE supporting E-UTRA TDD and 3DL CA and supporting 256QAM in DL (UE DL Category 11, 12 and 15)		2Rx, 4Rx	Test execution not necessary if 8.7.2.1_H.4 is executed.
8.7.3.1	FDD sustained data rate performance for EPDCCH scheduling	Rel-11	C55	UE supporting E-UTRA FDD and EPDCCH	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
8.7.4.1	TDD sustained data rate performance for EPDCCH scheduling	Rel-11	C56	UE supporting E-UTRA TDD and EPDCCH	Each "Test Number" to be performed once, in a chosen band supporting tested BW		
8.7.5.1.1	TDD FDD CA Sustained data rate performance for FDD PCell (2DL CA)	Rel-12	C138	UE supporting E-UTRA FDD and TDD and 2DL CA with FDD as PCell and not supporting 256QAM in DL (UE category 3, 4, 6, 7, 9 and 10)	TBD	2Rx, 4Rx	Test execution not necessary if 8.7.5.1.2 is executed.
8.7.5.1.2	TDD FDD CA Sustained data rate performance for FDD PCell (3DL CA)	Rel-12	C139	UE supporting E-UTRA FDD and TDD and 3DL CA with FDD as PCell and not supporting 256QAM in DL (UE category 9, 10, 11 and 12)	TBD	2Rx, 4Rx	Test execution not necessary if 8.7.5.1.3 is executed.
8.7.5.1.3	TDD FDD CA Sustained data rate performance for FDD PCell (4DL CA)	Rel-12	C139a	UE supporting E-UTRA FDD and TDD and 4DL CA with FDD as PCell and not supporting 256QAM in DL (UE category 11 and 12)	TBD		Test execution not necessary if 8.7.5.1.4 is executed.
8.7.5.1.4	TDD FDD CA Sustained data rate performance for FDD PCell (5DL CA)	Rel-12	C139b	UE supporting E-UTRA FDD and TDD and 5DL CA with FDD as PCell and not supporting 256QAM in DL (UE DL category 15)	TBD		
8.7.5.1_H.1	TDD FDD CA Sustained data rate performance for FDD PCell (2DL CA) for 256QAM in DL	Rel-12	C138h	UE supporting E-UTRA FDD and TDD and 2DL TDD-FDD CA with FDD as PCell and supporting 256QAM in DL (UE DL category 11, 12 and 13)		2Rx, 4Rx	Test execution not necessary if 8.7.5.1_H.2 is executed.
8.7.5.1_H.2	TDD FDD CA Sustained data rate performance for FDD PCell (3DL CA) for 256QAM in DL	Rel-12	C139h	UE supporting E-UTRA FDD and TDD and 3DL TDD-FDD CA with FDD as PCell and supporting 256QAM in DL (UE DL Category 11, 12 and 15)		2Rx, 4Rx	Test execution not necessary if 8.7.5.1_H.3 is executed.
8.7.5.1_H.3	TDD FDD CA Sustained data rate performance for FDD PCell (4DL CA) for 256QAM in DL	Rel-12	C139ha	UE supporting E-UTRA FDD and TDD and 4DL TDD-FDD CA with FDD as PCell and supporting 256QAM in DL			Test execution not necessary if 8.7.5.1_H.4 is executed.
8.7.5.1_H.4	TDD FDD CA Sustained data rate performance for FDD PCell (5DL CA) for 256QAM in DL	Rel-12	C139hb	UE supporting E-UTRA FDD and TDD and 5DL TDD-FDD CA with FDD as PCell and supporting 256QAM in DL			
8.7.5.2.1	TDD FDD CA Sustained data rate performance for TDD PCell (2DL CA)	Rel-12	C140	UE supporting E-UTRA FDD and TDD and 2DL CA with TDD as PCell and not supporting 256QAM in DL (UE category 3, 4, 6, 7, 9 and 10)	TBD	2Rx, 4Rx	Test execution not necessary if 8.7.5.2.2 is executed.
8.7.5.2.2	TDD FDD CA Sustained data rate performance for TDD PCell (3DL CA)	Rel-12	C141	UE supporting E-UTRA FDD and TDD and 3DL CA with TDD as PCell and not supporting 256QAM in DL (UE category 9, 10, 11 and 12)	TBD	2Rx, 4Rx	Test execution not necessary if 8.7.5.2.3 is executed.
8.7.5.2.3	TDD FDD CA Sustained data rate performance for TDD PCell (4DL CA)	Rel-12	C141a	UE supporting E-UTRA FDD and TDD and 4DL CA with TDD as PCell and not supporting 256QAM in DL (UE category 11 and 12)	TBD		Test execution not necessary if 8.7.5.2.4 is executed.
