Clause	Title	Release	Applicability	Comments	Number of TC Executions (informative)	Release RAT
8.5.6.5m	MBMS Controlling Cell Change in CELL_DCH during ongoing Session / MBMS Multicast Service	Rel-6	C544	UEs supporting FDD and PS domain services and MBMS multicast services and MBMS p-t-m reception in CELL_DCH state.	1 Execution: PS	
8.5.7.1	Cell Update: cell reselection in CELL_PCH (unicast carrier) during ongoing MBMS session in MBSFN mode	Rel-7	C642	UEs supporting FDD and MBMS broadcast services in MBSFN mode	1 Execution: PS	
8.5.7.2	Re-acquire MCCH - modified MBSFN inter frequency neighbour list / All MBSFN services notified	Rel-7	C642	UEs supporting FDD and MBMS broadcast services in MBSFN mode	1 Execution: PS	
8.5.7.3	Re-acquire MCCH - modified MBSFN inter frequency neighbour list / MBSFN services not notified	Rel-7	C642	UEs supporting FDD and MBMS broadcast services in MBSFN mode	1 Execution: PS	
8.5.7.4	MBSFN TDM Information / TDM services de-multiplexing	Rel-7	C642	UEs supporting FDD and MBMS broadcast services in MBSFN mode	1 Execution: PS	
8.5.7.5	MBSFN Session Reconfiguration / Change of MBSFN Cluster frequency on notification via MCCH	Rel-7	C642	UEs supporting FDD and MBMS broadcast services in MBSFN mode.	1 Execution: PS	
8.6.2.1	Logged MDT / Intra-frequency measurement, logging and reporting / Idle mode	Rel-10	C838	UE Supporting logged measurement in Idle mode and PCH States	1 Execution: CS+PS preferred	
8.6.2.1a	Logged MDT / Intra-frequency measurement, logging and reporting / Idle mode/ PLMN list	Rel-11	C838	UE Supporting logged measurement in Idle mode and PCH States		
8.6.2.2	Logged MDT / Intra-frequency measurement, logging and reporting / CELL_PCH	Rel-10	C838	UE Supporting logged measurement in Idle mode and PCH States	1 Execution: CS+PS preferred	
8.6.2.2a	Logged MDT / Intra-frequency measurement, logging and reporting / CELL_PCH/ PLMN list	Rel-11	C838	UE Supporting logged measurement in Idle mode and PCH States		
8.6.2.3	Logged MDT / Inter-frequency measurement, logging and reporting / URA_PCH	Rel-10	C838	UE Supporting logged measurement in Idle mode and PCH States	1 Execution: CS+PS preferred	
8.6.2.3a	Logged MDT / Inter-frequency measurement, logging and reporting / URA_PCH/ PLMN list	Rel-11	C838	UE Supporting logged measurement in Idle mode and PCH States		
8.6.2.4	Logged MDT / Intra-frequency measurement, logging and reporting / Idle mode / Limiting area scope	Rel-10	C838	UE Supporting logged measurement in Idle mode and PCH States	1 Execution: CS+PS preferred	
8.6.2.4a	Logged MDT / Intra-frequency measurement, logging and reporting / Idle mode / Limiting area scope / Cell ID list with PLMN identity	Rel-11	C838	UE Supporting logged measurement in Idle mode and PCH States		
8.6.2.5	Logged MDT / Release of logged MDT measurement configuration / Expire of duration timer	Rel-10	C838	UE Supporting logged measurement in Idle mode and PCH States	1 Execution: CS+PS preferred	
8.6.2.6	Logged MDT / Release of logged MDT measurement configuration / Reception of new logged measurement configuration, Detach or UE power off	Rel-10	C838	UE Supporting logged measurement in Idle mode and PCH States	1 Execution: CS+PS preferred	
8.6.2.7	Logged MDT / Maintaining logged measurement configuration / UE state transitions and mobility	Rel-10	C838	UE Supporting logged measurement in Idle mode and PCH States	1 Execution: CS+PS preferred	
8.6.2.8	Logged MDT / Reporting / Location information	Rel-10	C838a	UE Supporting logged measurement in Idle mode and PCH States and supporting standalone location method to provide detailed location information in logged measurements	1 Execution: CS+PS preferred	
8.6.2.9	Logged MDT / Logging and reporting / PLMN list / PLMN change	Rel-11	C838	UE Supporting logged measurement in Idle mode and PCH States		
8.6.3.1	Logged MDT / E-UTRAN Inter-RAT measurement, logging and reporting / Idle mode	Rel-10	C850	UE Supporting E-UTRA and logged measurement in Idle mode and PCH States		
8.6.3.2	Logged MDT / GERAN Inter-RAT measurement, logging and reporting / Idle mode	Rel-10	C849	UE Supporting GSM and logged measurement in Idle mode and PCH States		
8.6.3.3	Logged MDT / Maintaining logged measurement configuration / UTRAN to E-UTRAN Inter-RAT mobility	Rel-10	C850	UE Supporting E-UTRA and logged measurement in Idle mode and PCH States		
8.6.3.4	Logged MDT / Maintaining logged measurement configuration / UTRAN to GERAN Inter-RAT mobility	Rel-10	C849	UE Supporting GSM and logged measurement in Idle mode and PCH States		
8.6.4.1	Connection Establishment Failure logging / Logging and reporting / T300 expiry	Rel-11	C872	UEs supporting Connection Establishment Failure logging		
8.6.4.2	Connection Establishment Failure logging / Logging and reporting / Physical channel failure	Rel-11	C872	UEs supporting Connection Establishment Failure logging		
8.6.4.3	Connection Establishment Failure logging / Logging and reporting / Invalid RRC CONNECTION SETUP message	Rel-11	C872	UEs supporting Connection Establishment Failure logging		
8.6.4.4	Connection Establishment Failure logging / Logging and reporting / RRC CONNECTION REJECT message	Rel-11	C872	UEs supporting Connection Establishment Failure logging		
8.6.4.5	Connection Establishment Failure logging / Logging and reporting / Invalid RRC CONNECTION REJECT message	Rel-11	C872	UEs supporting Connection Establishment Failure logging		
8.6.4.6	Connection Establishment Failure logging / Logging and reporting / PLMN change	Rel-11	C872	UEs supporting Connection Establishment Failure logging		
8.6.4.7	Connection Establishment Failure logging / Logging and reporting / location information	Rel-11	C872a	UEs supporting Connection Establishment Failure logging and standalone location method to provide detailed location information 		
8.6.4.8	Connection Establishment Failure logging / Logging and reporting / Intra-frequency measurements	Rel-11	C872	UEs supporting Connection Establishment Failure logging		
8.6.4.9	Connection Establishment Failure logging / Logging and reporting / Inter-frequency measurements	Rel-11	C872	UEs supporting Connection Establishment Failure logging		
8.6.5.1	Connection Establishment Failure logging / Reporting at E-UTRAN inter-RAT handover	Rel-11	C874	UEs Supporting E-UTRA and Connection Establishment Failure logging		
8.6.5.2	Connection Establishment Failure logging / Logging and reporting / E-UTRA Inter-RAT measurements	Rel-11	C874	UEs Supporting E-UTRA and Connection Establishment Failure logging		
8.6.5.3	Connection Establishment Failure logging / Logging and reporting / GERAN Inter-RAT measurements	Rel-11	C873	UEs Supporting GSM and Connection Establishment Failure logging		
8.7.1.1	Intra-UTRA / Intra-frequency ANR measurement, logging and reporting in IDLE Mode / RSCP Absolute Threshold	Rel-10	C829	UEs supporting FDD and PS domain services and UTRAN ANR measurement	1 Execution: PS 	
8.7.1.1a	Void					
8.7.1.2	Intra-UTRA / Intra-frequency ANR measurement, logging and reporting in CELL_PCH / Ec/N0 Absolute Threshold (FDD)	Rel-10	C829	UEs supporting FDD and PS domain services and UTRAN ANR measurement	1 Execution: PS 	
8.7.1.3	Intra-UTRA / Inter-frequency ANR measurement, logging and reporting in URA_PCH / RSCP Relative Threshold	Rel-10	C829	UEs supporting FDD and PS domain services and UTRAN ANR measurement	1 Execution: PS 	
8.7.1.3a	Void					
8.7.1.4	Intra-UTRA / Intra-frequency and Intra-frequency ANR measurement, logging and reporting in IDLE Mode / Ec/N0 Relative Threshold / T327 Expiry / Max Number of ANR Logged Items (FDD)	Rel-10	C829	UEs supporting FDD and PS domain services and UTRAN ANR measurement	1 Execution: PS 	
8.7.1.5	Intra-UTRA / Re-configuration of ANR measurements	Rel-10	C829	UEs supporting FDD and PS domain services and UTRAN ANR measurement	1 Execution: PS 	
8.7.1.5a	Void					
8.7.2.1	Inter-RAT/ ANR measurement, logging and reporting / GERAN cell	Rel-10	C829b	UEs supporting FDD and PS domain services and GSM and UTRAN ANR measurement	1 Execution: PS 	
8.7.2.1a	Void					
9	MOBILITY MANAGEMENT					
9.1	TMSI reallocation	R99	C98	UEs supporting CS domain services	1 Execution: CS	
9.2.1	Authentication accepted	R99	C98	UEs supporting CS domain services	1 Execution: CS	
9.2.2	Authentication rejected	R99	C98d	UEs supporting CS domain services and CS call establishment	1 Execution: CS	
9.2.3	Authentication rejected by the UE (MAC code failure)	R99	C98	UEs supporting CS domain services	1 Execution: CS	
9.2.4	Authentication rejected by the UE (SQN failure)	R99	C98	UEs supporting CS domain services	1 Execution: CS	
9.2.5	Authentication rejected by the UE / fraudulent network	R99	C98	UEs supporting CS domain services		
9.3.1	General Identification	R99	C98	UEs supporting CS domain services	1 Execution: CS	
9.3.2	Handling of IMSI shorter than the maximum length	R99	C98	UEs supporting CS domain services		
9.4.1	Location updating / accepted	R99	C98	UEs supporting CS domain services	1 Execution: CS	
9.4.2.1	Location updating / rejected / IMSI invalid	R99	C98d	UEs supporting CS domain services and CS call establishment	1 Execution: CS	
9.4.2.2	Location updating / rejected / PLMN not allowed	R99	C98d	UEs supporting CS domain services and CS call establishment	1 Execution: CS	
9.4.2.2 Proc 1	Location updating / rejected / PLMN not allowed	R99	C98d	UEs supporting CS domain services and CS call establishment	1 Execution: CS	
9.4.2.2 Proc 2	Location updating / rejected / PLMN not allowed	R99	C98d	UEs supporting CS domain services and CS call establishment	1 Execution: CS	
9.4.2.2 Proc 4	Location updating / rejected / PLMN not allowed	R99	C98d	UEs supporting CS domain services and CS call establishment	1 Execution: CS	
9.4.2.3	Location updating / rejected / location area not allowed	R99	C98d	UEs supporting CS domain services and CS call establishment	1 Execution: CS	
9.4.2.4.1	Location updating / rejected / roaming not allowed in this location area / Procedure 1	R99	C98	UEs supporting CS domain services	1 Execution: CS	
9.4.2.4 Proc 1	Location updating / rejected / roaming not allowed in this location area / Procedure 1	R99	C98	UEs supporting CS domain services	1 Execution: CS	
9.4.2.4.2	Location updating / rejected / roaming not allowed in this location area / Procedure 2	R99	C98d	UEs supporting CS domain services and CS call establishment	1 Execution: CS	
9.4.2.4 Proc 2	Location updating / rejected / roaming not allowed in this location area / Procedure 2	R99	C98d	UEs supporting CS domain services and CS call establishment	1 Execution: CS	
9.4.2.4.3	Location updating / rejected / roaming not allowed in this location area / Procedure 3	R99	C98	UEs supporting CS domain services		
9.4.2.4 Proc 3	Location updating / rejected / roaming not allowed in this location area / Procedure 3	R99	C98	UEs supporting CS domain services		
9.4.2.4.4	Location updating / rejected / roaming not allowed in this location area / Procedure 4	R99	C98	UEs supporting CS domain services	1 Execution: CS	
9.4.2.4 Proc 4	Location updating / rejected / roaming not allowed in this location area / Procedure 4	R99	C98	UEs supporting CS domain services	1 Execution: CS	
9.4.2.4.5	Location updating / rejected / roaming not allowed in this location area / Procedure 5	R99	C99	UEs supporting CS domain services UEs supporting USIM removal		
9.4.2.4 Proc 5	Location updating / rejected / roaming not allowed in this location area / Procedure 5	R99	C99	UEs supporting CS domain services UEs supporting USIM removal		
9.4.2.5	Location updating / rejected / No Suitable Cells In Location Area	R99	C98	UEs supporting CS domain services	1 Execution: CS	
9.4.2.6	Location updating request / rejected / Not authorized for this CSG	Rel-8	C651	UEs supporting CS domain services and CSG	1 Execution: CS	
9.4.3.2	Location updating / abnormal cases / attempt counter less or equal to 4, LAI different	R99	C98	UEs supporting CS domain services		
9.4.3.3	Location updating / abnormal cases / attempt counter equal to 4	R99 to Rel-9 Only	C98e	UEs supporting CS domain services and CS call establishment and does not support CS congestion control with use of MM Back-off timer	1 Execution: CS, NOTE 3	
9.4.3.3a	Location updating / abnormal cases / attempt counter equal to 4	Rel-10	C98d	UEs supporting CS domain services and CS call establishment	1 Execution: CS, NOTE 3	Applicable only for devices supporting rel-10 and later
9.4.3.4	Location updating / abnormal cases / attempt counter less or equal to 4, stored LAI equal to broadcast LAI	R99	C98	UEs supporting CS domain services		
9.4.3.5	Location updating / abnormal cases / Failure due to non-integrity protection	R99	C98	UEs supporting CS domain services	1 Execution: CS	
9.4.3.6	Location updating / abnormal cases/ CS domain barred because of domain specific access control	Rel5	C411	UEs supporting CS domain services and CS call establishment and DSAC  Note: For Rel-5 UEs DSAC support is optional. For Rel-6 or later UEs DSAC support is mandatory.	1 Execution: CS	
9.4.3.7	Location updating / abnormal cases / Network reject with Extended Wait Timer	Rel-10	C864	UEs supporting CS domain services and LAP		
9.4.4	Location updating / release / expiry of T3240	R99	C98	UEs supporting CS domain services	1 Execution: CS	
9.4.5.1	Location updating / periodic spread	R99	C98	UEs supporting CS domain services		
9.4.5.2	Location updating / periodic normal / test 1	R99	C98d	UEs supporting CS domain services and CS call establishment	1 Execution: CS	
9.4.5.3	Location updating / periodic normal / test 2	R99	C98	UEs supporting CS domain services	1 Execution: CS	
9.4.5.4.1	Location updating / periodic search for HPLMN or higher priority PLMN / UE waits time T	R99	C98	UEs supporting CS domain services	1 Execution: CS	
9.4.5.4.2	Location updating / periodic search for HPLMN or higher priority PLMN / UE in manual mode	R99	C98	UEs supporting CS domain services		
9.4.5.4.3	Location updating / periodic search for HPLMN or higher priority PLMN / UE waits at least two minutes and at most T minutes	R99	C98	UEs supporting CS domain services		
9.4.5.4.4	Location updating/periodic search of the higher priority PLMN, VPLMN in a foreign country – higher priority/UE is in automatic mode	R99	C98	UEs supporting CS domain services		
9.4.5.4.5	Location updating/periodic search of the higher priority PLMN, VPLMN in a foreign country – lower priority/UE is in automatic mode	R99	C98	UEs supporting CS domain services		
9.4.5.4.6	Location updating/periodic search of the higher priority PLMN, VPLMN in a foreign country – List of EPLMN contain HPLMN/UE is in automatic mode	R99	C98	UEs supporting CS domain services	1 Execution: CS	
9.4.5.4.7	Location updating / periodic search for HPLMN or higher priority PLMN / UE waits Minimum Periodic search timer	Rel-10	C865 OR C865	UEs supporting CS domain services and MinimumPeriodicSearchTimer|UEs supporting CS domain services and MinimumPeriodicSearchTimer		Rel-8 UTRA FDD
9.4.5.5	Location updating / periodic / per-device timer	Rel-10	C875 OR C875	UEs supporting CS domain services and LAP and T3212 Extended IE|UEs supporting CS domain services and LAP and T3212 Extended IE		Rel-8 UTRA FDD
9.4.6	Location updating / interworking of attach and periodic	R99	C98	UEs supporting CS domain services		
9.4.7	Location Updating / accept with replacement or deletion of Equivalent PLMN list	R99	C98	UEs supporting CS domain services	1 Execution: CS	
9.4.8	Location Updating after UE power off	R99	C98	UEs supporting CS domain services	1 Execution: CS	
9.4.9	Location Updating/ Accept, Interaction between Equivalent PLMNs and Forbidden PLMNs	R99	C98	UEs supporting CS domain services	1 Execution: CS	
9.4.10	NITZ / MM/ Time zone, Time and DST Handling	Rel-8 (NOTE 1)	C881	UEs supporting FDD and CS domain services and NITZ (Time: DST or Universal time or Time zone) 	1 Execution: PS  (NOTE 2)	
9.4.11	Location Updating / EAB active	Rel-11	C904	Support EAB configuration and CS domain services		
9.5.2	MM connection / establishment in security mode	R99	C98	UEs supporting CS domain services 	1 Execution: CS	
9.5.3	Void					
9.5.4	MM connection / establishment rejected	R99	C98d	UEs supporting CS domain services and CS call establishment	1 Execution: CS	
9.5.5	MM connection / establishment rejected cause 4	R99	C98d	UEs supporting CS domain services and CS call establishment	1 Execution: CS	
9.5.6	MM connection / expiry T3230	R99	C98 	UEs supporting CS domain services		
9.5.7.1	MM connection / abortion by the network / cause #6	R99	C98d	UEs supporting CS domain services and CS call establishment	1 Execution: CS, NOTE 3	
9.5.7.2	MM connection / abortion by the network / cause not equal to #6	R99	C100	UEs supporting CS domain services and CS call establishment UEs supporting at least one non-call related SS	1 Execution: CS	
9.5.8.1	MM connection / follow-on request pending / test 1	R99	C98	UEs supporting CS domain services		
9.5.8.2	MM connection / follow-on request pending / test 2	R99	C98	UEs supporting CS domain services		
9.5.8.3	MM connection / follow-on request pending / test 3	R99	C98	UEs supporting CS domain services		
9.5.9	MM connection / establishment rejected / CS domain barred because of domain specific access control	Rel5	C411	UEs supporting CS domain services and CS call establishment and DSAC  Note: For Rel-5 UEs DSAC support is optional. For Rel-6 or later UEs DSAC support is mandatory.	1 Execution: CS	
10	CALL CONTROL					
10.1.2.1.1	Outgoing call / U0 null state / MM connection requested	R99	C10	UEs supporting at least one mobile originated circuit switched basic service	1 Execution: CS	
10.1.2.2.1	Outgoing call / U0.1 MM connection pending / CM service rejected	R99	C10	UEs supporting at least one mobile originated circuit switched basic service	1 Execution: CS	
10.1.2.2.2	Outgoing call / U0.1 MM connection pending / CM service accepted	R99	C10	UEs supporting at least one mobile originated circuit switched basic service	1 Execution: CS	
10.1.2.2.3	Outgoing call / U0.1 MM connection pending / lower layer failure	R99	C10	UEs supporting at least one mobile originated circuit switched basic service	1 Execution: CS	
10.1.2.3.1	Outgoing call / U1 call initiated / receiving CALL PROCEEDING	R99	C10	UEs supporting at least one mobile originated circuit switched basic service	1 Execution: CS	
10.1.2.3.2	Outgoing call / U1 call initiated / rejecting with RELEASE COMPLETE	R99	C10	UEs supporting at least one mobile originated circuit switched basic service	1 Execution: CS	
10.1.2.3.3	Outgoing call / U1 call initiated / T303 expiry	R99	C10	UEs supporting at least one mobile originated circuit switched basic service	1 Execution: CS	
10.1.2.3.4	Outgoing call / U1 call initiated / lower layer failure	R99	C10	UEs supporting at least one mobile originated circuit switched basic service		
10.1.2.3.5	Outgoing call / U1 call initiated / receiving ALERTING	R99	C10	UEs supporting at least one mobile originated circuit switched basic service		
10.1.2.3.6	Outgoing call / U1 call initiated / entering state U10	R99	C10	UEs supporting at least one mobile originated circuit switched basic service		
10.1.2.3.7	Outgoing call / U1 call initiated / unknown message received	R99	C10	UEs supporting at least one mobile originated circuit switched basic service	1 Execution: CS	
10.1.2.4.1	Outgoing call / U3 Mobile originating call proceeding / ALERTING received	R99	C10	UEs supporting at least one mobile originated circuit switched basic service		
10.1.2.4.2	Outgoing call / U3 Mobile originating call proceeding / CONNECT received	R99	C10	UEs supporting at least one mobile originated circuit switched basic service		
10.1.2.4.3	Outgoing call / U3 Mobile originating call proceeding / PROGRESS received without in band information	R99	C10	UEs supporting at least one mobile originated circuit switched basic service	1 Execution: CS	
10.1.2.4.4	Outgoing call / U3 Mobile originating call proceeding / PROGRESS with in band information	R99	C10	UEs supporting at least one mobile originated circuit switched basic service	1 Execution: CS	
10.1.2.4.5	Outgoing call / U3 Mobile originating call proceeding / DISCONNECT with in band tones	R99	C10	UEs supporting at least one mobile originated circuit switched basic service		
10.1.2.4.6	Outgoing call / U3 Mobile originating call proceeding / DISCONNECT without in band tones	R99	C10	UEs supporting at least one mobile originated circuit switched basic service	1 Execution: CS	
10.1.2.4.7	Outgoing call / U3 Mobile originating call proceeding / RELEASE received	R99	C10	UEs supporting at least one mobile originated circuit switched basic service	1 Execution: CS	
10.1.2.4.8	Outgoing call / U3 Mobile originating call proceeding / termination requested by the user	R99	C10	UEs supporting at least one mobile originated circuit switched basic service	1 Execution: CS	
10.1.2.4.9	Outgoing call / U3 Mobile originating call proceeding / traffic channel allocation	R99	C10	UEs supporting at least one mobile originated circuit switched basic service	1 Execution: CS	
10.1.2.4.10	Outgoing call / U3 Mobile originating call proceeding / timer T310 time-out	R99	C10	UEs supporting at least one mobile originated circuit switched basic service	1 Execution: CS	
10.1.2.4.11	Outgoing call / U3 Mobile originating call proceeding / lower layer failure	R99	C10	UEs supporting at least one mobile originated circuit switched basic service		
10.1.2.4.12	Outgoing call / U3 Mobile originating call proceeding / unknown message received	R99	C10	UEs supporting at least one mobile originated circuit switched basic service		
10.1.2.4.13	Outgoing call / U3 Mobile originating call proceeding / Internal alerting indication	R99	C13	UEs supporting mobile originated circuit switched basic service for telephony		
10.1.2.5.1	Outgoing call / U4 call delivered / CONNECT received	R99	C10	UEs supporting at least one mobile originated circuit switched basic service	1 Execution: CS	
10.1.2.5.2	Outgoing call / U4 call delivered / termination requested by the user	R99	C10	UEs supporting at least one mobile originated circuit switched basic service	1 Execution: CS	
10.1.2.5.3	Outgoing call / U4 call delivered / DISCONNECT with in band tones	R99	C10	UEs supporting at least one mobile originated circuit switched basic service		
10.1.2.5.4	Outgoing call / U4 call delivered / DISCONNECT without in band tones	R99	C10	UEs supporting at least one mobile originated circuit switched basic service		
10.1.2.5.5	Outgoing call / U4 call delivered / RELEASE received	R99	C10	UEs supporting at least one mobile originated circuit switched basic service	1 Execution: CS	
10.1.2.5.6	Outgoing call / U4 call delivered / lower layer failure	R99	C10	UEs supporting at least one mobile originated circuit switched basic service		
10.1.2.5.7	Outgoing call / U4 call delivered / traffic channel allocation	R99	C10	UEs supporting at least one mobile originated circuit switched basic service		
10.1.2.5.8	Outgoing call / U4 call delivered / unknown message received	R99	C10	UEs supporting at least one mobile originated circuit switched basic service		
10.1.2.6.1	U10 active / termination requested by the user	R99	C10	UEs supporting at least one mobile originated circuit switched basic service		
10.1.2.6.2	U10 active / RELEASE received	R99	C10	UEs supporting at least one mobile originated circuit switched basic service	1 Execution: CS	
10.1.2.6.3	U10 active / DISCONNECT with in band tones	R99	C10	UEs supporting at least one mobile originated circuit switched basic service	1 Execution: CS	
10.1.2.6.4	U10 active / DISCONNECT without in band tones	R99	C10	UEs supporting at least one mobile originated circuit switched basic service		
10.1.2.6.5	U10 active / RELEASE COMPLETE received	R99	C10	UEs supporting at least one mobile originated circuit switched basic service		
10.1.2.6.6	U10 active / SETUP received	R99	C10	UEs supporting at least one mobile originated circuit switched basic service	1 Execution: CS	
10.1.2.7.1	U11 disconnect request / clear collision	R99	C10	UEs supporting at least one mobile originated circuit switched basic service	1 Execution: CS	
10.1.2.7.2	U11 disconnect request / RELEASE received	R99	C10	UEs supporting at least one mobile originated circuit switched basic service	1 Execution: CS	
10.1.2.7.3	U11 disconnect request / timer T305 time-out	R99	C10	UEs supporting at least one mobile originated circuit switched basic service	1 Execution: CS	
10.1.2.7.4	U11 disconnect request / lower layer failure	R99	C10	UEs supporting at least one mobile originated circuit switched basic service		
10.1.2.7.5	U11 disconnect request / unknown message received	R99	C10	UEs supporting at least one mobile originated circuit switched basic service		
10.1.2.8.1	U12 disconnect indication / call releasing requested by the user	R99	C13	UEs supporting bearer capability for speech.= UE supporting mobile originated circuit switched basic service for telephony		
10.1.2.8.2	U12 disconnect indication / RELEASE received	R99	C13	UEs supporting bearer capability for speech. = UE supporting mobile originated circuit switched basic service for telephony		
10.1.2.8.3	U12 disconnect indication / lower layer failure	R99	C13	UEs supporting bearer capability for speech. = UE supporting mobile originated circuit switched basic service for telephony		
10.1.2.8.4	U12 disconnect indication / unknown message received	R99	C13	UEs supporting bearer capability for speech. = UE supporting mobile originated circuit switched basic service for telephony		
10.1.2.9.1	Outgoing call / U19 release request / timer T308 time-out	R99	C10	UEs supporting at least one mobile originated circuit switched basic service	1 Execution: CS	
10.1.2.9.2	Outgoing call / U19 release request / 2nd timer T308 time-out	R99	C10	UEs supporting at least one mobile originated circuit switched basic service		
10.1.2.9.3	Outgoing call / U19 release request / RELEASE received	R99	C10	UEs supporting at least one mobile originated circuit switched basic service		
10.1.2.9.4	Outgoing call / U19 release request / RELEASE COMPLETE received	R99	C10	UEs supporting at least one mobile originated circuit switched basic service		
10.1.2.9.5	Outgoing call / U19 release request / lower layer failure	R99	C10	UEs supporting at least one mobile originated circuit switched basic service		
10.1.3.1.1	Incoming call / U0 null state / SETUP received with a non supported bearer capability	R99	C11	UEs supporting at least one mobile terminating circuit switched basic service All UEs.		
10.1.3.2.1	Incoming call / U6 call present / automatic call rejection	R99	C11	UEs supporting at least one mobile terminating circuit switched basic service		
10.1.3.3.1	Incoming call / U9 mobile terminating call confirmed / alerting or immediate connecting	R99	C11	UEs supporting at least one mobile terminating circuit switched basic service	1 Execution: CS	
10.1.3.3.2	Incoming call / U9 mobile terminating call confirmed / DTCH assignment	R99	C41	UEs supporting at least one MT circuit switched basic service, for which immediate connect is not used.	1 Execution: CS	
10.1.3.3.3	Void					
10.1.3.3.4	Incoming call / U9 mobile terminating call confirmed / DISCONNECT received	R99	C41	UEs supporting at least one MT circuit switched basic service, for which immediate connect is not used.	1 Execution: CS	
10.1.3.3.5	Incoming call / U9 mobile terminating call confirmed / RELEASE received	R99	C41	UEs supporting at least one MT circuit switched basic service, for which immediate connect is not used.		
10.1.3.3.6	Incoming call / U9 mobile terminating call confirmed / lower layer failure	R99	C41	UEs supporting at least one MT circuit switched basic service, for which immediate connect is not used.		
10.1.3.3.7	Incoming call / U9 mobile terminating call confirmed / unknown message received	R99	C41	UEs supporting at least MT circuit switched basic service, for which immediate connect is not used.		
10.1.3.4.1	Incoming call / U7 call received / call accepted	R99	C41	UEs supporting at least one mobile terminating circuit switched basic service for which immediate connect is not used.	1 Execution: CS	
10.1.3.4.2	Incoming call / U7 call received / termination requested by the user	R99	C41	UEs supporting at least one mobile terminating circuit switched basic service for which immediate connect is not used.		
10.1.3.4.3	Incoming call / U7 call received / DISCONNECT received	R99	C41	UEs supporting at least one mobile terminating circuit switched basic service for which immediate connect is not used.		
10.1.3.4.4	Incoming call / U7 call received / RELEASE received	R99	C41	UEs supporting at least one mobile terminating circuit switched basic service for which immediate connect is not used.		
10.1.3.4.5	Incoming call / U7 call received / lower layer failure	R99	C41	UEs supporting at least one mobile terminating circuit switched basic service for which immediate connect is not used.		
10.1.3.4.6	Incoming call / U7 call received / unknown message received	R99	C41	UEs supporting at least one mobile terminating circuit switched basic service for which immediate connect is not used.		
10.1.3.4.7	Incoming call / U7 call received / DTCH assignment	R99	C41	UEs supporting at least one mobile terminating circuit switched basic service for which immediate connect is not used.		
10.1.3.4.8	Incoming call / U7 call received / RELEASE COMPLETE received	R99	C41	UEs supporting at least one mobile terminating circuit switched basic service, for which immediate connect is not used.		
10.1.3.5.1	Incoming call / U8 connect request / CONNECT acknowledged	R99	C11	UEs supporting at least one mobile terminating circuit switched basic service		
10.1.3.5.2	Incoming call / U8 connect request / timer T313 time-out	R99	C11	UEs supporting at least one mobile terminating circuit switched basic service		
10.1.3.5.3	Incoming call / U8 connect request / termination requested by the user	R99	C11	UEs supporting at least one mobile terminating circuit switched basic service		
10.1.3.5.4	Incoming call / U8 connect request / DISCONNECT received with in-band information	R99	C11	UEs supporting at least one mobile terminating circuit switched basic service		
10.1.3.5.5	Incoming call / U8 connect request / DISCONNECT received without in-band information	R99	C11	UEs supporting at least one mobile terminating circuit switched basic service		
10.1.3.5.6	Incoming call / U8 connect request / RELEASE received	R99	C11	UEs supporting at least one mobile terminating circuit switched basic service	1 Execution: CS	
10.1.3.5.7	Incoming call / U8 connect request / lower layer failure	R99	C11	UEs supporting at least one mobile terminating circuit switched basic service		
10.1.3.5.8	Incoming call / U8 connect request / DTCH assignment	R99	C11	UEs supporting at least one mobile terminating circuit switched basic service		
10.1.3.5.9	Incoming call / U8 connect request / unknown message received	R99	C11	UEs supporting at least one mobile terminating circuit switched basic service		
10.1.4.1.1	In-call functions / DTMF information transfer / basic procedures	R99	C13	UEs supporting any equipment supporting bearer capability for speech= UE supporting mobile originated circuit switched basic service for telephony		
10.1.4.2.1	In-call functions / User notification / UE terminated	R99	C14	UEs supporting at least one circuit switched basic service		
10.1.4.3.1	In-call functions / channel changes / a successful channel change in active state/ Handover and Assignment Command	R99	C14	UEs supporting at least one circuit switched basic service		
10.1.4.3.2	In-call functions / channel changes / an unsuccessful channel change in active mode/ Handover and Assignment Command	R99	C14	UEs supporting at least one circuit switched basic service		
10.3	User to user signalling	R99	C11	UEs supporting at least one mobile terminating circuit switched basic service		
11	SESSION MANAGEMENT					
11.1.1.1	Attach initiated by context activation/QoS Offered by Network is the QoS Requested	R99	C379	UE supporting PS domain services and user requested PS detach without powering off	1 Execution: PS	
11.1.1.1a	Attach initiated by context activation/QoS Offered by Network is the QoS Requested/Correct handling of QoS extensions for rates above 8640 kbps	Rel-5	C372 OR C372	UE supporting FDD and HS-PDSCH and downlink rates above 8640 kbps (i.e. FDD HS-DSCH UE Category 9 or 10)|UE supporting FDD and HS-PDSCH and downlink rates above 8640 kbps (i.e. FDD HS-DSCH UE Category 9 or 10)	1 Execution: PS	
11.1.1.2.1	Void					
11.1.1.2.2	Void					
11.1.1.3	Dual priority / T3396 override	Rel-11	C878	UEs supporting PS domain services and LAP and LAP override		
11.1.1.3.3	Void					
11.1.1.4	Dual priority / T3346 override	Rel-11	C878	UEs supporting PS domain services and LAP and LAP override		
11.1.2	PDP context activation requested by the network, successful and unsuccessful	R99	C12	UE supporting PS bearer services.		
11.1.3.1	Abnormal Cases / T3380 Expiry	R99	C12	UE supporting PS domain services.		
